Species,Similarity
Carassius auratus (Goldfish),1163.65500409494
Canis lupus familiaris (Dog - Boxer),1148.1132411221283
Salmo salar (Atlantic salmon),1102.9149636777304
Salmo trutta (Brown trout),1034.4863018861815
Oncorhynchus kisutch (Coho salmon),1018.69819723408
Oncorhynchus mykiss (Rainbow trout),997.9396259603368
Oncorhynchus tshawytscha (Chinook salmon),904.1214940692844
Cyprinus carpio carpio (Common carp),888.3622753951038
Hucho hucho (Huchen),824.2626562887132
Sinocyclocheilus grahami (Golden-line barbel),790.1739534116423
Paramormyrops kingsleyae (Paramormyrops kingsleyae),715.3067777909779
Pan troglodytes (Chimpanzee),686.7971489562858
Delphinapterus leucas (Beluga whale),686.1565682648882
Macaca mulatta (Macaque),681.4845816892923
Cebus imitator (Panamanian white-faced capuchin),675.6551457144094
Cercocebus atys (Sooty mangabey),670.9394072310257
Scleropages formosus two (Asian bonytongue),661.5938166413138
Macaca nemestrina (Pig-tailed macaque),657.3865482351426
Phocoena sinus (Vaquita),643.9982484945878
Urocitellus parryii (Arctic ground squirrel),642.8702964896553
Ovis aries (Sheep),639.3452896805283
Betta splendens (Siamese fighting fish),637.4775229161435
Equus caballus (Horse),634.057133185797
Sus scrofa (Pig - Hampshire),631.7844267892928
Cricetulus griseus (Chinese hamster CriGri),625.5200895170206
Mus musculus (Mouse),622.8739874860245
Gorilla gorilla gorilla (Gorilla),620.1614514068547
Lates calcarifer (Barramundi perch),615.9118889701356
Rattus norvegicus (Rat),615.4931421424976
Chlorocebus sabaeus (Vervet-AGM),613.897251860343
Mus pahari (Shrew mouse),612.1288402727168
Rhinopithecus roxellana (Golden snub-nosed monkey),605.0265047800245
Physeter catodon (Sperm whale),604.117663183549
Mus spretus (Algerian mouse),600.8906905459778
Otolemur garnettii (Bushbaby),595.0710874857034
Bos taurus (Cow),593.9672544017304
Bos indicus x Bos taurus (Hybrid - Bos Taurus),593.1655930393676
Sciurus vulgaris (Eurasian red squirrel),587.8591702266935
Rhinolophus ferrumequinum (Greater horseshoe bat),586.0663768789303
Equus asinus (Donkey),585.1229086254855
Chinchilla lanigera (Long-tailed chinchilla),584.5788615730211
Moschus moschiferus (Siberian musk deer),583.5007382590609
Callithrix jacchus (White-tufted-ear marmoset),581.6128001244163
Pongo abelii (Sumatran orangutan),579.1017526259736
Pundamilia nyererei (Makobe Island cichlid),578.587296573289
Catagonus wagneri (Chacoan peccary),578.1118082043251
Papio anubis (Olive baboon),574.2978822918336
Aotus nancymaae (Ma's night monkey),565.2033608851652
Microcebus murinus (Mouse Lemur),564.2855061371545
Rhinopithecus bieti (Black snub-nosed monkey),559.8521890046343
Sander lucioperca (Pike-perch),559.0940502247685
Takifugu rubripes (Fugu),557.2879962596724
Acanthochromis polyacanthus (Spiny chromis),554.7317936979227
Esox lucius (Northern pike),553.6082558484707
Panthera leo (Lion),553.4509049582034
