Species,Similarity
Salmo salar (Atlantic salmon),290.09122883402085
Oncorhynchus kisutch (Coho salmon),289.4694523611255
Salmo trutta (Brown trout),287.9989139608041
Canis lupus familiaris (Dog - Boxer),266.77729642440215
Pan troglodytes (Chimpanzee),196.95622531919037
Pongo abelii (Sumatran orangutan),196.1909105716588
Papio anubis (Olive baboon),194.65193110239736
Cercocebus atys (Sooty mangabey),194.1168443093383
Macaca mulatta (Macaque),193.47106006733108
Macaca nemestrina (Pig-tailed macaque),191.83603494852895
Cebus imitator (Panamanian white-faced capuchin),191.43512550138087
Callithrix jacchus (White-tufted-ear marmoset),190.73557928385623
Chlorocebus sabaeus (Vervet-AGM),188.66020824397623
Rhinopithecus bieti (Black snub-nosed monkey),188.65582279713243
Rhinopithecus roxellana (Golden snub-nosed monkey),185.49203355980148
Propithecus coquereli (Coquerel's sifaka),183.86312471193318
Microcebus murinus (Mouse Lemur),183.60832992666906
Nomascus leucogenys (Gibbon),181.76001069323542
Aotus nancymaae (Ma's night monkey),179.40925530486587
Mandrillus leucophaeus (Drill),179.0493856599307
Heterocephalus glaber (Naked mole-rat),176.9466708943225
Equus asinus (Donkey),176.65955869245067
Ovis aries (Sheep),175.9322471479107
Equus caballus (Horse),175.3163916255735
Cervus hanglu yarkandensis (Yarkand deer),175.18204276787017
Urocitellus parryii (Arctic ground squirrel),175.00950845517667
Prolemur simus (Greater bamboo lemur),174.94277541258413
Capra hircus (Goat (black bengal)),174.78961089066732
Felis catus (Cat),173.61160130718955
Panthera leo (Lion),173.5713134030827
Sus scrofa (Pig - Hampshire),173.2909936796678
Phocoena sinus (Vaquita),173.25692734207604
Bos taurus (Cow),172.67218813501626
Bos mutus (Wild yak),171.4057498106929
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),170.98155982510963
Neovison vison (American mink),170.94759081975343
Pan paniscus (Bonobo),170.71009096692512
Monodon monoceros (Narwhal),170.45479330280943
Cavia porcellus (Guinea Pig),169.80713475768897
Microtus ochrogaster (Prairie vole),169.67989654105736
Mus pahari (Shrew mouse),169.56133723517326
Bos indicus x Bos taurus (Hybrid - Bos Taurus),169.24066834072988
Mus musculus (Mouse),168.25749970687252
Cricetulus griseus (Chinese hamster CriGri),168.0932425524445
Rattus norvegicus (Rat),167.66291802408168
Ursus maritimus (Polar bear),167.44108012394867
Ailuropoda melanoleuca (Giant panda),166.88032298810435
Bison bison bison (American bison),166.80515478249896
Tursiops truncatus (Dolphin),166.53608237601787
Mesocricetus auratus (Golden Hamster),166.4994449107155
Mus spretus (Algerian mouse),166.36045294385212
Mus spicilegus (Steppe mouse),165.7289710551813
Vombatus ursinus (Common wombat),165.5066072749177
Pteropus vampyrus (Megabat),165.1515584527317
Myotis lucifugus (Microbat),165.0741412525291
Delphinapterus leucas (Beluga whale),164.35039710994675
Monodelphis domestica (Opossum),163.9282814940641
Ochotona princeps (Pika),163.0670324753441
Sarcophilus harrisii (Tasmanian devil),161.62892329657683
Parus major (Great Tit),161.25961305946373
Chinchilla lanigera (Long-tailed chinchilla),160.9980164524596
Anas platyrhynchos (Mallard),160.33250795165887
Loxodonta africana (Elephant),160.3124228781653
Taeniopygia guttata (Zebra finch),159.3534049693668
Gallus gallus (Chicken),159.01194220650433
Ornithorhynchus anatinus (Platypus),158.71363232732864
Chrysemys picta bellii (Painted turtle),158.66075695902617
Crocodylus porosus (Australian saltwater crocodile),158.47658581453135
Gorilla gorilla gorilla (Gorilla),158.35609962451622
Strigops habroptila (Kakapo),158.06541477324146
Coturnix japonica (Japanese quail),157.71920399906818
Serinus canaria (Common canary),156.86057979841823
Carlito syrichta (Tarsier),156.67070937649686
Oryctolagus cuniculus (Rabbit),156.58908117064732
Podarcis muralis (Common wall lizard),156.0462868384135
Meleagris gallopavo (Turkey),155.39960757731234
Anser brachyrhynchus (Pink-footed goose),154.8726412440353
Gopherus evgoodei (Goodes thornscrub tortoise),154.54155878912803
Phascolarctos cinereus (Koala),154.1216092481137
Ficedula albicollis (Collared flycatcher),152.77437060450194
Pseudonaja textilis (Eastern brown snake),152.45392188996388
Naja naja (Indian cobra),152.37250598055402
Pelodiscus sinensis (Chinese softshell turtle),151.50960084045497
Xenopus tropicalis (Tropical clawed frog),148.97028501840086
Cyprinus carpio carpio (Common carp),146.0159362549801
