Species,Similarity
Carassius auratus (Goldfish),517.1044944265528
Canis lupus familiaris (Dog - Boxer),477.61012649717645
Cyprinus carpio carpio (Common carp),448.86223958590426
Oncorhynchus mykiss (Rainbow trout),436.825511920965
Salmo salar (Atlantic salmon),432.2085023907437
Scleropages formosus two (Asian bonytongue),384.93879860089015
Oncorhynchus kisutch (Coho salmon),363.54468316281594
Salmo trutta (Brown trout),358.4846837937446
Paramormyrops kingsleyae (Paramormyrops kingsleyae),303.6141024689021
Stegastes partitus (Bicolor damselfish),298.91224029412956
Seriola lalandi dorsalis (Yellowtail amberjack),298.6631696073756
Seriola dumerili (Greater amberjack),298.27943251141676
Betta splendens (Siamese fighting fish),298.03302666523416
Acanthochromis polyacanthus (Spiny chromis),297.215785956278
Sparus aurata (Gilthead seabream),295.5180434904082
Macaca mulatta (Macaque),294.7224751087412
Pan troglodytes (Chimpanzee),294.38829719881863
Larimichthys crocea (Large yellow croaker),293.45726477616336
Cebus imitator (Panamanian white-faced capuchin),292.22713115374484
Fundulus heteroclitus (Mummichog),290.30443101534763
Xiphophorus maculatus (Platyfish),290.1519379405752
Hucho hucho (Huchen),289.8751627756898
Oncorhynchus tshawytscha (Chinook salmon),286.8332731218781
Felis catus (Cat),286.0465986099101
Phocoena sinus (Vaquita),284.46991628972637
Physeter catodon (Sperm whale),284.37065548096564
Microcebus murinus (Mouse Lemur),283.6290381541731
Equus asinus (Donkey),283.2660519933385
Cercocebus atys (Sooty mangabey),282.8985144580266
Moschus moschiferus (Siberian musk deer),282.54512885203377
Ovis aries (Sheep),282.27309836001865
Sciurus vulgaris (Eurasian red squirrel),281.9191575809942
Rhinolophus ferrumequinum (Greater horseshoe bat),281.71970372380895
Urocitellus parryii (Arctic ground squirrel),281.3502423203694
Prolemur simus (Greater bamboo lemur),281.2616569239184
Cricetulus griseus (Chinese hamster CriGri),274.84540232641916
Sus scrofa (Pig - Hampshire),273.86748620747505
Mus musculus (Mouse),273.5624893583468
Equus caballus (Horse),272.09930193115395
Catagonus wagneri (Chacoan peccary),271.78081041294405
Macaca nemestrina (Pig-tailed macaque),271.7145076453282
