Species,Similarity
Canis lupus familiaris (Dog - Boxer),373.80107273795574
Salmo trutta (Brown trout),256.4600194854999
Oncorhynchus mykiss (Rainbow trout),255.27791212905584
Salmo salar (Atlantic salmon),255.01965135126372
Chinchilla lanigera (Long-tailed chinchilla),252.23578357578035
Oncorhynchus kisutch (Coho salmon),234.75435649471905
Betta splendens (Siamese fighting fish),198.45386371447574
Gorilla gorilla gorilla (Gorilla),195.50157691271983
Callithrix jacchus (White-tufted-ear marmoset),195.48167699432986
Pan troglodytes (Chimpanzee),195.45262643827678
Pan paniscus (Bonobo),195.36179991693254
Nomascus leucogenys (Gibbon),194.67409709765906
Pongo abelii (Sumatran orangutan),194.5520061707265
Macaca fascicularis (Crab-eating macaque),193.9268321626297
Cercocebus atys (Sooty mangabey),193.92404846366082
Macaca nemestrina (Pig-tailed macaque),193.83600564128548
Mandrillus leucophaeus (Drill),193.68573339851872
Rhinopithecus bieti (Black snub-nosed monkey),193.6720386674517
Rhinopithecus roxellana (Golden snub-nosed monkey),193.63016262055055
Macaca mulatta (Macaque),193.29104651322004
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),192.97529171511712
Aotus nancymaae (Ma's night monkey),192.23569823741917
Cebus imitator (Panamanian white-faced capuchin),191.9928890592837
Ursus americanus (American black bear),188.12705906525736
Panthera pardus (Leopard),187.6489102535469
Panthera leo (Lion),187.60349699287474
Catagonus wagneri (Chacoan peccary),186.89114132321401
Sciurus vulgaris (Eurasian red squirrel),186.77942864976947
Marmota marmota marmota (Alpine marmot),186.65364896121457
Equus caballus (Horse),186.64143962906957
Balaenoptera musculus (Blue whale),186.5946474171505
Neovison vison (American mink),186.57040431563593
Ailuropoda melanoleuca (Giant panda),186.56237078982423
Urocitellus parryii (Arctic ground squirrel),186.51054571410924
Monodon monoceros (Narwhal),186.49847116614598
Mustela putorius furo (Ferret),186.32516810923926
Loxodonta africana (Elephant),186.28622092155302
Phocoena sinus (Vaquita),186.2714048627854
Oryctolagus cuniculus (Rabbit),186.25785580774976
Papio anubis (Olive baboon),185.90170552023415
Sus scrofa (Pig - Hampshire),184.62594690214988
Rhinolophus ferrumequinum (Greater horseshoe bat),184.55915655485586
Physeter catodon (Sperm whale),183.95214634996654
Dipodomys ordii (Kangaroo rat),183.77844041151837
Delphinapterus leucas (Beluga whale),183.65966982962038
Otolemur garnettii (Bushbaby),183.41533145658485
Procavia capensis (Hyrax),183.2682409930366
Cricetulus griseus (Chinese hamster CriGri),182.58144463815677
Peromyscus maniculatus bairdii (Northern American deer mouse),181.93717546655697
Myotis lucifugus (Microbat),181.8327601947213
Ictidomys tridecemlineatus (Squirrel),181.7001718154094
Bos taurus (Cow),181.53083108644688
Bos indicus x Bos taurus (Hybrid - Bos Taurus),181.48720106899486
Vulpes vulpes (Red fox),181.46413779001477
Capra hircus (Goat (black bengal)),181.44713753798308
Moschus moschiferus (Siberian musk deer),181.35631101663884
Nannospalax galili (Upper Galilee mountains blind mole rat),181.26968622007436
Jaculus jaculus (Lesser Egyptian jerboa),181.18784202575094
Mus spretus (Algerian mouse),181.14697652923724
Ovis aries (Sheep),181.13994417259892
Ursus maritimus (Polar bear),181.10499260548477
Cervus hanglu yarkandensis (Yarkand deer),181.1024960649766
Mus musculus (Mouse),181.05399842080521
Mus spicilegus (Steppe mouse),180.96317189946097
Mus pahari (Shrew mouse),179.47593780090554
Dasypus novemcinctus (Armadillo),179.20950538375052
Cavia porcellus (Guinea Pig),178.82810041970163
Rattus norvegicus (Rat),178.7646657421471
Chlorocebus sabaeus (Vervet-AGM),177.5313731923858
Choloepus hoffmanni (Sloth),177.3994131940977
Octodon degus (Degu),175.0224173738987
Hucho hucho (Huchen),173.50279622727
Camelus dromedarius (Arabian camel),171.72670017265602
Bison bison bison (American bison),170.58622922213488
Pteropus vampyrus (Megabat),170.30519076984015
Erinaceus europaeus (Hedgehog),166.274828689768
Bos mutus (Wild yak),165.1134618219515
Sorex araneus (Shrew),163.73929459653527
Tursiops truncatus (Dolphin),163.38740546539717
Ochotona princeps (Pika),160.9181286751155
Tupaia belangeri (Tree Shrew),160.40082241873634
Acanthochromis polyacanthus (Spiny chromis),158.53769300635784
Carlito syrichta (Tarsier),157.3510040848158
Heterocephalus glaber (Naked mole-rat),150.48585889475692
Pundamilia nyererei (Makobe Island cichlid),145.7713407943823
Tetraodon nigroviridis (Tetraodon),145.618422937553
Gasterosteus aculeatus (Stickleback),144.55296549809702
Amphilophus citrinellus (Midas cichlid),143.37736195193543
Paramormyrops kingsleyae (Paramormyrops kingsleyae),142.11846099238699
Amphiprion percula (Orange clownfish),142.07880395567835
Fundulus heteroclitus (Mummichog),140.68159963798857
Neolamprologus brichardi (Lyretail cichlid),137.87382173829275
Poecilia reticulata (Guppy),137.39744099025535
Denticeps clupeoides (Denticle herring),136.72573602561934
Xiphophorus maculatus (Platyfish),136.57664323591072
Myripristis murdjan (Pinecone soldierfish),136.33675531751817
Lates calcarifer (Barramundi perch),135.7489352125824
Sinocyclocheilus grahami (Golden-line barbel),135.72693727597124
Kryptolebias marmoratus (Mangrove rivulus),134.72743789185114
Dicentrarchus labrax (European seabass),134.66389036564476
Seriola dumerili (Greater amberjack),134.5805083563517
Oryzias melastigma (Indian medaka),134.54293643824332
Cyclopterus lumpus (Lumpfish),134.2978073265472
Stegastes partitus (Bicolor damselfish),134.2798576947664
Cottoperca gobio (Channel bull blenny),134.12298056716014
Scleropages formosus two (Asian bonytongue),134.10143352918217
Mastacembelus armatus (Zig-zag eel),133.94332365066637
Hippocampus comes (Tiger tail seahorse),133.82037409996184
Sparus aurata (Gilthead seabream),133.77185010765115
Anabas testudineus (Climbing perch),133.75860156148173
Sander lucioperca (Pike-perch),133.74772337016455
Oncorhynchus tshawytscha (Chinook salmon),133.696533312961
Larimichthys crocea (Large yellow croaker),133.53580489488206
Poecilia latipinna (Sailfin molly),133.49688459018196
Poecilia formosa (Amazon molly),133.46167759459388
Oryzias javanicus (Javanese ricefish),133.3842698284115
Seriola lalandi dorsalis (Yellowtail amberjack),133.3494392628237
Vicugna pacos (Alpaca),133.29242151255218
Scophthalmus maximus (Turbot),133.26940534182296
Haplochromis burtoni (Burton's mouthbrooder),133.05848422742926
Takifugu rubripes (Fugu),132.7502017756255
Maylandia zebra (Zebra mbuna),132.66046984831667
Scleropages formosus (Asian bonytongue),132.21559169977556
Astatotilapia calliptera (Eastern happy),130.36301556116175
Nothobranchius furzeri (Turquoise killifish),130.24322917448734
Oreochromis niloticus (Nile tilapia),130.0297619047619
Carassius auratus (Goldfish),129.89882308457334
Gadus morhua (Atlantic cod),129.6951001360905
Esox lucius (Northern pike),126.94413880757793
Cyprinus carpio carpio (Common carp),126.47366795737224
Equus asinus (Donkey),125.19729793969626
Echinops telfairi (Lesser hedgehog tenrec),125.16624904723434
Propithecus coquereli (Coquerel's sifaka),110.45657442525982
Microtus ochrogaster (Prairie vole),105.09389369968281
ZK1193.5a.1,100.11044219676543
Microcebus murinus (Mouse Lemur),97.04813805631244
Prolemur simus (Greater bamboo lemur),96.59400544959128
Bos grunniens (Domestic yak),94.00544959128064
Mesocricetus auratus (Golden Hamster),93.65079365079364
Mus caroli (Ryukyu mouse),92.55222524977292
Felis catus (Cat),91.63514081546867
Vombatus ursinus (Common wombat),90.87193460490464
Phascolarctos cinereus (Koala),90.82652134423252
Monodelphis domestica (Opossum),90.32697547683924
Sarcophilus harrisii (Tasmanian devil),90.14532243415076
Panthera tigris altaica (Tiger),89.82742960944596
Serinus canaria (Common canary),88.8283378746594
Terrapene carolina triunguis (Three-toed box turtle),88.60127157129882
Aquila chrysaetos chrysaetos (Golden eagle),88.60127157129882
Strigops habroptila (Kakapo),88.5558583106267
Anser brachyrhynchus (Pink-footed goose),88.37420526793824
Chelonoidis abingdonii (Abingdon island giant tortoise),88.28337874659401
Sphenodon punctatus (Tuatara),88.19255222524977
Gopherus evgoodei (Goodes thornscrub tortoise),88.05631244323342
Pelodiscus sinensis (Chinese softshell turtle),87.32970027247956
Podarcis muralis (Common wall lizard),86.92098092643052
Crocodylus porosus (Australian saltwater crocodile),86.5047233468286
Anas platyrhynchos (Mallard),85.96730245231608
Geospiza fortis (Medium ground-finch),85.87647593097184
Meleagris gallopavo (Turkey),85.69482288828338
Cyprinodon variegatus (Sheepshead minnow),85.51732777790377
Taeniopygia guttata (Zebra finch),85.32986111111111
Salvator merianae (Argentine black and white tegu),85.24069028156221
Gallus gallus (Chicken),83.8917525773196
Ficedula albicollis (Collared flycatcher),83.87829246139873
Notechis scutatus (Mainland tiger snake),83.5149863760218
Anolis carolinensis (Green anole),83.04936653560506
Struthio camelus australis (African ostrich),81.92552225249773
Latimeria chalumnae (Coelacanth),80.69025775447794
Ornithorhynchus anatinus (Platypus),80.30101814962373
Parus major (Great Tit),78.76602564102564
Leptobrachium leishanense (Leishan spiny toad),76.83982683982684
Xenopus tropicalis (Tropical clawed frog),76.75324675324676
Coturnix japonica (Japanese quail),75.72854291417165
Erpetoichthys calabaricus (Reedfish),75.65849227974569
Callorhinchus milii (Elephant shark),75.47743055555556
Labrus bergylta (Ballan wrasse),75.0
Naja naja (Indian cobra),73.52406902815623
Laticauda laticaudata (Blue-ringed sea krait),71.29881925522253
Danio rerio (Zebrafish),70.05988023952095
Oryzias latipes (Japanese medaka HdrR),68.43778383287919
Pygocentrus nattereri (Red-bellied piranha),68.04439341752774
Astyanax mexicanus (Mexican tetra),67.81609195402298
Ictalurus punctatus (Channel catfish),67.74193548387096
Lepisosteus oculatus (Spotted gar),67.49408983451536
Electrophorus electricus (Electric eel),67.47034060466896
Cynoglossus semilaevis (Tongue sole),66.14699331848553
Petromyzon marinus (Lamprey),64.44141689373298
Eptatretus burgeri (Hagfish),59.14655473941938
FBpp0071689,54.63414634146342
Notamacropus eugenii (Wallaby),43.68755676657584
Amphiprion ocellaris (Clown anemonefish),41.28065395095368
Oryzias sinensis (Chinese medaka),21.934604904632156
Pseudonaja textilis (Eastern brown snake),18.66485013623978
Chrysemys picta bellii (Painted turtle),17.43869209809264
