Species,Similarity
Canis lupus familiaris (Dog - Boxer),369.9433077338666
Macaca fascicularis (Crab-eating macaque),277.81643123199103
Vombatus ursinus (Common wombat),257.3200787892274
Chlorocebus sabaeus (Vervet-AGM),196.20371785942802
Pan troglodytes (Chimpanzee),194.4252528692756
Gorilla gorilla gorilla (Gorilla),194.17387026495186
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),193.66880661796955
Pongo abelii (Sumatran orangutan),193.23105034679986
Pan paniscus (Bonobo),192.17226435536293
Rhinopithecus bieti (Black snub-nosed monkey),191.65653027133104
Rhinopithecus roxellana (Golden snub-nosed monkey),191.6062537504663
Macaca nemestrina (Pig-tailed macaque),191.56543786524813
Cercocebus atys (Sooty mangabey),191.55597722960152
Mandrillus leucophaeus (Drill),191.47731880179697
Callithrix jacchus (White-tufted-ear marmoset),190.8907146583203
Macaca mulatta (Macaque),189.92185145239364
Equus asinus (Donkey),189.3798638315859
Cebus imitator (Panamanian white-faced capuchin),188.76208190429088
Physeter catodon (Sperm whale),188.66381287264943
Phocoena sinus (Vaquita),188.56557214606443
Monodon monoceros (Narwhal),188.33431775126917
Balaenoptera musculus (Blue whale),188.20714920699632
Catagonus wagneri (Chacoan peccary),188.1535169305688
Microcebus murinus (Mouse Lemur),188.1203133343863
Aotus nancymaae (Ma's night monkey),188.08623532125836
Otolemur garnettii (Bushbaby),187.9145683045234
Moschus moschiferus (Siberian musk deer),187.06699983793706
Chinchilla lanigera (Long-tailed chinchilla),186.9466271144222
Loxodonta africana (Elephant),186.7706449668475
Sciurus vulgaris (Eurasian red squirrel),186.6718831507564
Bos taurus (Cow),186.38905661868029
Urocitellus parryii (Arctic ground squirrel),186.2769185480401
Bos mutus (Wild yak),186.26979603430343
Myotis lucifugus (Microbat),186.23058542413384
Bos indicus x Bos taurus (Hybrid - Bos Taurus),186.22427385540874
Ovis aries (Sheep),186.1638537271449
Octodon degus (Degu),185.74157757448842
Marmota marmota marmota (Alpine marmot),185.74024591834424
Cavia porcellus (Guinea Pig),185.7380758285969
Propithecus coquereli (Coquerel's sifaka),185.73525357206572
Capra hircus (Goat (black bengal)),185.46511627906978
Panthera leo (Lion),185.3513291517324
Ailuropoda melanoleuca (Giant panda),185.1912508643593
Felis catus (Cat),185.11562686344666
Mustela putorius furo (Ferret),185.0881004648153
Prolemur simus (Greater bamboo lemur),184.9174237423957
Sus scrofa (Pig - Hampshire),184.70044384097645
Neovison vison (American mink),184.42361583534205
Panthera pardus (Leopard),184.1984635861071
Equus caballus (Horse),184.15041355468242
Nannospalax galili (Upper Galilee mountains blind mole rat),184.11900017360716
Dasypus novemcinctus (Armadillo),183.90585961972477
Dipodomys ordii (Kangaroo rat),183.70847580444286
Nomascus leucogenys (Gibbon),183.41840206887164
Microtus ochrogaster (Prairie vole),183.09150985409448
Heterocephalus glaber (Naked mole-rat),182.88339977464983
Bos grunniens (Domestic yak),182.76187218454714
Vulpes vulpes (Red fox),182.4108653238141
Camelus dromedarius (Arabian camel),182.30121613946056
Mesocricetus auratus (Golden Hamster),182.16044700074727
Peromyscus maniculatus bairdii (Northern American deer mouse),182.01184154306293
Cricetulus griseus (Chinese hamster CriGri),181.50193015531016
Rhinolophus ferrumequinum (Greater horseshoe bat),181.43185752147767
Bison bison bison (American bison),181.3727485499135
Rattus norvegicus (Rat),181.17664153136627
Mus spicilegus (Steppe mouse),181.03907671172905
Mus pahari (Shrew mouse),180.97201427642423
Mus spretus (Algerian mouse),180.85253996340157
Mus musculus (Mouse),180.82810624759404
Ursus maritimus (Polar bear),180.61542827293647
Mus caroli (Ryukyu mouse),180.5290897267214
Cervus hanglu yarkandensis (Yarkand deer),177.3955327217651
Jaculus jaculus (Lesser Egyptian jerboa),174.010456796918
Pteropus vampyrus (Megabat),172.35058149206782
Phascolarctos cinereus (Koala),171.21007978382133
Procavia capensis (Hyrax),170.46678160398045
Sarcophilus harrisii (Tasmanian devil),169.72875765192515
Monodelphis domestica (Opossum),168.35273204864018
Papio anubis (Olive baboon),98.6857825567503
Carlito syrichta (Tarsier),95.99761051373956
Ictidomys tridecemlineatus (Squirrel),94.09660107334524
Panthera tigris altaica (Tiger),94.03697078115682
Ursus americanus (American black bear),93.1434599156118
Ochotona princeps (Pika),92.47311827956987
Oryctolagus cuniculus (Rabbit),91.16959064327486
Choloepus hoffmanni (Sloth),89.78494623655914
Delphinapterus leucas (Beluga whale),86.79808841099164
Erinaceus europaeus (Hedgehog),86.37992831541219
Gopherus evgoodei (Goodes thornscrub tortoise),85.68872987477639
Terrapene carolina triunguis (Three-toed box turtle),85.68872987477639
Anser brachyrhynchus (Pink-footed goose),84.76702508960572
Gallus gallus (Chicken),84.58781362007169
Ornithorhynchus anatinus (Platypus),83.54430379746836
Aquila chrysaetos chrysaetos (Golden eagle),83.51254480286738
Crocodylus porosus (Australian saltwater crocodile),82.85543608124253
Notamacropus eugenii (Wallaby),82.0675105485232
Chrysemys picta bellii (Painted turtle),82.01911589008363
Chelonoidis abingdonii (Abingdon island giant tortoise),81.60095579450419
Tupaia belangeri (Tree Shrew),81.60095579450419
Pelodiscus sinensis (Chinese softshell turtle),81.03756708407872
Strigops habroptila (Kakapo),80.52568697729988
Naja naja (Indian cobra),80.41958041958041
Taeniopygia guttata (Zebra finch),80.34647550776583
Parus major (Great Tit),80.28673835125448
Sphenodon punctatus (Tuatara),80.10752688172043
Geospiza fortis (Medium ground-finch),80.0632911392405
