Species,Similarity
Pan troglodytes (Chimpanzee),98.6063132173189
Chlorocebus sabaeus (Vervet-AGM),98.5758700824342
Pan paniscus (Bonobo),98.04306608884073
Gorilla gorilla gorilla (Gorilla),97.60450043008771
Macaca fascicularis (Crab-eating macaque),97.47817719958687
Macaca mulatta (Macaque),97.04499176254417
Aotus nancymaae (Ma's night monkey),96.11102834733755
Pongo abelii (Sumatran orangutan),95.23660153801082
Rhinopithecus bieti (Black snub-nosed monkey),95.08394388858747
Microcebus murinus (Mouse Lemur),95.01107595829966
Macaca nemestrina (Pig-tailed macaque),94.7452920505817
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),94.70098543827618
Cercocebus atys (Sooty mangabey),94.6983036167097
Rhinopithecus roxellana (Golden snub-nosed monkey),94.67333520938834
Callithrix jacchus (White-tufted-ear marmoset),94.19415013605155
Sus scrofa (Pig - Hampshire),94.07693202121007
Octodon degus (Degu),93.94133263590237
Chinchilla lanigera (Long-tailed chinchilla),93.88630048406873
Bos taurus (Cow),93.82608442387038
Cavia porcellus (Guinea Pig),93.5841626626124
Cebus imitator (Panamanian white-faced capuchin),93.54228698912956
Capra hircus (Goat (black bengal)),93.47633449336206
Myotis lucifugus (Microbat),93.11346583346814
Nomascus leucogenys (Gibbon),92.88913505175245
Physeter catodon (Sperm whale),92.62391117612032
Balaenoptera musculus (Blue whale),92.62235787231967
Phocoena sinus (Vaquita),92.59935099447407
Monodon monoceros (Narwhal),92.58919741534538
Loxodonta africana (Elephant),92.49630336364379
Catagonus wagneri (Chacoan peccary),92.45879965306261
Nannospalax galili (Upper Galilee mountains blind mole rat),92.3084515477565
Dipodomys ordii (Kangaroo rat),92.16623217359687
Otolemur garnettii (Bushbaby),92.09876219625097
Panthera leo (Lion),92.09609054619136
Sciurus vulgaris (Eurasian red squirrel),92.08839120810953
Urocitellus parryii (Arctic ground squirrel),92.0748476145381
Felis catus (Cat),92.03716497411992
Peromyscus maniculatus bairdii (Northern American deer mouse),92.01919158133182
Prolemur simus (Greater bamboo lemur),91.98761419385718
Ailuropoda melanoleuca (Giant panda),91.94345836173545
Ursus maritimus (Polar bear),91.90761795501163
Cricetulus griseus (Chinese hamster CriGri),91.85212545252509
Panthera pardus (Leopard),91.7703366172475
Mustela putorius furo (Ferret),91.7299830741618
Neovison vison (American mink),91.6764745294061
Canis lupus familiaris (Dog - Boxer),91.64951794262433
Equus asinus (Donkey),91.64416711984273
Moschus moschiferus (Siberian musk deer),91.48585108307977
Mus spicilegus (Steppe mouse),91.41970583668127
Bos indicus x Bos taurus (Hybrid - Bos Taurus),91.35007595448889
Bos mutus (Wild yak),91.24909694865077
Rattus norvegicus (Rat),91.21656735037918
Ovis aries (Sheep),91.2106331014559
Vulpes vulpes (Red fox),91.03342794144041
Rhinolophus ferrumequinum (Greater horseshoe bat),90.59069711310215
Bos grunniens (Domestic yak),90.36013771580645
Equus caballus (Horse),90.30049372999231
Microtus ochrogaster (Prairie vole),90.11175315631854
Dasypus novemcinctus (Armadillo),90.05640457310615
Camelus dromedarius (Arabian camel),90.01974847930958
Delphinapterus leucas (Beluga whale),89.66710369859554
Jaculus jaculus (Lesser Egyptian jerboa),89.25733118036158
Cervus hanglu yarkandensis (Yarkand deer),89.13116546272356
Mus pahari (Shrew mouse),89.08684741294991
Propithecus coquereli (Coquerel's sifaka),88.91203983798871
Mus spretus (Algerian mouse),88.86929114700655
Mus caroli (Ryukyu mouse),88.7884285878365
Mus musculus (Mouse),88.70478440943214
Heterocephalus glaber (Naked mole-rat),88.40200936395232
Vombatus ursinus (Common wombat),88.27495001913302
Sarcophilus harrisii (Tasmanian devil),87.91912527996467
Ictidomys tridecemlineatus (Squirrel),87.18587740990885
Pteropus vampyrus (Megabat),87.10981481086336
Bison bison bison (American bison),86.67335340826223
Phascolarctos cinereus (Koala),86.66633625632747
Papio anubis (Olive baboon),86.50123428859646
Monodelphis domestica (Opossum),85.12189087732858
Panthera tigris altaica (Tiger),84.2991465231677
Aquila chrysaetos chrysaetos (Golden eagle),84.21818670388262
Gopherus evgoodei (Goodes thornscrub tortoise),83.66571586312429
Tursiops truncatus (Dolphin),82.71084090556985
Pseudonaja textilis (Eastern brown snake),82.1807147490029
Anser brachyrhynchus (Pink-footed goose),81.79730112561307
Chrysemys picta bellii (Painted turtle),81.33515594463016
Notamacropus eugenii (Wallaby),81.00543527809413
Carlito syrichta (Tarsier),80.973110246423
Crocodylus porosus (Australian saltwater crocodile),80.77716841432868
Pelodiscus sinensis (Chinese softshell turtle),80.46308135168087
Gallus gallus (Chicken),80.43375163479878
Parus major (Great Tit),80.36052318607673
Sphenodon punctatus (Tuatara),80.26931935951987
Procavia capensis (Hyrax),80.26515145800224
Chelonoidis abingdonii (Abingdon island giant tortoise),80.1368054288849
Strigops habroptila (Kakapo),79.99967795567629
Meleagris gallopavo (Turkey),79.87542662733782
Naja naja (Indian cobra),79.64548037481727
Taeniopygia guttata (Zebra finch),79.5215326381377
Coturnix japonica (Japanese quail),78.90480835711284
Ochotona princeps (Pika),78.69919375853314
Erinaceus europaeus (Hedgehog),78.55252865772393
Serinus canaria (Common canary),78.49440751272775
Ficedula albicollis (Collared flycatcher),77.57177864758631
Podarcis muralis (Common wall lizard),77.56181992216193
Geospiza fortis (Medium ground-finch),77.28133670881765
Oryctolagus cuniculus (Rabbit),77.09495064048022
Ursus americanus (American black bear),76.30681271385728
Marmota marmota marmota (Alpine marmot),75.05738927055994
Mesocricetus auratus (Golden Hamster),74.79585205105775
Ornithorhynchus anatinus (Platypus),74.6278417281699
Choloepus hoffmanni (Sloth),73.94429598165199
Terrapene carolina triunguis (Three-toed box turtle),72.60746186221408
Salvator merianae (Argentine black and white tegu),72.20632601975592
Anas platyrhynchos (Mallard),71.29208198686148
Mandrillus leucophaeus (Drill),71.26600428477228
Laticauda laticaudata (Blue-ringed sea krait),62.368146041838166
Struthio camelus australis (African ostrich),59.9203334877258
Xenopus tropicalis (Tropical clawed frog),58.30577688197442
Leptobrachium leishanense (Leishan spiny toad),57.374854739332235
Echinops telfairi (Lesser hedgehog tenrec),57.28921013573532
Danio rerio (Zebrafish),57.098115086966516
Anabas testudineus (Climbing perch),56.967451114792176
Myripristis murdjan (Pinecone soldierfish),56.27920035938904
Ciona savignyi,56.263244476939846
Latimeria chalumnae (Coelacanth),56.22348092656881
Cyprinodon variegatus (Sheepshead minnow),55.95643565442499
Tupaia belangeri (Tree Shrew),55.87133950286199
Poecilia latipinna (Sailfin molly),55.793558183700696
Cyprinus carpio carpio (Common carp),55.594351147087636
Denticeps clupeoides (Denticle herring),55.585982181958414
Neolamprologus brichardi (Lyretail cichlid),55.4907701886348
Gasterosteus aculeatus (Stickleback),55.459388983225054
Amphiprion ocellaris (Clown anemonefish),55.435533515283566
Ciona intestinalis,55.423696321291104
Sinocyclocheilus grahami (Golden-line barbel),55.33950666581481
Amphilophus citrinellus (Midas cichlid),55.30108584404785
Pundamilia nyererei (Makobe Island cichlid),55.257727368235024
Carassius auratus (Goldfish),55.20888535594417
