Species,Similarity
Canis lupus familiaris (Dog - Boxer),484.72013366750207
Jaculus jaculus (Lesser Egyptian jerboa),306.02589275737114
Pan paniscus (Bonobo),298.68248114979593
Pan troglodytes (Chimpanzee),298.68248114979593
Pongo abelii (Sumatran orangutan),294.7627561472684
Chlorocebus sabaeus (Vervet-AGM),289.30830260364286
Macaca nemestrina (Pig-tailed macaque),289.2891464329614
Macaca mulatta (Macaque),289.15303119795243
Papio anubis (Olive baboon),288.95497767774
Monodelphis domestica (Opossum),287.83672902293233
Cebus imitator (Panamanian white-faced capuchin),285.85497714562416
Aotus nancymaae (Ma's night monkey),285.30849416534966
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),285.22739970946475
Rhinopithecus bieti (Black snub-nosed monkey),283.6844159386852
Callithrix jacchus (White-tufted-ear marmoset),281.9739901771414
Macaca fascicularis (Crab-eating macaque),280.51519456816135
Propithecus coquereli (Coquerel's sifaka),276.8858510986123
Prolemur simus (Greater bamboo lemur),276.506872276232
Cercocebus atys (Sooty mangabey),274.3209935667194
Microcebus murinus (Mouse Lemur),273.6651812967849
Equus asinus (Donkey),271.70245264903554
Equus caballus (Horse),271.4914821849005
Balaenoptera musculus (Blue whale),269.4164285448228
Ursus americanus (American black bear),268.9879156489951
Sus scrofa (Pig - Hampshire),268.7918841690213
Sciurus vulgaris (Eurasian red squirrel),268.63991188161486
Ailuropoda melanoleuca (Giant panda),268.40801579319856
Catagonus wagneri (Chacoan peccary),267.87781555800325
Oryctolagus cuniculus (Rabbit),267.6450802411772
Urocitellus parryii (Arctic ground squirrel),267.06864661673774
Physeter catodon (Sperm whale),266.80240942057907
Monodon monoceros (Narwhal),266.6662941855701
Rhinolophus ferrumequinum (Greater horseshoe bat),266.31188460728055
Phocoena sinus (Vaquita),266.22006183186204
Cervus hanglu yarkandensis (Yarkand deer),265.1354500901937
Loxodonta africana (Elephant),264.700605015724
Moschus moschiferus (Siberian musk deer),263.83953514359143
Nannospalax galili (Upper Galilee mountains blind mole rat),263.75530438098923
Bos indicus x Bos taurus (Hybrid - Bos Taurus),263.6547313081004
Bos grunniens (Domestic yak),263.39575052280384
Ovis aries (Sheep),263.3853742636847
Capra hircus (Goat (black bengal)),263.18343629775075
Panthera leo (Lion),262.03332109466874
Bos taurus (Cow),260.83935954536025
Mesocricetus auratus (Golden Hamster),260.7132306808664
Dipodomys ordii (Kangaroo rat),259.79609320541266
Cricetulus griseus (Chinese hamster CriGri),259.48204235646114
Microtus ochrogaster (Prairie vole),259.24824037299067
Mus musculus (Mouse),258.47437835466656
Mus spicilegus (Steppe mouse),258.3181612573752
Mus spretus (Algerian mouse),256.95153193197666
Mus caroli (Ryukyu mouse),256.9212368027878
Rattus norvegicus (Rat),256.798969858008
Mus pahari (Shrew mouse),256.2644144706715
Rhinopithecus roxellana (Golden snub-nosed monkey),248.1774499944128
Nomascus leucogenys (Gibbon),244.85316263056794
Pseudonaja textilis (Eastern brown snake),242.25053078556263
Mandrillus leucophaeus (Drill),241.99665831244778
Peromyscus maniculatus bairdii (Northern American deer mouse),232.15017214742022
Marmota marmota marmota (Alpine marmot),231.17469895545662
Sarcophilus harrisii (Tasmanian devil),228.64761472411806
Vombatus ursinus (Common wombat),227.83864805060205
Panthera pardus (Leopard),224.68160847979826
Delphinapterus leucas (Beluga whale),219.99717978598298
Camelus dromedarius (Arabian camel),219.93862401035386
Ictidomys tridecemlineatus (Squirrel),218.50826641976494
Terrapene carolina triunguis (Three-toed box turtle),215.2165977576638
Echinops telfairi (Lesser hedgehog tenrec),210.25381926152963
Ochotona princeps (Pika),202.85586577909743
Gorilla gorilla gorilla (Gorilla),198.73505419599957
Phascolarctos cinereus (Koala),192.83463721743004
Bos mutus (Wild yak),187.9028782146449
Ornithorhynchus anatinus (Platypus),187.3434116075752
Felis catus (Cat),182.76503360311608
Dasypus novemcinctus (Armadillo),182.08977858659387
Neovison vison (American mink),181.00807574491785
Heterocephalus glaber (Naked mole-rat),179.25753163008392
Octodon degus (Degu),176.2037037037037
Tursiops truncatus (Dolphin),175.84795321637426
Procavia capensis (Hyrax),174.35110975313574
Mustela putorius furo (Ferret),170.0852449595326
Pteropus vampyrus (Megabat),169.23252339388222
Chinchilla lanigera (Long-tailed chinchilla),168.53615520282187
Otolemur garnettii (Bushbaby),168.06261281678158
Panthera tigris altaica (Tiger),156.84418051498173
Notamacropus eugenii (Wallaby),147.14413422090257
Sphenodon punctatus (Tuatara),147.12854322643125
Crocodylus porosus (Australian saltwater crocodile),146.96741854636593
Gallus gallus (Chicken),146.8184264341836
Vulpes vulpes (Red fox),145.22372811008412
Chelonoidis abingdonii (Abingdon island giant tortoise),144.34685439713934
Parus major (Great Tit),144.30550899541848
Strigops habroptila (Kakapo),143.44358773792231
Anser brachyrhynchus (Pink-footed goose),142.92360412709053
Aquila chrysaetos chrysaetos (Golden eagle),142.76343725555927
Struthio camelus australis (African ostrich),142.32247284878864
Serinus canaria (Common canary),141.97899206615264
Salvator merianae (Argentine black and white tegu),141.79535888553656
Tupaia belangeri (Tree Shrew),140.51530099133183
Anas platyrhynchos (Mallard),139.18650128505976
Myotis lucifugus (Microbat),137.7931248359932
Cavia porcellus (Guinea Pig),136.47173489278754
Ficedula albicollis (Collared flycatcher),135.81293999329534
Pelodiscus sinensis (Chinese softshell turtle),132.7392259842813
Ursus maritimus (Polar bear),125.68368905278058
Geospiza fortis (Medium ground-finch),120.66833751044278
Chrysemys picta bellii (Painted turtle),112.27846686780646
Bison bison bison (American bison),111.75071436553168
Meleagris gallopavo (Turkey),111.5443066264387
Gopherus evgoodei (Goodes thornscrub tortoise),111.17368793533728
Naja naja (Indian cobra),99.78768577494692
Carlito syrichta (Tarsier),92.85794103092127
Vicugna pacos (Alpaca),86.08187134502924
Erinaceus europaeus (Hedgehog),76.2208067940552
Coturnix japonica (Japanese quail),74.41613588110403
Taeniopygia guttata (Zebra finch),74.20382165605095
Podarcis muralis (Common wall lizard),73.03609341825901
Notechis scutatus (Mainland tiger snake),71.97452229299363
Laticauda laticaudata (Blue-ringed sea krait),70.91295116772824
Leptobrachium leishanense (Leishan spiny toad),68.57749469214437
Astyanax mexicanus (Mexican tetra),68.36518046709129
Eptatretus burgeri (Hagfish),66.76646706586826
Erpetoichthys calabaricus (Reedfish),64.01273885350318
Latimeria chalumnae (Coelacanth),63.8004246284501
Xenopus tropicalis (Tropical clawed frog),63.58811040339703
Lepisosteus oculatus (Spotted gar),53.397027600849256
Anolis carolinensis (Green anole),39.91507430997877
Petromyzon marinus (Lamprey),36.19957537154989
