Species,Similarity
Pan troglodytes (Chimpanzee),99.38776873432812
Gorilla gorilla gorilla (Gorilla),98.57493584432903
Pongo abelii (Sumatran orangutan),98.16484125030766
Macaca mulatta (Macaque),97.12367947594224
Macaca nemestrina (Pig-tailed macaque),97.1004426948515
Chlorocebus sabaeus (Vervet-AGM),97.08292967969122
Cercocebus atys (Sooty mangabey),97.05379827398558
Papio anubis (Olive baboon),96.72779990397743
Aotus nancymaae (Ma's night monkey),95.35418465079952
Callithrix jacchus (White-tufted-ear marmoset),94.74786245735191
Cebus imitator (Panamanian white-faced capuchin),94.49146010605499
Microcebus murinus (Mouse Lemur),93.62478907807946
Prolemur simus (Greater bamboo lemur),93.10828525812687
Nomascus leucogenys (Gibbon),93.03545830279234
Propithecus coquereli (Coquerel's sifaka),92.95895507049781
Canis lupus familiaris (Dog - Boxer),91.94901755251368
Sus scrofa (Pig - Hampshire),91.89146832737288
Felis catus (Cat),91.85061865417026
Panthera pardus (Leopard),91.80976898096765
Balaenoptera musculus (Blue whale),91.66358367246269
Panthera leo (Lion),91.64637028815719
Catagonus wagneri (Chacoan peccary),91.644839469723
Delphinapterus leucas (Beluga whale),91.62273399926009
Monodon monoceros (Narwhal),91.59641890228895
Heterocephalus glaber (Naked mole-rat),91.48939449993833
Phocoena sinus (Vaquita),91.44498454891021
Rhinolophus ferrumequinum (Greater horseshoe bat),91.34963209602499
Neovison vison (American mink),91.31417766267933
Ovis aries (Sheep),91.27384182184404
Moschus moschiferus (Siberian musk deer),91.26202367739548
Sciurus vulgaris (Eurasian red squirrel),91.10241857135551
Capra hircus (Goat (black bengal)),91.01009945684024
Ursus americanus (American black bear),90.9889217741604
Bos grunniens (Domestic yak),90.95295350844742
Bos indicus x Bos taurus (Hybrid - Bos Taurus),90.87716323426645
Bos taurus (Cow),90.8481317055124
Ictidomys tridecemlineatus (Squirrel),90.51320279796191
Urocitellus parryii (Arctic ground squirrel),90.50217785105126
Pteropus vampyrus (Megabat),90.33748114630467
Physeter catodon (Sperm whale),90.1670469026185
Rattus norvegicus (Rat),89.6763369918198
Cricetulus griseus (Chinese hamster CriGri),89.55969704443623
Procavia capensis (Hyrax),89.37543464246374
Otolemur garnettii (Bushbaby),89.14888806675711
Mus caroli (Ryukyu mouse),88.8610875933989
Mus pahari (Shrew mouse),88.84027587883207
Mus musculus (Mouse),88.82403511153342
Mus spicilegus (Steppe mouse),88.74409906037434
Microtus ochrogaster (Prairie vole),88.73139926830271
Mus spretus (Algerian mouse),88.67613758533571
Equus caballus (Horse),87.2082459818309
Octodon degus (Degu),87.10615311634456
Myotis lucifugus (Microbat),86.85154355243145
Loxodonta africana (Elephant),86.5033759156197
Nannospalax galili (Upper Galilee mountains blind mole rat),86.31124881818556
Oryctolagus cuniculus (Rabbit),85.81896177957326
Chinchilla lanigera (Long-tailed chinchilla),85.57871326773682
Equus asinus (Donkey),84.96995108315863
Peromyscus maniculatus bairdii (Northern American deer mouse),84.7733485427714
Dasypus novemcinctus (Armadillo),84.01068911006628
Mesocricetus auratus (Golden Hamster),83.95738274345378
Mustela putorius furo (Ferret),83.65088173634234
Dipodomys ordii (Kangaroo rat),83.41079059829059
Jaculus jaculus (Lesser Egyptian jerboa),83.39377802261703
Rhinopithecus roxellana (Golden snub-nosed monkey),81.19076542982064
Gallus gallus (Chicken),80.82077094855616
Strigops habroptila (Kakapo),80.15682163850866
Coturnix japonica (Japanese quail),80.1514263986517
Taeniopygia guttata (Zebra finch),80.10415382085748
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),80.10081391046985
Vombatus ursinus (Common wombat),80.07358079500145
Sarcophilus harrisii (Tasmanian devil),79.91782582748014
Monodelphis domestica (Opossum),79.8679074841063
Phascolarctos cinereus (Koala),79.2275558021951
Podarcis muralis (Common wall lizard),78.81420861643639
