Species,Similarity
Pan troglodytes (Chimpanzee),99.65321379071757
Gorilla gorilla gorilla (Gorilla),98.96782947307318
Pan paniscus (Bonobo),98.92129535560215
Rhinopithecus roxellana (Golden snub-nosed monkey),98.76224832013897
Macaca nemestrina (Pig-tailed macaque),98.761552221284
Macaca mulatta (Macaque),98.76134778958952
Cebus imitator (Panamanian white-faced capuchin),98.67971703438468
Rhinopithecus bieti (Black snub-nosed monkey),98.15219485430461
Chlorocebus sabaeus (Vervet-AGM),97.64094782921143
Panthera leo (Lion),97.34455378062853
Felis catus (Cat),97.30742524793186
Panthera pardus (Leopard),97.29394332473979
Sus scrofa (Pig - Hampshire),97.106865753387
Balaenoptera musculus (Blue whale),97.02762248680969
Chinchilla lanigera (Long-tailed chinchilla),97.0035987245915
Monodon monoceros (Narwhal),96.85890492795534
Mustela putorius furo (Ferret),96.77701699780832
Rhinolophus ferrumequinum (Greater horseshoe bat),96.77602762046371
Octodon degus (Degu),96.73759337595256
Capra hircus (Goat (black bengal)),96.70584466222427
Aotus nancymaae (Ma's night monkey),96.66934213409822
Ovis aries (Sheep),96.65536502293517
Phocoena sinus (Vaquita),96.38838891120778
Prolemur simus (Greater bamboo lemur),96.35256223328528
Moschus moschiferus (Siberian musk deer),96.28845556794239
Peromyscus maniculatus bairdii (Northern American deer mouse),95.88319149774233
Cricetulus griseus (Chinese hamster CriGri),95.85186200037221
Jaculus jaculus (Lesser Egyptian jerboa),95.81386996356032
Heterocephalus glaber (Naked mole-rat),95.80655156802489
Mesocricetus auratus (Golden Hamster),95.79963418752688
Microcebus murinus (Mouse Lemur),95.78726605435716
Propithecus coquereli (Coquerel's sifaka),95.71863911201136
Bos taurus (Cow),95.55624452600554
Pongo abelii (Sumatran orangutan),95.51385118630454
Canis lupus familiaris (Dog - Boxer),95.49999653387933
Rattus norvegicus (Rat),95.49894414739184
Mus spicilegus (Steppe mouse),95.48806625528802
Mus musculus (Mouse),95.46414860885483
Nannospalax galili (Upper Galilee mountains blind mole rat),95.30894388978149
Delphinapterus leucas (Beluga whale),95.3069144640771
Mus spretus (Algerian mouse),95.11013423539096
Microtus ochrogaster (Prairie vole),95.09645343651289
Mus caroli (Ryukyu mouse),95.08923726709753
Mus pahari (Shrew mouse),94.96183697636751
Ailuropoda melanoleuca (Giant panda),94.95405851799042
Catagonus wagneri (Chacoan peccary),94.82049945156204
Dipodomys ordii (Kangaroo rat),94.78010047024718
Otolemur garnettii (Bushbaby),94.71179562241174
Papio anubis (Olive baboon),94.69941536828608
Physeter catodon (Sperm whale),94.45238545011816
Cervus hanglu yarkandensis (Yarkand deer),94.18224884862674
Urocitellus parryii (Arctic ground squirrel),93.46249046437595
Camelus dromedarius (Arabian camel),93.37642950745696
Myotis lucifugus (Microbat),93.01414070413193
Nomascus leucogenys (Gibbon),92.23615218627855
Bison bison bison (American bison),91.0061899696908
Bos indicus x Bos taurus (Hybrid - Bos Taurus),90.57632204768863
Ursus americanus (American black bear),90.45821659424945
Phascolarctos cinereus (Koala),88.57621808623331
Vulpes vulpes (Red fox),88.41856473468968
Carlito syrichta (Tarsier),88.29087885472622
Mandrillus leucophaeus (Drill),87.7980314514306
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),87.75807873086683
Loxodonta africana (Elephant),87.5630946698427
Ictidomys tridecemlineatus (Squirrel),85.45457977692269
Sarcophilus harrisii (Tasmanian devil),84.76528058742939
Cavia porcellus (Guinea Pig),84.6879599965614
Callithrix jacchus (White-tufted-ear marmoset),84.13511939840699
Neovison vison (American mink),83.65016185865824
Equus asinus (Donkey),83.00425714769665
Ornithorhynchus anatinus (Platypus),82.73464468579587
Bos grunniens (Domestic yak),82.36709657957016
Bos mutus (Wild yak),82.35080899192997
Tursiops truncatus (Dolphin),81.35261942700524
Equus caballus (Horse),81.16928944253048
Dasypus novemcinctus (Armadillo),81.01514313246072
Pteropus vampyrus (Megabat),77.98603325763409
Aquila chrysaetos chrysaetos (Golden eagle),77.62003021700062
Terrapene carolina triunguis (Three-toed box turtle),77.44126984685387
Strigops habroptila (Kakapo),76.63611330034918
Podarcis muralis (Common wall lizard),75.96644476597223
