Species,Similarity
Canis lupus familiaris (Dog - Boxer),1320.1841813557576
Papio anubis (Olive baboon),1064.7321165556216
Cebus imitator (Panamanian white-faced capuchin),958.3579804670262
Pongo abelii (Sumatran orangutan),883.4520746210723
Pan troglodytes (Chimpanzee),876.132631585952
Chlorocebus sabaeus (Vervet-AGM),872.5039196011817
Macaca mulatta (Macaque),872.4143130264672
Gorilla gorilla gorilla (Gorilla),871.5014164670839
Cercocebus atys (Sooty mangabey),870.3944077406317
Macaca nemestrina (Pig-tailed macaque),867.4434446458822
Aotus nancymaae (Ma's night monkey),855.7536453473418
Callithrix jacchus (White-tufted-ear marmoset),852.4248021795395
Propithecus coquereli (Coquerel's sifaka),843.7418312985891
Prolemur simus (Greater bamboo lemur),840.0734909711978
Panthera pardus (Leopard),830.4516351471941
Urocitellus parryii (Arctic ground squirrel),828.5379334572362
Catagonus wagneri (Chacoan peccary),826.112519170824
Microcebus murinus (Mouse Lemur),825.2969860463674
Phocoena sinus (Vaquita),823.9833497041067
Balaenoptera musculus (Blue whale),823.8184605311212
Rhinolophus ferrumequinum (Greater horseshoe bat),822.4077999533716
Moschus moschiferus (Siberian musk deer),820.8308348831579
Capra hircus (Goat (black bengal)),820.5823449968781
Bos taurus (Cow),820.1279863729742
Sus scrofa (Pig - Hampshire),812.3204116753608
Felis catus (Cat),812.2488421196163
Equus asinus (Donkey),811.6624177306853
Rattus norvegicus (Rat),808.3744340331282
Cricetulus griseus (Chinese hamster CriGri),808.3310336558214
Otolemur garnettii (Bushbaby),808.0761355196222
Mus musculus (Mouse),805.459943104471
Microtus ochrogaster (Prairie vole),803.7215527187873
Mus pahari (Shrew mouse),803.6349820743594
Mus caroli (Ryukyu mouse),802.4425507236941
Ovis aries (Sheep),801.8695647288837
Mus spretus (Algerian mouse),801.2755913336326
Panthera leo (Lion),734.8732336750465
Physeter catodon (Sperm whale),729.1294195232434
Delphinapterus leucas (Beluga whale),727.1777427606327
Nannospalax galili (Upper Galilee mountains blind mole rat),717.0311964800023
Mesocricetus auratus (Golden Hamster),716.2273287786912
Mus spicilegus (Steppe mouse),714.6753830877735
Monodon monoceros (Narwhal),714.0462786622614
Heterocephalus glaber (Naked mole-rat),713.6225130556735
Equus caballus (Horse),713.3864135382494
Ursus americanus (American black bear),712.9015174728034
Bos indicus x Bos taurus (Hybrid - Bos Taurus),712.3985033717466
Bos grunniens (Domestic yak),711.9746222148889
Ailuropoda melanoleuca (Giant panda),698.9962031421969
Rhinopithecus bieti (Black snub-nosed monkey),678.500351007265
Nomascus leucogenys (Gibbon),660.0003913469108
Macaca fascicularis (Crab-eating macaque),654.6127568672695
Sciurus vulgaris (Eurasian red squirrel),640.3092090025216
Ictidomys tridecemlineatus (Squirrel),636.535387320304
Cavia porcellus (Guinea Pig),627.9191227450528
Camelus dromedarius (Arabian camel),621.5718133975097
Mustela putorius furo (Ferret),621.5554056740309
Neovison vison (American mink),617.1646046836944
Dasypus novemcinctus (Armadillo),613.9434713897197
