Species,Similarity
Pan troglodytes (Chimpanzee),99.29579327330718
Pongo abelii (Sumatran orangutan),97.4087942798723
Macaca nemestrina (Pig-tailed macaque),96.971995210291
Cebus imitator (Panamanian white-faced capuchin),96.07108307558741
Macaca mulatta (Macaque),95.85805805932273
Chlorocebus sabaeus (Vervet-AGM),95.58882938941477
Aotus nancymaae (Ma's night monkey),95.10631800334549
Cercocebus atys (Sooty mangabey),93.84398575734954
Phocoena sinus (Vaquita),92.17213056442148
Balaenoptera musculus (Blue whale),91.70735148450063
Moschus moschiferus (Siberian musk deer),91.47706980307558
Catagonus wagneri (Chacoan peccary),91.42924363457698
Microcebus murinus (Mouse Lemur),91.2959713008106
Canis lupus familiaris (Dog - Boxer),91.20928633124933
Capra hircus (Goat (black bengal)),91.18832803796256
Panthera leo (Lion),90.95488976755166
Rhinolophus ferrumequinum (Greater horseshoe bat),90.87459838439784
Urocitellus parryii (Arctic ground squirrel),90.61790201303992
Propithecus coquereli (Coquerel's sifaka),90.2592996771093
Sus scrofa (Pig - Hampshire),89.5483054330033
Monodon monoceros (Narwhal),89.10918542366106
Ovis aries (Sheep),89.02596242168006
Bos indicus x Bos taurus (Hybrid - Bos Taurus),88.95834260814604
Bos taurus (Cow),88.92104510466555
Cricetulus griseus (Chinese hamster CriGri),88.855772680287
Mus musculus (Mouse),88.53368778634537
Delphinapterus leucas (Beluga whale),88.31812782010755
Rattus norvegicus (Rat),88.24357296378946
Mus pahari (Shrew mouse),88.11088475223968
Mus spretus (Algerian mouse),88.03289702791895
Microtus ochrogaster (Prairie vole),87.7811352521538
Mus caroli (Ryukyu mouse),87.59347071475871
Sciurus vulgaris (Eurasian red squirrel),87.07614765316339
Nannospalax galili (Upper Galilee mountains blind mole rat),87.07040688752477
Papio anubis (Olive baboon),86.23727815059266
Physeter catodon (Sperm whale),86.18250288321966
Mesocricetus auratus (Golden Hamster),86.138008728564
Equus asinus (Donkey),85.91808902169113
Macaca fascicularis (Crab-eating macaque),85.4715651421122
Otolemur garnettii (Bushbaby),85.2775549749981
Felis catus (Cat),84.1736102066311
Callithrix jacchus (White-tufted-ear marmoset),83.92276318204598
Mus spicilegus (Steppe mouse),83.472771059728
Heterocephalus glaber (Naked mole-rat),83.31630464071573
Panthera pardus (Leopard),82.50468018211853
Pan paniscus (Bonobo),82.50249690475408
Gorilla gorilla gorilla (Gorilla),82.35647333993391
Jaculus jaculus (Lesser Egyptian jerboa),82.19511798352701
Prolemur simus (Greater bamboo lemur),82.17653745976007
Bos grunniens (Domestic yak),82.11534825688327
Equus caballus (Horse),82.10633711649416
Neovison vison (American mink),81.65892213032305
Rhinopithecus roxellana (Golden snub-nosed monkey),80.54828287660007
Camelus dromedarius (Arabian camel),80.34049103204404
Ailuropoda melanoleuca (Giant panda),80.23529189398046
Rhinopithecus bieti (Black snub-nosed monkey),80.03840290385786
Ursus americanus (American black bear),79.93621803997787
Octodon degus (Degu),79.54243437235064
Peromyscus maniculatus bairdii (Northern American deer mouse),79.49446368835291
Nomascus leucogenys (Gibbon),79.10436443131023
Vombatus ursinus (Common wombat),78.32251595113058
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),77.41644645656125
Mustela putorius furo (Ferret),76.5295873483722
Phascolarctos cinereus (Koala),75.42128128436613
Ictidomys tridecemlineatus (Squirrel),74.79478429362166
Dasypus novemcinctus (Armadillo),74.62745947561828
Myotis lucifugus (Microbat),73.76566050176584
Pteropus vampyrus (Megabat),73.29503462992425
Dipodomys ordii (Kangaroo rat),73.13996564029239
Mandrillus leucophaeus (Drill),71.35038877213745
Oryctolagus cuniculus (Rabbit),71.17414219029259
Chinchilla lanigera (Long-tailed chinchilla),70.12501164182048
Cervus hanglu yarkandensis (Yarkand deer),69.84414486029996
Sarcophilus harrisii (Tasmanian devil),69.43129745791207
Cavia porcellus (Guinea Pig),67.20675065822232
Tursiops truncatus (Dolphin),66.88364305458865
Monodelphis domestica (Opossum),65.43931379190677
Aquila chrysaetos chrysaetos (Golden eagle),65.14554400393965
Vulpes vulpes (Red fox),64.35284207525702
Terrapene carolina triunguis (Three-toed box turtle),64.0156755727986
Strigops habroptila (Kakapo),63.938585106387904
Ornithorhynchus anatinus (Platypus),63.582523520430875
Gallus gallus (Chicken),62.647091165900214
Gopherus evgoodei (Goodes thornscrub tortoise),62.49467054876548
Loxodonta africana (Elephant),62.41228673488042
Anser brachyrhynchus (Pink-footed goose),61.306367885691714
Chelonoidis abingdonii (Abingdon island giant tortoise),61.271134003970026
Chrysemys picta bellii (Painted turtle),61.1314569322283
Coturnix japonica (Japanese quail),60.90837188468243
Salvator merianae (Argentine black and white tegu),60.56538145444975
Marmota marmota marmota (Alpine marmot),60.00358233734643
Anas platyrhynchos (Mallard),59.29781963810497
Taeniopygia guttata (Zebra finch),58.72212629236206
Podarcis muralis (Common wall lizard),58.16864470491752
Parus major (Great Tit),57.908778333717905
Notamacropus eugenii (Wallaby),57.148354403327964
Naja naja (Indian cobra),56.999235884431144
Bos mutus (Wild yak),55.854654557347125
Bison bison bison (American bison),55.0782330251813
Pelodiscus sinensis (Chinese softshell turtle),54.52028972160332
Poecilia latipinna (Sailfin molly),52.59259293707763
Stegastes partitus (Bicolor damselfish),52.51731567527907
Poecilia reticulata (Guppy),52.1326215552939
Acanthochromis polyacanthus (Spiny chromis),51.98052733012085
Neolamprologus brichardi (Lyretail cichlid),51.967594960881435
Maylandia zebra (Zebra mbuna),51.85870344632026
Betta splendens (Siamese fighting fish),51.79696959614317
Seriola lalandi dorsalis (Yellowtail amberjack),51.76747165391855
Astyanax mexicanus (Mexican tetra),51.76386452369026
Carassius auratus (Goldfish),51.76301956309819
Labrus bergylta (Ballan wrasse),51.65365587582013
Haplochromis burtoni (Burton's mouthbrooder),51.60893893960028
Astatotilapia calliptera (Eastern happy),51.59409056836643
Scleropages formosus two (Asian bonytongue),51.547937142593916
Poecilia formosa (Amazon molly),51.51665733707792
Notechis scutatus (Mainland tiger snake),51.45353184112249
Amphiprion ocellaris (Clown anemonefish),51.37655699803575
Oreochromis niloticus (Nile tilapia),51.35591892342129
Latimeria chalumnae (Coelacanth),51.336665863206974
Cyprinodon variegatus (Sheepshead minnow),51.319643851207495
Lepisosteus oculatus (Spotted gar),50.99720408145598
Danio rerio (Zebrafish),50.978542295568516
Cyprinus carpio carpio (Common carp),50.91010774839775
Amphiprion percula (Orange clownfish),50.86131667640562
Oryzias latipes (Japanese medaka HdrR),50.83103758472032
Lates calcarifer (Barramundi perch),50.77239584774348
Pundamilia nyererei (Makobe Island cichlid),50.74085376256736
Amphilophus citrinellus (Midas cichlid),50.47464310363509
Cynoglossus semilaevis (Tongue sole),50.449732329183725
Nothobranchius furzeri (Turquoise killifish),50.411831858446554
Oncorhynchus mykiss (Rainbow trout),50.36619974465818
Oryzias melastigma (Indian medaka),50.288147127561814
Pseudonaja textilis (Eastern brown snake),50.28790265677476
Oncorhynchus tshawytscha (Chinook salmon),49.762782936670924
Procavia capensis (Hyrax),49.74954114477964
Oryzias javanicus (Javanese ricefish),49.65612800716034
Seriola dumerili (Greater amberjack),49.53957401559009
Oncorhynchus kisutch (Coho salmon),49.37407343248491
Salmo salar (Atlantic salmon),49.369922244687544
Fundulus heteroclitus (Mummichog),49.328674130797474
Hippocampus comes (Tiger tail seahorse),49.31566996358383
Pygocentrus nattereri (Red-bellied piranha),49.214522956950766
Salmo trutta (Brown trout),49.09315822581462
Hucho hucho (Huchen),49.03469416797971
Scophthalmus maximus (Turbot),48.97263040376408
Electrophorus electricus (Electric eel),48.95194077329136
Esox lucius (Northern pike),48.88485990807879
Sinocyclocheilus grahami (Golden-line barbel),48.73623780976031
Sparus aurata (Gilthead seabream),48.55374811760575
Larimichthys crocea (Large yellow croaker),48.55084628677833
Carlito syrichta (Tarsier),48.52100280685791
Mastacembelus armatus (Zig-zag eel),48.49958494736642
Crocodylus porosus (Australian saltwater crocodile),48.39052694240956
Kryptolebias marmoratus (Mangrove rivulus),48.355907633965735
Gadus morhua (Atlantic cod),48.227551568757896
Paramormyrops kingsleyae (Paramormyrops kingsleyae),48.213903999242824
Sander lucioperca (Pike-perch),48.01881876448308
Xiphophorus maculatus (Platyfish),47.97477601082275
Myripristis murdjan (Pinecone soldierfish),47.882880873362254
Sphenodon punctatus (Tuatara),47.853514570958154
Oryzias sinensis (Chinese medaka),47.836628237561655
Erpetoichthys calabaricus (Reedfish),47.69676681511274
Cottoperca gobio (Channel bull blenny),47.66443505160433
Ficedula albicollis (Collared flycatcher),47.617073591017615
Laticauda laticaudata (Blue-ringed sea krait),47.13958392122102
Ictalurus punctatus (Channel catfish),46.92800782926311
Denticeps clupeoides (Denticle herring),46.86650558432571
Ochotona princeps (Pika),46.696221616226744
Dicentrarchus labrax (European seabass),46.66188711818137
Anabas testudineus (Climbing perch),46.558575114978176
Tetraodon nigroviridis (Tetraodon),46.41694142647603
Xenopus tropicalis (Tropical clawed frog),46.36101862629743
Cyclopterus lumpus (Lumpfish),46.33468812710544
Takifugu rubripes (Fugu),46.06828460553926
Leptobrachium leishanense (Leishan spiny toad),45.84990831250707
Tupaia belangeri (Tree Shrew),45.66812099422519
Anolis carolinensis (Green anole),45.564066170388955
Echinops telfairi (Lesser hedgehog tenrec),43.68162845323958
Callorhinchus milii (Elephant shark),42.82353037166192
Gasterosteus aculeatus (Stickleback),42.1448629869179
Scleropages formosus (Asian bonytongue),40.87927343593473
Serinus canaria (Common canary),39.97752308071996
Panthera tigris altaica (Tiger),39.38501463621786
Struthio camelus australis (African ostrich),35.560866813548905
Erinaceus europaeus (Hedgehog),35.113307206221066
Geospiza fortis (Medium ground-finch),31.73400705009593
Meleagris gallopavo (Turkey),29.87781403288251
Eptatretus burgeri (Hagfish),27.100149133917604
Sorex araneus (Shrew),27.02274142274096
