Species,Similarity
Pongo abelii (Sumatran orangutan),98.32890483426395
Pan troglodytes (Chimpanzee),97.3034277156943
Gorilla gorilla gorilla (Gorilla),97.03646773012595
Pan paniscus (Bonobo),96.95857722551276
Aotus nancymaae (Ma's night monkey),96.36976248100699
Cercocebus atys (Sooty mangabey),96.20119862162929
Cebus imitator (Panamanian white-faced capuchin),96.12683115174708
Macaca mulatta (Macaque),95.90605022520779
Macaca nemestrina (Pig-tailed macaque),95.23945253349076
Monodon monoceros (Narwhal),94.58552563833842
Balaenoptera musculus (Blue whale),94.53348357258959
Rhinopithecus roxellana (Golden snub-nosed monkey),94.27277250757038
Camelus dromedarius (Arabian camel),94.24541340542271
Papio anubis (Olive baboon),94.22592830896932
Rhinopithecus bieti (Black snub-nosed monkey),94.1644558272526
Catagonus wagneri (Chacoan peccary),94.06120175184556
Sus scrofa (Pig - Hampshire),93.9554698492656
Phocoena sinus (Vaquita),93.81454758481874
Panthera leo (Lion),93.80995446215606
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),93.76756626595953
Chlorocebus sabaeus (Vervet-AGM),93.57633739121968
Macaca fascicularis (Crab-eating macaque),93.52404761056178
Moschus moschiferus (Siberian musk deer),93.51883672154223
Prolemur simus (Greater bamboo lemur),93.39996370505756
Sciurus vulgaris (Eurasian red squirrel),93.20139556229783
Rhinolophus ferrumequinum (Greater horseshoe bat),92.98168343703485
Urocitellus parryii (Arctic ground squirrel),92.7494712671485
Panthera pardus (Leopard),92.71864635906354
Mandrillus leucophaeus (Drill),92.53310268001414
Bos taurus (Cow),92.4962878383614
Otolemur garnettii (Bushbaby),92.45431224652475
Microcebus murinus (Mouse Lemur),92.27625240514945
Equus caballus (Horse),92.04454356427073
Delphinapterus leucas (Beluga whale),92.04248850761898
Ictidomys tridecemlineatus (Squirrel),91.8074270461982
Ailuropoda melanoleuca (Giant panda),91.75203323182879
Chinchilla lanigera (Long-tailed chinchilla),91.74799631222473
Canis lupus familiaris (Dog - Boxer),91.70740740642154
Mustela putorius furo (Ferret),91.49094543569933
Capra hircus (Goat (black bengal)),91.43383495978154
Propithecus coquereli (Coquerel's sifaka),91.41022002691102
Octodon degus (Degu),91.27096625730685
Equus asinus (Donkey),91.24035875847377
Bos mutus (Wild yak),91.14587561733647
Loxodonta africana (Elephant),91.11848219743086
Cavia porcellus (Guinea Pig),90.91867079399546
Peromyscus maniculatus bairdii (Northern American deer mouse),90.80170887218813
Microtus ochrogaster (Prairie vole),90.72022075322856
Felis catus (Cat),90.69704565277276
Dasypus novemcinctus (Armadillo),90.67099382169532
Cricetulus griseus (Chinese hamster CriGri),90.49530548128496
Neovison vison (American mink),90.43489222842933
Mus spicilegus (Steppe mouse),90.29219244935402
Nannospalax galili (Upper Galilee mountains blind mole rat),90.25389394719762
Mus musculus (Mouse),90.21821329557679
Mus caroli (Ryukyu mouse),90.07926888721927
Heterocephalus glaber (Naked mole-rat),89.9647618981731
Cervus hanglu yarkandensis (Yarkand deer),89.94468569608324
Rattus norvegicus (Rat),89.80655904596358
Bos indicus x Bos taurus (Hybrid - Bos Taurus),89.74507675670665
Mus pahari (Shrew mouse),89.57305024940163
Marmota marmota marmota (Alpine marmot),89.53904911081281
Mus spretus (Algerian mouse),89.01326760378282
Mesocricetus auratus (Golden Hamster),88.79216743791794
Bos grunniens (Domestic yak),88.6459980073227
Physeter catodon (Sperm whale),87.94565905087588
Vulpes vulpes (Red fox),87.86435084358638
Nomascus leucogenys (Gibbon),87.3637015572592
Callithrix jacchus (White-tufted-ear marmoset),87.00849298807503
Ursus americanus (American black bear),86.49124118711717
Jaculus jaculus (Lesser Egyptian jerboa),86.1343476070131
Vombatus ursinus (Common wombat),85.05120423623337
