Species,Similarity
Canis lupus familiaris (Dog - Boxer),2121.051035349437
Aotus nancymaae (Ma's night monkey),1252.5650770486677
Pongo abelii (Sumatran orangutan),1180.6946815887295
Pan troglodytes (Chimpanzee),1177.1219951380172
Papio anubis (Olive baboon),1161.2024177020437
Cebus imitator (Panamanian white-faced capuchin),1159.4191069053882
Pan paniscus (Bonobo),1158.868410012106
Cercocebus atys (Sooty mangabey),1157.4382730988632
Gorilla gorilla gorilla (Gorilla),1156.5122395071803
Macaca nemestrina (Pig-tailed macaque),1156.0924144676715
Rhinopithecus roxellana (Golden snub-nosed monkey),1147.11120852046
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),1140.1305123403906
Monodon monoceros (Narwhal),1137.2672881740407
Rhinopithecus bieti (Black snub-nosed monkey),1136.9628153226752
Camelus dromedarius (Arabian camel),1132.1284937558687
Phocoena sinus (Vaquita),1131.7147888006507
Sus scrofa (Pig - Hampshire),1130.0266392079577
Catagonus wagneri (Chacoan peccary),1129.9563911882292
Prolemur simus (Greater bamboo lemur),1128.603814355944
Moschus moschiferus (Siberian musk deer),1127.320645888344
Panthera leo (Lion),1123.9868190161894
Vombatus ursinus (Common wombat),1122.6000751132706
Panthera pardus (Leopard),1121.1771894242952
Sciurus vulgaris (Eurasian red squirrel),1120.2701892379262
Rhinolophus ferrumequinum (Greater horseshoe bat),1118.835403352425
Microcebus murinus (Mouse Lemur),1118.403989985912
Bos taurus (Cow),1118.0771824089447
Delphinapterus leucas (Beluga whale),1116.8402781423463
Ailuropoda melanoleuca (Giant panda),1111.2323035594661
Mandrillus leucophaeus (Drill),1111.1634897024217
Capra hircus (Goat (black bengal)),1110.4807662130588
Urocitellus parryii (Arctic ground squirrel),1109.2203971171843
Ictidomys tridecemlineatus (Squirrel),1108.2949261421375
Mustela putorius furo (Ferret),1108.247420796524
Chinchilla lanigera (Long-tailed chinchilla),1107.8018956794474
Bos mutus (Wild yak),1107.342831342683
Equus caballus (Horse),1104.0549335482642
Octodon degus (Degu),1100.3707694517668
Loxodonta africana (Elephant),1097.998383253741
Mus musculus (Mouse),1091.830688173002
