Species,Similarity
Canis lupus familiaris (Dog - Boxer),354.7754217966256
Pan troglodytes (Chimpanzee),197.47478182024258
Gorilla gorilla gorilla (Gorilla),197.3699914748508
Pongo abelii (Sumatran orangutan),195.70793433652528
Nomascus leucogenys (Gibbon),194.9293205654355
Pan paniscus (Bonobo),194.17464660282718
Cercocebus atys (Sooty mangabey),192.89712986643934
Rhinopithecus bieti (Black snub-nosed monkey),192.5092355782893
Macaca nemestrina (Pig-tailed macaque),192.49088007295944
Macaca fascicularis (Crab-eating macaque),192.40551292980962
Rhinopithecus roxellana (Golden snub-nosed monkey),192.31315714691672
Aotus nancymaae (Ma's night monkey),190.37402244134648
Cebus imitator (Panamanian white-faced capuchin),190.3155285102547
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),190.00084760128834
Microcebus murinus (Mouse Lemur),185.43859649122805
Prolemur simus (Greater bamboo lemur),185.2649962676582
Rhinolophus ferrumequinum (Greater horseshoe bat),182.47036023711811
Balaenoptera musculus (Blue whale),181.99875325852884
Physeter catodon (Sperm whale),181.80777513317466
Equus caballus (Horse),181.54881928574628
Monodon monoceros (Narwhal),181.2246401450754
Sciurus vulgaris (Eurasian red squirrel),181.11821540210286
Phocoena sinus (Vaquita),181.0421625297518
Marmota marmota marmota (Alpine marmot),180.05257175333904
Urocitellus parryii (Arctic ground squirrel),179.66041489059393
Ictidomys tridecemlineatus (Squirrel),179.56521739130437
Panthera leo (Lion),179.39136052128976
Felis catus (Cat),179.29446129648355
Bos indicus x Bos taurus (Hybrid - Bos Taurus),179.2181558263975
Bos taurus (Cow),179.2181558263975
Moschus moschiferus (Siberian musk deer),179.21391803547314
Panthera pardus (Leopard),179.1981238063139
Ursus americanus (American black bear),179.16666666666666
Ailuropoda melanoleuca (Giant panda),179.0367143535155
Sus scrofa (Pig - Hampshire),179.02986776105791
Capra hircus (Goat (black bengal)),178.92490069443267
Mustela putorius furo (Ferret),178.90798786653187
Ovis aries (Sheep),178.83138677470208
Delphinapterus leucas (Beluga whale),178.75512995896034
Catagonus wagneri (Chacoan peccary),178.6342909256726
Cervus hanglu yarkandensis (Yarkand deer),178.5353064487877
Neovison vison (American mink),178.19767441860466
Bos mutus (Wild yak),177.76675786593708
Dasypus novemcinctus (Armadillo),176.91247513498155
Equus asinus (Donkey),174.515503875969
Carlito syrichta (Tarsier),174.24304605563157
Jaculus jaculus (Lesser Egyptian jerboa),173.54651162790697
Heterocephalus glaber (Naked mole-rat),172.68940853998032
Camelus dromedarius (Arabian camel),172.4215119573841
Bison bison bison (American bison),171.02429016344996
Macaca mulatta (Macaque),96.52173913043478
Papio anubis (Olive baboon),96.52173913043478
Chlorocebus sabaeus (Vervet-AGM),96.42512077294684
Mandrillus leucophaeus (Drill),96.23188405797102
Callithrix jacchus (White-tufted-ear marmoset),95.85741811175336
Propithecus coquereli (Coquerel's sifaka),93.81642512077296
Otolemur garnettii (Bushbaby),91.8111753371869
Loxodonta africana (Elephant),91.27906976744184
Oryctolagus cuniculus (Rabbit),91.04046242774568
Chinchilla lanigera (Long-tailed chinchilla),88.56589147286822
Cavia porcellus (Guinea Pig),87.1124031007752
Nannospalax galili (Upper Galilee mountains blind mole rat),85.85271317829456
Dipodomys ordii (Kangaroo rat),85.65891472868216
Peromyscus maniculatus bairdii (Northern American deer mouse),85.36821705426357
Panthera tigris altaica (Tiger),85.27131782945736
Tupaia belangeri (Tree Shrew),85.0
Octodon degus (Degu),84.88372093023256
Mesocricetus auratus (Golden Hamster),84.59302325581395
Rattus norvegicus (Rat),84.39922480620154
Mus musculus (Mouse),84.39922480620154
Cricetulus griseus (Chinese hamster CriGri),84.30232558139535
Myotis lucifugus (Microbat),84.13597733711048
Mus spicilegus (Steppe mouse),84.01162790697676
Mus spretus (Algerian mouse),83.81782945736434
Mus caroli (Ryukyu mouse),83.72093023255815
Mus pahari (Shrew mouse),83.72093023255815
Microtus ochrogaster (Prairie vole),83.62403100775194
Tursiops truncatus (Dolphin),83.59649122807018
Ochotona princeps (Pika),82.48106060606061
Vombatus ursinus (Common wombat),81.0077519379845
Sarcophilus harrisii (Tasmanian devil),80.73217726396918
Phascolarctos cinereus (Koala),80.53949903660886
Vulpes vulpes (Red fox),80.52325581395348
Procavia capensis (Hyrax),80.45977011494253
Anser brachyrhynchus (Pink-footed goose),80.42635658914729
Ficedula albicollis (Collared flycatcher),80.42635658914729
Taeniopygia guttata (Zebra finch),80.32945736434108
Strigops habroptila (Kakapo),80.23255813953489
Coturnix japonica (Japanese quail),80.23255813953489
Meleagris gallopavo (Turkey),80.03875968992247
