Species,Similarity
Canis lupus familiaris (Dog - Boxer),371.50742755093756
Notechis scutatus (Mainland tiger snake),232.3227795661682
Pan troglodytes (Chimpanzee),199.65635738831617
Cercocebus atys (Sooty mangabey),198.93466262807365
Chlorocebus sabaeus (Vervet-AGM),198.556610479515
Macaca nemestrina (Pig-tailed macaque),198.5222009426402
Macaca mulatta (Macaque),198.5222009426402
Rhinopithecus roxellana (Golden snub-nosed monkey),198.5222009426402
Aotus nancymaae (Ma's night monkey),196.71796404203394
Cebus imitator (Panamanian white-faced capuchin),196.56900696793124
Callithrix jacchus (White-tufted-ear marmoset),195.7155599020234
Microcebus murinus (Mouse Lemur),194.65022253009704
Prolemur simus (Greater bamboo lemur),194.09468961239466
Propithecus coquereli (Coquerel's sifaka),193.50474715781752
Otolemur garnettii (Bushbaby),191.08159135052904
Ailuropoda melanoleuca (Giant panda),190.5286225162002
Neovison vison (American mink),190.31851950709552
Ursus americanus (American black bear),190.3034769210156
Panthera leo (Lion),190.13256817474087
Panthera pardus (Leopard),190.0195738244584
Sus scrofa (Pig - Hampshire),189.9936161253956
Delphinapterus leucas (Beluga whale),189.81024951441805
Monodon monoceros (Narwhal),189.81024951441805
Sciurus vulgaris (Eurasian red squirrel),189.66276122701157
Balaenoptera musculus (Blue whale),189.4321973658594
Capra hircus (Goat (black bengal)),189.41499259742199
Ovis aries (Sheep),189.41499259742199
Phocoena sinus (Vaquita),189.28324029175664
Moschus moschiferus (Siberian musk deer),189.15451290238207
Bos grunniens (Domestic yak),188.9421038864987
Bos taurus (Cow),188.82755634927076
Catagonus wagneri (Chacoan peccary),188.5158170680358
Rhinolophus ferrumequinum (Greater horseshoe bat),188.490724373739
Cervus hanglu yarkandensis (Yarkand deer),188.33599408321382
Dasypus novemcinctus (Armadillo),187.20720476950692
Bos indicus x Bos taurus (Hybrid - Bos Taurus),186.78318298969072
Ochotona princeps (Pika),185.6919712589816
Mus spicilegus (Steppe mouse),184.78276555636734
Rattus norvegicus (Rat),184.03099097148942
Nomascus leucogenys (Gibbon),184.0194866640407
Felis catus (Cat),183.8105464089716
Ictidomys tridecemlineatus (Squirrel),179.63038125388965
Chinchilla lanigera (Long-tailed chinchilla),179.59926400952457
Equus caballus (Horse),179.57143654915475
Urocitellus parryii (Arctic ground squirrel),179.40128617943375
Equus asinus (Donkey),179.0566131765175
Octodon degus (Degu),179.04095750917733
Cavia porcellus (Guinea Pig),179.00248563628213
Tursiops truncatus (Dolphin),178.47004332885103
Dipodomys ordii (Kangaroo rat),177.85054915436965
Loxodonta africana (Elephant),177.64970100386938
Heterocephalus glaber (Naked mole-rat),177.474411148107
Nannospalax galili (Upper Galilee mountains blind mole rat),177.2415690306753
Jaculus jaculus (Lesser Egyptian jerboa),176.76314919703532
Cricetulus griseus (Chinese hamster CriGri),176.3627787884913
Peromyscus maniculatus bairdii (Northern American deer mouse),176.2417584399888
Mesocricetus auratus (Golden Hamster),175.97062192574623
Mus musculus (Mouse),175.52110109947594
Microtus ochrogaster (Prairie vole),175.16077242921955
Mus caroli (Ryukyu mouse),174.9072979911169
Mus pahari (Shrew mouse),174.8900932226795
Mus spretus (Algerian mouse),174.75834091701415
Vulpes vulpes (Red fox),174.7571502015856
Oryctolagus cuniculus (Rabbit),172.74535270720025
Physeter catodon (Sperm whale),169.7939893147259
Pteropus vampyrus (Megabat),168.35691930261294
Vombatus ursinus (Common wombat),168.02765440147778
Sarcophilus harrisii (Tasmanian devil),167.89590209581246
Phascolarctos cinereus (Koala),167.75283086354355
Ornithorhynchus anatinus (Platypus),161.57314969506814
Salvator merianae (Argentine black and white tegu),160.4154498820568
Pseudonaja textilis (Eastern brown snake),158.89780820305248
Naja naja (Indian cobra),157.9986326736663
Laticauda laticaudata (Blue-ringed sea krait),157.64910422014862
Strigops habroptila (Kakapo),155.10596779086245
Cyprinus carpio carpio (Common carp),153.75494071146244
Oncorhynchus tshawytscha (Chinook salmon),153.0961791831357
Oncorhynchus mykiss (Rainbow trout),153.0961791831357
Hucho hucho (Huchen),153.0961791831357
Oncorhynchus kisutch (Coho salmon),152.96442687747034
Salmo trutta (Brown trout),152.96442687747034
Salmo salar (Atlantic salmon),152.70092226613966
Lepisosteus oculatus (Spotted gar),152.18387369888939
Sinocyclocheilus grahami (Golden-line barbel),152.0421607378129
Hippocampus comes (Tiger tail seahorse),151.94391245489408
Podarcis muralis (Common wall lizard),151.8578886127071
Cynoglossus semilaevis (Tongue sole),151.64011246485472
Gadus morhua (Atlantic cod),150.27142785995318
Pan paniscus (Bonobo),100.0
Pongo abelii (Sumatran orangutan),99.7709049255441
Gorilla gorilla gorilla (Gorilla),99.7364953886693
Mandrillus leucophaeus (Drill),99.60474308300395
Rhinopithecus bieti (Black snub-nosed monkey),99.3127147766323
Papio anubis (Olive baboon),99.19816723940436
Macaca fascicularis (Crab-eating macaque),98.9459815546772
Carlito syrichta (Tarsier),97.49670619235836
Tupaia belangeri (Tree Shrew),96.04743083003952
Mustela putorius furo (Ferret),95.66929133858268
Myotis lucifugus (Microbat),94.86166007905138
Camelus dromedarius (Arabian camel),94.0435280641466
Erinaceus europaeus (Hedgehog),93.7007874015748
Procavia capensis (Hyrax),92.6797385620915
Monodelphis domestica (Opossum),87.35177865612648
Echinops telfairi (Lesser hedgehog tenrec),85.7707509881423
Sphenodon punctatus (Tuatara),85.24374176548089
Coturnix japonica (Japanese quail),84.7167325428195
Gallus gallus (Chicken),84.58498023715416
Terrapene carolina triunguis (Three-toed box turtle),83.53096179183136
Aquila chrysaetos chrysaetos (Golden eagle),83.399209486166
Pelodiscus sinensis (Chinese softshell turtle),83.399209486166
Chrysemys picta bellii (Painted turtle),83.26745718050066
Parus major (Great Tit),83.13570487483531
Ficedula albicollis (Collared flycatcher),83.13570487483531
Serinus canaria (Common canary),83.00395256916995
Chelonoidis abingdonii (Abingdon island giant tortoise),82.87220026350461
Gopherus evgoodei (Goodes thornscrub tortoise),82.74044795783925
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),82.6086956521739
Denticeps clupeoides (Denticle herring),81.42292490118577
Xenopus tropicalis (Tropical clawed frog),81.15942028985508
Pygocentrus nattereri (Red-bellied piranha),80.67444876783398
Nothobranchius furzeri (Turquoise killifish),80.63241106719367
Cyprinodon variegatus (Sheepshead minnow),80.50065876152833
Fundulus heteroclitus (Mummichog),80.36890645586297
Poecilia reticulata (Guppy),80.23715415019763
Poecilia formosa (Amazon molly),80.23715415019763
Scleropages formosus two (Asian bonytongue),80.10540184453228
Poecilia latipinna (Sailfin molly),80.10540184453228
Gasterosteus aculeatus (Stickleback),79.97364953886694
Xiphophorus maculatus (Platyfish),79.71014492753623
Lates calcarifer (Barramundi perch),79.71014492753623
Oryzias javanicus (Javanese ricefish),79.57839262187089
Cyclopterus lumpus (Lumpfish),79.57839262187089
Leptobrachium leishanense (Leishan spiny toad),79.31488801054019
Bison bison bison (American bison),79.15234822451318
Seriola dumerili (Greater amberjack),79.05138339920948
Amphiprion ocellaris (Clown anemonefish),78.91963109354414
Amphiprion percula (Orange clownfish),78.91963109354414
Myripristis murdjan (Pinecone soldierfish),78.91963109354414
Seriola lalandi dorsalis (Yellowtail amberjack),78.91963109354414
Acanthochromis polyacanthus (Spiny chromis),78.78787878787878
Stegastes partitus (Bicolor damselfish),78.78787878787878
Astyanax mexicanus (Mexican tetra),78.7531806615776
Betta splendens (Siamese fighting fish),78.52437417654808
Larimichthys crocea (Large yellow croaker),78.39262187088273
Sparus aurata (Gilthead seabream),78.39262187088273
Struthio camelus australis (African ostrich),78.12911725955203
Anabas testudineus (Climbing perch),78.12911725955203
Takifugu rubripes (Fugu),77.99736495388669
Mastacembelus armatus (Zig-zag eel),77.99736495388669
Erpetoichthys calabaricus (Reedfish),77.99736495388669
Tetraodon nigroviridis (Tetraodon),77.86561264822134
Dicentrarchus labrax (European seabass),77.86561264822134
Oreochromis niloticus (Nile tilapia),77.86561264822134
Maylandia zebra (Zebra mbuna),77.86561264822134
Haplochromis burtoni (Burton's mouthbrooder),77.86561264822134
Marmota marmota marmota (Alpine marmot),77.86561264822134
Sander lucioperca (Pike-perch),77.60210803689066
Labrus bergylta (Ballan wrasse),77.60210803689066
Anolis carolinensis (Green anole),77.4703557312253
Pundamilia nyererei (Makobe Island cichlid),77.4703557312253
Amphilophus citrinellus (Midas cichlid),77.33860342555995
Callorhinchus milii (Elephant shark),77.33860342555995
Electrophorus electricus (Electric eel),77.33860342555995
Scophthalmus maximus (Turbot),77.07509881422925
Cottoperca gobio (Channel bull blenny),77.07509881422925
Danio rerio (Zebrafish),76.54808959156784
Notamacropus eugenii (Wallaby),76.4163372859025
Paramormyrops kingsleyae (Paramormyrops kingsleyae),76.28458498023716
Ictalurus punctatus (Channel catfish),75.93984962406014
Latimeria chalumnae (Coelacanth),75.8893280632411
Esox lucius (Northern pike),75.8893280632411
Scleropages formosus (Asian bonytongue),75.09881422924902
Oryzias melastigma (Indian medaka),74.70355731225297
Neolamprologus brichardi (Lyretail cichlid),72.59552042160738
Choloepus hoffmanni (Sloth),72.46376811594203
Astatotilapia calliptera (Eastern happy),72.46376811594203
Geospiza fortis (Medium ground-finch),72.33201581027669
Taeniopygia guttata (Zebra finch),72.2794959908362
Kryptolebias marmoratus (Mangrove rivulus),71.93675889328063
Eptatretus burgeri (Hagfish),71.80500658761528
