Species,Similarity
Canis lupus familiaris (Dog - Boxer),558.4787954749689
Pan troglodytes (Chimpanzee),298.5366582356987
Pongo abelii (Sumatran orangutan),295.5005984090487
Macaca mulatta (Macaque),290.822184315907
Chlorocebus sabaeus (Vervet-AGM),290.3187056660123
Macaca nemestrina (Pig-tailed macaque),290.0823802195557
Cercocebus atys (Sooty mangabey),290.0505284927138
Callithrix jacchus (White-tufted-ear marmoset),285.17822559683935
Cebus imitator (Panamanian white-faced capuchin),284.77104282037044
Prolemur simus (Greater bamboo lemur),281.9015492517361
Microcebus murinus (Mouse Lemur),280.9979470376931
Equus asinus (Donkey),280.5655130719432
Propithecus coquereli (Coquerel's sifaka),280.19833276049894
Balaenoptera musculus (Blue whale),279.732303718587
Delphinapterus leucas (Beluga whale),279.6620505488472
Catagonus wagneri (Chacoan peccary),279.56200143882194
Monodon monoceros (Narwhal),279.21156324192367
Physeter catodon (Sperm whale),279.0427339295534
Rhinopithecus roxellana (Golden snub-nosed monkey),278.6437315673597
Bos indicus x Bos taurus (Hybrid - Bos Taurus),278.0770744696246
Bos taurus (Cow),277.97864509469093
Panthera pardus (Leopard),277.27332470294857
Moschus moschiferus (Siberian musk deer),276.94742445647137
Ovis aries (Sheep),276.9324042719458
Capra hircus (Goat (black bengal)),276.6031868583044
Rhinolophus ferrumequinum (Greater horseshoe bat),276.31871894154995
Sus scrofa (Pig - Hampshire),276.22755117872526
Sciurus vulgaris (Eurasian red squirrel),275.21848483194987
Rhinopithecus bieti (Black snub-nosed monkey),274.61386170774483
Urocitellus parryii (Arctic ground squirrel),273.9880336106124
Nannospalax galili (Upper Galilee mountains blind mole rat),272.99585742577744
Otolemur garnettii (Bushbaby),270.9925200913662
Peromyscus maniculatus bairdii (Northern American deer mouse),268.3974609961114
Mus caroli (Ryukyu mouse),266.24742006811846
Mus pahari (Shrew mouse),266.22847989301584
Rattus norvegicus (Rat),266.1665884016412
Mesocricetus auratus (Golden Hamster),265.95767199971056
Mus musculus (Mouse),265.91100119603914
Mus spretus (Algerian mouse),265.1663948714539
Microtus ochrogaster (Prairie vole),265.11728205877796
Cricetulus griseus (Chinese hamster CriGri),264.89051211733045
Equus caballus (Horse),255.26209017457535
Papio anubis (Olive baboon),193.03063288032314
Nomascus leucogenys (Gibbon),191.1165028748522
Aotus nancymaae (Ma's night monkey),190.81643687483103
Gorilla gorilla gorilla (Gorilla),190.0086993162881
Panthera leo (Lion),188.03640120159304
Ailuropoda melanoleuca (Giant panda),188.00038059508762
Dasypus novemcinctus (Armadillo),187.62527717680678
Ursus americanus (American black bear),187.32754285092904
Camelus dromedarius (Arabian camel),186.9985999537849
Mustela putorius furo (Ferret),186.93836171938364
Cervus hanglu yarkandensis (Yarkand deer),186.3535353535354
Felis catus (Cat),185.6056385851544
Ictidomys tridecemlineatus (Squirrel),185.20844377387215
Phocoena sinus (Vaquita),184.79123952023954
Octodon degus (Degu),184.65726053093016
Cavia porcellus (Guinea Pig),184.05646399978252
Jaculus jaculus (Lesser Egyptian jerboa),183.53428352615063
Heterocephalus glaber (Naked mole-rat),182.78011118813632
Mandrillus leucophaeus (Drill),181.58055702809605
Mus spicilegus (Steppe mouse),181.50783618100016
Dipodomys ordii (Kangaroo rat),178.7480584637981
Oryctolagus cuniculus (Rabbit),176.73544563606956
Chinchilla lanigera (Long-tailed chinchilla),176.12717312998683
Neovison vison (American mink),169.49598336255758
Vombatus ursinus (Common wombat),165.73556797020484
Macaca fascicularis (Crab-eating macaque),96.75262655205348
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),95.62043795620438
Pteropus vampyrus (Megabat),94.2822384428224
Tursiops truncatus (Dolphin),93.94785847299812
Vulpes vulpes (Red fox),93.7956204379562
Bos grunniens (Domestic yak),93.05555555555556
Loxodonta africana (Elephant),91.97080291970804
Procavia capensis (Hyrax),91.48418491484183
Ochotona princeps (Pika),89.59484346224677
Bison bison bison (American bison),88.6861313868613
Marmota marmota marmota (Alpine marmot),88.44282238442823
Anas platyrhynchos (Mallard),84.42822384428223
Choloepus hoffmanni (Sloth),84.42822384428223
Carlito syrichta (Tarsier),84.30656934306569
Monodelphis domestica (Opossum),83.75116063138347
Ornithorhynchus anatinus (Platypus),83.19783197831978
Gallus gallus (Chicken),83.09002433090025
Phascolarctos cinereus (Koala),82.68156424581005
Notamacropus eugenii (Wallaby),82.49534450651768
Sarcophilus harrisii (Tasmanian devil),82.4074074074074
Strigops habroptila (Kakapo),82.36009732360098
Aquila chrysaetos chrysaetos (Golden eagle),82.1256038647343
Meleagris gallopavo (Turkey),81.8734793187348
Pan paniscus (Bonobo),81.65735567970205
Coturnix japonica (Japanese quail),81.6301703163017
Taeniopygia guttata (Zebra finch),81.45454545454545
Naja naja (Indian cobra),80.52568697729988
Pseudonaja textilis (Eastern brown snake),80.45563549160671
Salvator merianae (Argentine black and white tegu),80.44692737430168
Podarcis muralis (Common wall lizard),80.40621266427718
Notechis scutatus (Mainland tiger snake),80.16726403823178
Pygocentrus nattereri (Red-bellied piranha),80.04866180048663
Laticauda laticaudata (Blue-ringed sea krait),80.04778972520909
