Species,Similarity
Canis lupus familiaris (Dog - Boxer),368.59452736318406
Pan troglodytes (Chimpanzee),199.42229641267346
Gorilla gorilla gorilla (Gorilla),199.40756742602775
Pongo abelii (Sumatran orangutan),198.8004058654098
Nomascus leucogenys (Gibbon),197.6891856506939
Cercocebus atys (Sooty mangabey),196.27029327048967
Macaca nemestrina (Pig-tailed macaque),196.1459151610369
Rhinopithecus bieti (Black snub-nosed monkey),195.91188792877716
Papio anubis (Olive baboon),195.81696779261586
Chlorocebus sabaeus (Vervet-AGM),195.5682115737104
Macaca mulatta (Macaque),194.04621628698612
Aotus nancymaae (Ma's night monkey),193.4619664833726
Cebus imitator (Panamanian white-faced capuchin),192.30655930871956
Callithrix jacchus (White-tufted-ear marmoset),191.38517936632627
Prolemur simus (Greater bamboo lemur),189.146373396177
Propithecus coquereli (Coquerel's sifaka),187.8600418957842
Felis catus (Cat),187.63256087981148
Panthera pardus (Leopard),187.55236973029588
Panthera leo (Lion),187.44272060748887
Ailuropoda melanoleuca (Giant panda),187.31834249803612
Equus asinus (Donkey),186.8142838439382
Equus caballus (Horse),186.70463472113119
Ursus americanus (American black bear),186.28731343283582
Sus scrofa (Pig - Hampshire),186.23658025661166
Neovison vison (American mink),186.05328620057608
Physeter catodon (Sperm whale),185.98782403770622
Delphinapterus leucas (Beluga whale),185.8781749148992
Balaenoptera musculus (Blue whale),185.86344592825347
Mustela putorius furo (Ferret),185.83398795496203
Phocoena sinus (Vaquita),185.53449855983243
Monodon monoceros (Narwhal),185.5197695731867
Catagonus wagneri (Chacoan peccary),185.41012045037968
Bison bison bison (American bison),185.38884524744697
Capra hircus (Goat (black bengal)),185.27919612463995
Bos taurus (Cow),185.26446713799425
Ovis aries (Sheep),185.26446713799425
Bos grunniens (Domestic yak),185.1400890285415
Bos mutus (Wild yak),185.1400890285415
Cervus hanglu yarkandensis (Yarkand deer),184.81114166012043
Rhinolophus ferrumequinum (Greater horseshoe bat),184.45928253469492
Chinchilla lanigera (Long-tailed chinchilla),183.95236930103582
Pteropus vampyrus (Megabat),183.87339617700968
Nannospalax galili (Upper Galilee mountains blind mole rat),183.86684996072273
Marmota marmota marmota (Alpine marmot),183.72119664833724
Cavia porcellus (Guinea Pig),183.0931408531115
Sciurus vulgaris (Eurasian red squirrel),182.77035873265254
Ochotona princeps (Pika),182.52160251374704
Octodon degus (Degu),182.34687219639508
Rhinopithecus roxellana (Golden snub-nosed monkey),182.31539670070697
Heterocephalus glaber (Naked mole-rat),181.92369058321387
Pan paniscus (Bonobo),181.8931657501964
Loxodonta africana (Elephant),181.69514270751506
Urocitellus parryii (Arctic ground squirrel),181.53312385441217
Peromyscus maniculatus bairdii (Northern American deer mouse),181.24181722964127
Microtus ochrogaster (Prairie vole),180.50373134328356
Jaculus jaculus (Lesser Egyptian jerboa),180.35006497725797
Dasypus novemcinctus (Armadillo),179.58235140089027
Cricetulus griseus (Chinese hamster CriGri),179.41378633150038
Camelus dromedarius (Arabian camel),179.29922754647816
Mesocricetus auratus (Golden Hamster),178.90154490704373
Tursiops truncatus (Dolphin),178.5987824037706
Mus pahari (Shrew mouse),177.98016496465044
Mus musculus (Mouse),177.950706991359
Mus caroli (Ryukyu mouse),177.8557868551977
Mus spicilegus (Steppe mouse),177.73140874574494
Mus spretus (Algerian mouse),177.48265252683947
Echinops telfairi (Lesser hedgehog tenrec),172.94448808588635
Vulpes vulpes (Red fox),171.0149908352972
Microcebus murinus (Mouse Lemur),169.48972244042943
Bos indicus x Bos taurus (Hybrid - Bos Taurus),169.32910379980206
Ictidomys tridecemlineatus (Squirrel),165.97276774024613
Monodelphis domestica (Opossum),162.38311598906395
Sarcophilus harrisii (Tasmanian devil),162.3409609184556
Ornithorhynchus anatinus (Platypus),161.99127314248432
Vombatus ursinus (Common wombat),160.81128747795415
Taeniopygia guttata (Zebra finch),160.45103430217335
Parus major (Great Tit),160.19409531290916
Gallus gallus (Chicken),160.08444619010214
Aquila chrysaetos chrysaetos (Golden eagle),159.91588112071224
Strigops habroptila (Kakapo),159.8062319979052
Chelonoidis abingdonii (Abingdon island giant tortoise),159.62948415815657
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),159.61475517151086
Chrysemys picta bellii (Painted turtle),159.57875098193244
Gopherus evgoodei (Goodes thornscrub tortoise),159.46910185912543
Phascolarctos cinereus (Koala),159.36241483004073
Terrapene carolina triunguis (Three-toed box turtle),159.19088766692852
Notamacropus eugenii (Wallaby),158.87339617700968
Coturnix japonica (Japanese quail),158.67373658025662
Salvator merianae (Argentine black and white tegu),155.78358208955223
Naja naja (Indian cobra),155.61501702016233
Anolis carolinensis (Green anole),155.58804418453542
Laticauda laticaudata (Blue-ringed sea krait),151.66764859910973
Pseudonaja textilis (Eastern brown snake),150.77572663000785
