Species,Similarity
Canis lupus familiaris (Dog - Boxer),6173.156703092709
Macaca nemestrina (Pig-tailed macaque),3943.2026729374447
Pan troglodytes (Chimpanzee),3867.000192138385
Pongo abelii (Sumatran orangutan),3720.7716825341276
Macaca mulatta (Macaque),3556.3585100267564
Rhinopithecus roxellana (Golden snub-nosed monkey),3510.156185455621
Chlorocebus sabaeus (Vervet-AGM),3486.5083254781284
Cercocebus atys (Sooty mangabey),3482.531382128602
Rhinopithecus bieti (Black snub-nosed monkey),3447.1676989263374
Cebus imitator (Panamanian white-faced capuchin),3341.8193301582205
Aotus nancymaae (Ma's night monkey),3332.2483651289567
Rhinolophus ferrumequinum (Greater horseshoe bat),3266.554028188758
Prolemur simus (Greater bamboo lemur),3264.9583720930914
Delphinapterus leucas (Beluga whale),3263.364141110013
Propithecus coquereli (Coquerel's sifaka),3258.5902843145213
Microcebus murinus (Mouse Lemur),3239.845178198235
Urocitellus parryii (Arctic ground squirrel),3228.964499970178
Monodon monoceros (Narwhal),3215.8604197189734
Balaenoptera musculus (Blue whale),3202.389693741387
Sus scrofa (Pig - Hampshire),3193.076082822269
Sciurus vulgaris (Eurasian red squirrel),3186.1058344397807
Equus asinus (Donkey),3183.729881289845
Ovis aries (Sheep),3181.257991623835
Bos indicus x Bos taurus (Hybrid - Bos Taurus),3159.2596618280477
Nomascus leucogenys (Gibbon),3129.383576166867
Catagonus wagneri (Chacoan peccary),3109.736338349615
Panthera pardus (Leopard),3107.2867446801793
Physeter catodon (Sperm whale),3103.258110155391
Capra hircus (Goat (black bengal)),3097.114307324462
Papio anubis (Olive baboon),3095.5997798039043
Bos taurus (Cow),3091.0905282632284
Otolemur garnettii (Bushbaby),3020.3839139710094
Phocoena sinus (Vaquita),3018.9633341610765
Panthera leo (Lion),3018.2918361864163
Gorilla gorilla gorilla (Gorilla),3004.8504240434945
Moschus moschiferus (Siberian musk deer),3004.5299227787546
Felis catus (Cat),2902.7632174703513
Cervus hanglu yarkandensis (Yarkand deer),2900.232497113912
