Species,Similarity
Canis lupus familiaris (Dog - Boxer),553.6282457068194
Pan troglodytes (Chimpanzee),298.5989186986144
Pongo abelii (Sumatran orangutan),296.82847101060463
Cercocebus atys (Sooty mangabey),294.2680692267163
Pan paniscus (Bonobo),294.0846112646734
Nomascus leucogenys (Gibbon),293.7006655335244
Chlorocebus sabaeus (Vervet-AGM),291.4276229831863
Cebus imitator (Panamanian white-faced capuchin),288.0648959693617
Aotus nancymaae (Ma's night monkey),287.6565337317967
Macaca fascicularis (Crab-eating macaque),286.22046224557243
Prolemur simus (Greater bamboo lemur),282.6686921078338
Microcebus murinus (Mouse Lemur),281.22926583138144
Macaca mulatta (Macaque),280.66273571888803
Macaca nemestrina (Pig-tailed macaque),280.15008646928123
Equus asinus (Donkey),279.84460762609774
Rhinopithecus roxellana (Golden snub-nosed monkey),279.2746255753746
Monodon monoceros (Narwhal),278.57061098589577
Gorilla gorilla gorilla (Gorilla),278.432553987709
Otolemur garnettii (Bushbaby),278.13758242741665
Physeter catodon (Sperm whale),277.6935133291851
Sciurus vulgaris (Eurasian red squirrel),277.4864049341339
Rhinopithecus bieti (Black snub-nosed monkey),277.29784004253963
Phocoena sinus (Vaquita),277.2533073551459
Panthera leo (Lion),277.15738777872235
Ovis aries (Sheep),277.08412396082554
Catagonus wagneri (Chacoan peccary),277.0791848342317
Loxodonta africana (Elephant),277.0136206993777
Capra hircus (Goat (black bengal)),276.92659382029024
Urocitellus parryii (Arctic ground squirrel),276.8342439693887
Mesocricetus auratus (Golden Hamster),276.5617215460931
Moschus moschiferus (Siberian musk deer),276.48086771143085
Cricetulus griseus (Chinese hamster CriGri),276.21664202053535
Nannospalax galili (Upper Galilee mountains blind mole rat),275.8607885829206
Balaenoptera musculus (Blue whale),275.40458828040715
Microtus ochrogaster (Prairie vole),275.01042375714803
Mus spicilegus (Steppe mouse),274.5881080904761
Mus musculus (Mouse),274.4939153176464
Rattus norvegicus (Rat),274.4340278827109
Mus caroli (Ryukyu mouse),274.30141749536125
Camelus dromedarius (Arabian camel),274.2663174263141
Oryctolagus cuniculus (Rabbit),273.8743173474546
Mus spretus (Algerian mouse),273.64459629059485
Cavia porcellus (Guinea Pig),273.5017339423704
Mus pahari (Shrew mouse),272.85110408766195
Panthera pardus (Leopard),272.59828895999465
Ailuropoda melanoleuca (Giant panda),267.59555049247643
Heterocephalus glaber (Naked mole-rat),265.78499113418206
Delphinapterus leucas (Beluga whale),265.41907533989513
Rhinolophus ferrumequinum (Greater horseshoe bat),264.7670919666868
Sus scrofa (Pig - Hampshire),264.23796249307725
Bos grunniens (Domestic yak),264.1962483642735
Bos indicus x Bos taurus (Hybrid - Bos Taurus),264.19537043197965
Cervus hanglu yarkandensis (Yarkand deer),264.1704843273154
Vulpes vulpes (Red fox),255.77944159843543
Vombatus ursinus (Common wombat),252.9862755098779
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),190.60762637186573
Propithecus coquereli (Coquerel's sifaka),190.47945205479448
Chinchilla lanigera (Long-tailed chinchilla),188.8504365937675
Ursus americanus (American black bear),187.2242249459265
Octodon degus (Degu),187.12408876071459
Bos taurus (Cow),186.70363122417916
Neovison vison (American mink),186.6450372506609
Ictidomys tridecemlineatus (Squirrel),185.71497236241288
Bos mutus (Wild yak),185.61763999038692
Jaculus jaculus (Lesser Egyptian jerboa),185.08477823546315
Pteropus vampyrus (Megabat),182.28035157754667
Mandrillus leucophaeus (Drill),178.002179641049
Tursiops truncatus (Dolphin),177.63891097330438
Myotis lucifugus (Microbat),177.4796865731352
Procavia capensis (Hyrax),177.34438836818072
Peromyscus maniculatus bairdii (Northern American deer mouse),176.4005573259391
Ornithorhynchus anatinus (Platypus),173.75283446712018
Mustela putorius furo (Ferret),173.5154996636133
Felis catus (Cat),173.41717124670083
Equus caballus (Horse),172.8613569321534
Marmota marmota marmota (Alpine marmot),171.4455659697188
Ochotona princeps (Pika),169.62332301341587
Phascolarctos cinereus (Koala),165.4975069388156
Sarcophilus harrisii (Tasmanian devil),165.19690422129446
Monodelphis domestica (Opossum),165.179953051149
Ursus maritimus (Polar bear),90.76023391812863
Dipodomys ordii (Kangaroo rat),89.23976608187134
Strigops habroptila (Kakapo),86.64383561643835
Aquila chrysaetos chrysaetos (Golden eagle),86.5296803652968
Papio anubis (Olive baboon),85.05408062930186
Anser brachyrhynchus (Pink-footed goose),84.93150684931507
Parus major (Great Tit),84.22222222222221
Callithrix jacchus (White-tufted-ear marmoset),83.77581120943954
Gallus gallus (Chicken),83.1096196868009
Podarcis muralis (Common wall lizard),83.1081081081081
Bison bison bison (American bison),82.92397660818713
Notechis scutatus (Mainland tiger snake),82.1917808219178
Notamacropus eugenii (Wallaby),82.11382113821138
Sphenodon punctatus (Tuatara),81.9634703196347
Naja naja (Indian cobra),81.7351598173516
Salvator merianae (Argentine black and white tegu),81.62100456621005
Coturnix japonica (Japanese quail),81.59371492704825
Erpetoichthys calabaricus (Reedfish),81.05022831050228
Chrysemys picta bellii (Painted turtle),80.93607305936074
Terrapene carolina triunguis (Three-toed box turtle),80.82191780821918
Gopherus evgoodei (Goodes thornscrub tortoise),80.82191780821918
Chelonoidis abingdonii (Abingdon island giant tortoise),80.70776255707763
