Species,Similarity
Canis lupus familiaris (Dog - Boxer),295.67163434953267
Oncorhynchus tshawytscha (Chinook salmon),294.96427936997554
Cyprinus carpio carpio (Common carp),294.32939553777436
Salmo trutta (Brown trout),294.08465970159034
Salmo salar (Atlantic salmon),294.06613708170227
Oncorhynchus mykiss (Rainbow trout),293.1684824742973
Carassius auratus (Goldfish),293.0293044941817
Oncorhynchus kisutch (Coho salmon),291.850904316549
Terrapene carolina triunguis (Three-toed box turtle),224.02912621359224
Scleropages formosus two (Asian bonytongue),221.04459640560168
Paramormyrops kingsleyae (Paramormyrops kingsleyae),219.9060383755383
Hucho hucho (Huchen),211.3843941028407
Pongo abelii (Sumatran orangutan),197.8093394855245
Papio anubis (Olive baboon),196.50849552334418
Macaca fascicularis (Crab-eating macaque),196.41285856305842
Pan paniscus (Bonobo),194.9245933540622
Gorilla gorilla gorilla (Gorilla),194.4508655673704
Nomascus leucogenys (Gibbon),193.28048371452144
Mandrillus leucophaeus (Drill),192.67123246278015
Rhinopithecus bieti (Black snub-nosed monkey),192.6547641710406
Macaca mulatta (Macaque),192.4831313323603
Cercocebus atys (Sooty mangabey),192.4616016849027
Rhinopithecus roxellana (Golden snub-nosed monkey),192.41536959983563
Macaca nemestrina (Pig-tailed macaque),192.28996884622242
Sinocyclocheilus grahami (Golden-line barbel),192.17378429257354
Callithrix jacchus (White-tufted-ear marmoset),191.79268948749728
Aotus nancymaae (Ma's night monkey),190.74655752268546
Pan troglodytes (Chimpanzee),189.90999851936462
Equus asinus (Donkey),188.1568808753275
Microcebus murinus (Mouse Lemur),187.4235130945582
Sciurus vulgaris (Eurasian red squirrel),187.23026068665018
Astatotilapia calliptera (Eastern happy),186.2385024297187
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),184.83761357833316
Prolemur simus (Greater bamboo lemur),184.2202037233448
Sus scrofa (Pig - Hampshire),183.37641323078216
Cebus imitator (Panamanian white-faced capuchin),182.7843650944736
Balaenoptera musculus (Blue whale),182.405065586105
Bos indicus x Bos taurus (Hybrid - Bos Taurus),181.97568131891376
Ovis aries (Sheep),181.89145129464947
Moschus moschiferus (Siberian musk deer),181.2758544626049
Panthera leo (Lion),181.11373999437964
Catagonus wagneri (Chacoan peccary),180.91633048474304
Rhinolophus ferrumequinum (Greater horseshoe bat),180.90222065093567
Propithecus coquereli (Coquerel's sifaka),180.80461958246082
Cervus hanglu yarkandensis (Yarkand deer),180.45002251170155
Bison bison bison (American bison),178.94083199622892
Bos mutus (Wild yak),178.03771994234586
Panthera pardus (Leopard),178.0079561490184
Phocoena sinus (Vaquita),177.95855127379969
Delphinapterus leucas (Beluga whale),177.86986423479857
Oryctolagus cuniculus (Rabbit),177.69230987409557
Heterocephalus glaber (Naked mole-rat),176.75334427190512
Pteropus vampyrus (Megabat),175.34409664620972
Panthera tigris altaica (Tiger),175.28026313006325
Carlito syrichta (Tarsier),175.17812950422888
Neovison vison (American mink),173.19696747591607
Monodon monoceros (Narwhal),171.7767473764047
Mus spicilegus (Steppe mouse),171.06347393326263
Erinaceus europaeus (Hedgehog),170.02423407334885
Felis catus (Cat),169.7931778447346
Vombatus ursinus (Common wombat),169.6942638975763
Bos grunniens (Domestic yak),169.6118468962558
Monodelphis domestica (Opossum),169.5454449309389
