Species,Similarity
Pongo abelii (Sumatran orangutan),92.23700903368417
Sciurus vulgaris (Eurasian red squirrel),90.18973349359607
Callithrix jacchus (White-tufted-ear marmoset),90.08680743512124
Catagonus wagneri (Chacoan peccary),89.78691889169329
Heterocephalus glaber (Naked mole-rat),88.72086689688152
Balaenoptera musculus (Blue whale),88.5863987587794
Pan troglodytes (Chimpanzee),88.06907181264695
Cercocebus atys (Sooty mangabey),87.61501901250487
Mus caroli (Ryukyu mouse),87.57013375219341
Mus musculus (Mouse),87.29120414725588
Canis lupus familiaris (Dog - Boxer),87.20791444004331
Sus scrofa (Pig - Hampshire),86.61958600674565
Moschus moschiferus (Siberian musk deer),86.43803452716483
Mus pahari (Shrew mouse),86.2240606507727
Aotus nancymaae (Ma's night monkey),86.00648662401588
Felis catus (Cat),85.96247040296065
Phocoena sinus (Vaquita),85.80412232625359
Panthera leo (Lion),85.6110627959836
Ovis aries (Sheep),85.37081666975695
Bos grunniens (Domestic yak),85.23504249573966
Mus spretus (Algerian mouse),85.18060748849705
Bos indicus x Bos taurus (Hybrid - Bos Taurus),85.08442224290633
Delphinapterus leucas (Beluga whale),84.55463918339521
Macaca nemestrina (Pig-tailed macaque),84.24768176200617
Cricetulus griseus (Chinese hamster CriGri),83.87763685403885
Chlorocebus sabaeus (Vervet-AGM),83.68726005643138
Prolemur simus (Greater bamboo lemur),83.6450858412657
Microcebus murinus (Mouse Lemur),83.58841823583141
Macaca mulatta (Macaque),83.34121729278189
Equus asinus (Donkey),83.33291249656503
Macaca fascicularis (Crab-eating macaque),82.12917419630904
Neovison vison (American mink),81.71523219422755
Panthera pardus (Leopard),81.66589596875332
Monodon monoceros (Narwhal),81.25843986377845
Rhinolophus ferrumequinum (Greater horseshoe bat),80.93100869744576
Cebus imitator (Panamanian white-faced capuchin),80.89780539566817
Urocitellus parryii (Arctic ground squirrel),80.7350740523489
Papio anubis (Olive baboon),80.1739455543352
Rattus norvegicus (Rat),80.09194422223345
Cervus hanglu yarkandensis (Yarkand deer),79.9873323479175
Bos taurus (Cow),79.87738417651398
Physeter catodon (Sperm whale),79.83815787681715
Octodon degus (Degu),79.74238666616172
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),79.6043382703421
Rhinopithecus bieti (Black snub-nosed monkey),79.14231911518381
Pan paniscus (Bonobo),78.62706084820938
Equus caballus (Horse),78.02181402164776
Loxodonta africana (Elephant),77.38372958422568
Camelus dromedarius (Arabian camel),77.28886278816093
Ailuropoda melanoleuca (Giant panda),76.16388419382895
Capra hircus (Goat (black bengal)),76.03165468452391
Mesocricetus auratus (Golden Hamster),75.97781092974564
Salvator merianae (Argentine black and white tegu),75.62991037053202
Nannospalax galili (Upper Galilee mountains blind mole rat),75.58240338115888
Vombatus ursinus (Common wombat),75.54419913541197
Otolemur garnettii (Bushbaby),75.53292140421468
Phascolarctos cinereus (Koala),75.52499040551871
Mus spicilegus (Steppe mouse),75.51614705724272
Ictidomys tridecemlineatus (Squirrel),74.86493358777847
Gopherus evgoodei (Goodes thornscrub tortoise),74.47104615190192
Gorilla gorilla gorilla (Gorilla),74.34696228866473
Mustela putorius furo (Ferret),74.03515071554597
Carlito syrichta (Tarsier),74.01833244626766
Oryctolagus cuniculus (Rabbit),73.9651595540599
Propithecus coquereli (Coquerel's sifaka),73.69582655636971
Mandrillus leucophaeus (Drill),73.66654901157695
Rhinopithecus roxellana (Golden snub-nosed monkey),73.51696999811871
Dipodomys ordii (Kangaroo rat),73.07987085632193
Microtus ochrogaster (Prairie vole),71.32879702740505
Chinchilla lanigera (Long-tailed chinchilla),71.12414181375671
Ornithorhynchus anatinus (Platypus),71.04904272453803
Jaculus jaculus (Lesser Egyptian jerboa),71.01165858483259
Terrapene carolina triunguis (Three-toed box turtle),70.60103334870145
Bos mutus (Wild yak),70.48140955330622
Peromyscus maniculatus bairdii (Northern American deer mouse),69.47959656574076
Pteropus vampyrus (Megabat),69.21619741873485
Gallus gallus (Chicken),69.15924587099447
Coturnix japonica (Japanese quail),68.99299050314043
Xenopus tropicalis (Tropical clawed frog),68.98858487234823
Cavia porcellus (Guinea Pig),68.98484575943581
Taeniopygia guttata (Zebra finch),68.92013931176531
Leptobrachium leishanense (Leishan spiny toad),68.68466400870648
Monodelphis domestica (Opossum),68.2964333984753
Sphenodon punctatus (Tuatara),68.26899543372966
Sarcophilus harrisii (Tasmanian devil),68.03091882911485
Nomascus leucogenys (Gibbon),67.77058898230241
Chrysemys picta bellii (Painted turtle),67.63303589690625
Myotis lucifugus (Microbat),67.54621243878933
Aquila chrysaetos chrysaetos (Golden eagle),67.45181218333731
Denticeps clupeoides (Denticle herring),67.42802667834343
Ursus americanus (American black bear),66.92078876675376
Scleropages formosus two (Asian bonytongue),66.80400352554886
Scophthalmus maximus (Turbot),66.69626492371916
Lepisosteus oculatus (Spotted gar),66.47661575032811
Maylandia zebra (Zebra mbuna),66.42401504581326
