Species,Similarity
Pan troglodytes (Chimpanzee),298.8152378828355
Gorilla gorilla gorilla (Gorilla),297.8233334461106
Chlorocebus sabaeus (Vervet-AGM),293.19484117860026
Mandrillus leucophaeus (Drill),292.960376758778
Macaca nemestrina (Pig-tailed macaque),292.91831545814364
Macaca fascicularis (Crab-eating macaque),292.89640445502255
Rhinopithecus roxellana (Golden snub-nosed monkey),292.79125120343656
Rhinopithecus bieti (Black snub-nosed monkey),292.7053074801909
Aotus nancymaae (Ma's night monkey),289.50380956852587
Cebus imitator (Panamanian white-faced capuchin),288.3478171508377
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),286.87872984768865
Cercocebus atys (Sooty mangabey),285.3211838957278
Propithecus coquereli (Coquerel's sifaka),284.10100385536987
Prolemur simus (Greater bamboo lemur),283.9107872333423
Microcebus murinus (Mouse Lemur),282.19992225276417
Balaenoptera musculus (Blue whale),280.5909223576318
Delphinapterus leucas (Beluga whale),280.377531532166
Phocoena sinus (Vaquita),279.9908149857452
Otolemur garnettii (Bushbaby),279.8344056375722
Camelus dromedarius (Arabian camel),278.8946980666072
Panthera leo (Lion),278.8393451648147
Felis catus (Cat),278.6876080158367
Panthera pardus (Leopard),278.59846042083785
Catagonus wagneri (Chacoan peccary),278.3444085168437
Sciurus vulgaris (Eurasian red squirrel),277.8370002041498
Neovison vison (American mink),277.66013559964915
Sus scrofa (Pig - Hampshire),277.5777737039883
Loxodonta africana (Elephant),276.85149920808726
Moschus moschiferus (Siberian musk deer),276.7842794997018
Capra hircus (Goat (black bengal)),276.7582112750064
Equus caballus (Horse),276.16578690204324
Bos indicus x Bos taurus (Hybrid - Bos Taurus),275.85822890507814
Rhinolophus ferrumequinum (Greater horseshoe bat),275.69671868918806
Papio anubis (Olive baboon),275.51493083200967
Monodon monoceros (Narwhal),275.16096808844753
Myotis lucifugus (Microbat),274.2674795257225
Oryctolagus cuniculus (Rabbit),273.2271420709903
Dipodomys ordii (Kangaroo rat),272.98119311235985
Octodon degus (Degu),272.18631763727575
Canis lupus familiaris (Dog - Boxer),272.08601849257496
Nannospalax galili (Upper Galilee mountains blind mole rat),271.62046080312575
Bos grunniens (Domestic yak),271.11327975418396
Ovis aries (Sheep),271.07449483446203
Mesocricetus auratus (Golden Hamster),269.9231923825201
Cricetulus griseus (Chinese hamster CriGri),269.4638237140117
Heterocephalus glaber (Naked mole-rat),268.6060737893448
Marmota marmota marmota (Alpine marmot),268.10489559015747
Microtus ochrogaster (Prairie vole),267.8873074760481
Bos taurus (Cow),266.88779057684167
Mus spretus (Algerian mouse),266.8492449334833
Mus caroli (Ryukyu mouse),266.69932890648215
Mus pahari (Shrew mouse),266.52152353280866
Equus asinus (Donkey),266.4855021067319
Cavia porcellus (Guinea Pig),264.0561357828546
Urocitellus parryii (Arctic ground squirrel),263.96097449274527
Peromyscus maniculatus bairdii (Northern American deer mouse),262.9716685405998
Dasypus novemcinctus (Armadillo),254.51404064905358
Sarcophilus harrisii (Tasmanian devil),250.69493675171677
Pongo abelii (Sumatran orangutan),196.8154963498156
Nomascus leucogenys (Gibbon),194.28537015983807
Macaca mulatta (Macaque),194.09949574772338
Callithrix jacchus (White-tufted-ear marmoset),192.64248884138436
Physeter catodon (Sperm whale),187.50828855041914
Ictidomys tridecemlineatus (Squirrel),186.5547139843065
Pan paniscus (Bonobo),185.16938103027286
Ursus americanus (American black bear),183.91566945134343
Cervus hanglu yarkandensis (Yarkand deer),183.65077244341518
Procavia capensis (Hyrax),183.58124758766073
Ochotona princeps (Pika),183.0512291681483
Bison bison bison (American bison),182.6264560632602
Bos mutus (Wild yak),181.4338944805677
Jaculus jaculus (Lesser Egyptian jerboa),180.93559177775796
Chinchilla lanigera (Long-tailed chinchilla),180.73424128203305
Carlito syrichta (Tarsier),179.12369912049877
Mus musculus (Mouse),177.13930909911943
Vulpes vulpes (Red fox),177.12335342378987
Mus spicilegus (Steppe mouse),176.86460450063973
Rattus norvegicus (Rat),176.26721607586364
Tursiops truncatus (Dolphin),175.97433765822473
Ursus maritimus (Polar bear),175.9281181151557
Ailuropoda melanoleuca (Giant panda),173.09934089022178
Ornithorhynchus anatinus (Platypus),172.22505005259762
Phascolarctos cinereus (Koala),170.54917815091332
Vombatus ursinus (Common wombat),169.11640945404548
Monodelphis domestica (Opossum),168.9731038382696
Pelodiscus sinensis (Chinese softshell turtle),166.72322719626996
Choloepus hoffmanni (Sloth),94.08766564729868
Panthera tigris altaica (Tiger),93.98572884811416
Mustela putorius furo (Ferret),91.8284789644013
Echinops telfairi (Lesser hedgehog tenrec),89.0927624872579
Crocodylus porosus (Australian saltwater crocodile),88.07339449541286
Terrapene carolina triunguis (Three-toed box turtle),87.86952089704383
Chelonoidis abingdonii (Abingdon island giant tortoise),87.46177370030581
Chrysemys picta bellii (Painted turtle),87.33535967578521
Gopherus evgoodei (Goodes thornscrub tortoise),87.2579001019368
Aquila chrysaetos chrysaetos (Golden eagle),87.05402650356778
Struthio camelus australis (African ostrich),87.03140830800406
Anser brachyrhynchus (Pink-footed goose),86.52482269503547
Parus major (Great Tit),86.42350557244174
Taeniopygia guttata (Zebra finch),86.34046890927624
Coturnix japonica (Japanese quail),86.32218844984803
Anas platyrhynchos (Mallard),86.22087132725432
Ficedula albicollis (Collared flycatcher),86.22087132725432
Strigops habroptila (Kakapo),86.01823708206688
Meleagris gallopavo (Turkey),86.01823708206688
Sphenodon punctatus (Tuatara),85.91691995947315
Geospiza fortis (Medium ground-finch),85.91691995947315
Serinus canaria (Common canary),85.81560283687944
Gallus gallus (Chicken),85.81560283687944
Podarcis muralis (Common wall lizard),82.56880733944955
Salvator merianae (Argentine black and white tegu),81.44750254841998
Latimeria chalumnae (Coelacanth),81.44750254841998
Pseudonaja textilis (Eastern brown snake),81.03975535168195
Notechis scutatus (Mainland tiger snake),80.93781855249745
Laticauda laticaudata (Blue-ringed sea krait),80.83588175331295
Naja naja (Indian cobra),80.73394495412845
Anolis carolinensis (Green anole),80.32128514056225
Leptobrachium leishanense (Leishan spiny toad),80.24316109422493
