Species,Similarity
Oncorhynchus tshawytscha (Chinook salmon),383.88322481781313
Oncorhynchus kisutch (Coho salmon),311.02911097246925
Oncorhynchus mykiss (Rainbow trout),310.88622330621206
Salmo salar (Atlantic salmon),310.86265377557544
Salmo trutta (Brown trout),310.8018363014961
Hucho hucho (Huchen),308.7774800176884
Cyprinus carpio carpio (Common carp),300.78676146384487
Carassius auratus (Goldfish),300.0468672115217
Sinocyclocheilus grahami (Golden-line barbel),298.94317680776015
Cyprinodon variegatus (Sheepshead minnow),204.0645388402773
Canis lupus familiaris (Dog - Boxer),179.65685248007145
Tetraodon nigroviridis (Tetraodon),158.0940571323597
Pygocentrus nattereri (Red-bellied piranha),156.04296937630272
Gasterosteus aculeatus (Stickleback),155.48365215031882
Stegastes partitus (Bicolor damselfish),155.026455026455
Amphiprion percula (Orange clownfish),154.33068557535736
Oryzias javanicus (Javanese ricefish),154.2562453954859
Esox lucius (Northern pike),154.15357448908048
Oryzias latipes (Japanese medaka HdrR),153.5754262657816
Poecilia latipinna (Sailfin molly),153.3847472150814
Lates calcarifer (Barramundi perch),153.3249370277078
Oryzias melastigma (Indian medaka),153.04473862208908
Dicentrarchus labrax (European seabass),152.8930093776641
Neolamprologus brichardi (Lyretail cichlid),152.53404238175813
Sparus aurata (Gilthead seabream),152.3671497584541
Fundulus heteroclitus (Mummichog),152.3492955375275
Ictalurus punctatus (Channel catfish),152.29276895943565
Hippocampus comes (Tiger tail seahorse),152.211567148276
Xiphophorus maculatus (Platyfish),152.17613730831704
Scophthalmus maximus (Turbot),152.1109221109221
Kryptolebias marmoratus (Mangrove rivulus),152.06478430359027
Cynoglossus semilaevis (Tongue sole),152.00409430579506
Poecilia formosa (Amazon molly),151.86092181713667
Betta splendens (Siamese fighting fish),151.83006535947715
Seriola dumerili (Greater amberjack),151.81196076336744
Pundamilia nyererei (Makobe Island cichlid),151.77941546989166
Cottoperca gobio (Channel bull blenny),151.71831647244633
Seriola lalandi dorsalis (Yellowtail amberjack),151.64480918956622
Labrus bergylta (Ballan wrasse),151.301964367291
Amphilophus citrinellus (Midas cichlid),151.29793243603984
Astatotilapia calliptera (Eastern happy),150.73297073297073
Poecilia reticulata (Guppy),150.69959156612188
Acanthochromis polyacanthus (Spiny chromis),150.4805032060671
Danio rerio (Zebrafish),150.3858024691358
