Species,Similarity
Canis lupus familiaris (Dog - Boxer),371.9892919086042
Ovis aries (Sheep),369.80808385491287
Physeter catodon (Sperm whale),354.86577181208054
Dipodomys ordii (Kangaroo rat),272.26171345747866
Pan troglodytes (Chimpanzee),200.0
Pan paniscus (Bonobo),199.79424646311875
Gorilla gorilla gorilla (Gorilla),199.40069949900746
Pongo abelii (Sumatran orangutan),198.81935910766612
Cebus imitator (Panamanian white-faced capuchin),195.32589296935876
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),195.25048387502198
Callithrix jacchus (White-tufted-ear marmoset),195.063217957419
Cercocebus atys (Sooty mangabey),194.6504080410877
Papio anubis (Olive baboon),194.55651132747266
Macaca mulatta (Macaque),194.5385512178215
Macaca fascicularis (Crab-eating macaque),194.5385512178215
Macaca nemestrina (Pig-tailed macaque),194.33279768094022
Aotus nancymaae (Ma's night monkey),192.78963376316517
Propithecus coquereli (Coquerel's sifaka),190.53992911545132
Prolemur simus (Greater bamboo lemur),190.50096775004397
Ursus americanus (American black bear),189.20833019128776
Carlito syrichta (Tarsier),189.09254182815013
Delphinapterus leucas (Beluga whale),189.03928813814946
Monodon monoceros (Narwhal),189.03928813814946
Tursiops truncatus (Dolphin),189.02106427368474
Panthera pardus (Leopard),188.62830857401403
Otolemur garnettii (Bushbaby),188.48503129477416
Urocitellus parryii (Arctic ground squirrel),187.73345398788427
Loxodonta africana (Elephant),187.53631408135618
Microcebus murinus (Mouse Lemur),187.46009602091348
Heterocephalus glaber (Naked mole-rat),187.40649714843875
Equus asinus (Donkey),187.2181585099163
Sus scrofa (Pig - Hampshire),187.15745806152438
Ailuropoda melanoleuca (Giant panda),186.6356232561647
Rhinolophus ferrumequinum (Greater horseshoe bat),186.50302893195584
Camelus dromedarius (Arabian camel),185.85846173236285
Felis catus (Cat),185.81366412789382
Ictidomys tridecemlineatus (Squirrel),185.6263982102908
Marmota marmota marmota (Alpine marmot),185.5145413870246
Neovison vison (American mink),185.40268456375838
Mustela putorius furo (Ferret),185.2154186461554
Nomascus leucogenys (Gibbon),185.15543819757704
Cricetulus griseus (Chinese hamster CriGri),185.07528341251287
Peromyscus maniculatus bairdii (Northern American deer mouse),184.90875499585252
Nannospalax galili (Upper Galilee mountains blind mole rat),184.85911067541412
Cervus hanglu yarkandensis (Yarkand deer),184.66933112133324
Vulpes vulpes (Red fox),184.57006018212178
Chinchilla lanigera (Long-tailed chinchilla),184.25244982197435
Sciurus vulgaris (Eurasian red squirrel),184.14900837040946
Mus musculus (Mouse),184.01138677324485
Bos taurus (Cow),183.9774526807933
Bos indicus x Bos taurus (Hybrid - Bos Taurus),183.9774526807933
Mus spicilegus (Steppe mouse),183.78767312671238
Capra hircus (Goat (black bengal)),183.77196289872558
Rattus norvegicus (Rat),183.73300153331826
Mus pahari (Shrew mouse),183.59107666131018
Octodon degus (Degu),183.56334877272582
Cavia porcellus (Guinea Pig),183.27756246652172
Mus caroli (Ryukyu mouse),183.26483673931074
Mus spretus (Algerian mouse),183.13955320288622
Microtus ochrogaster (Prairie vole),182.58095559471585
Mesocricetus auratus (Golden Hamster),181.8157253098057
Jaculus jaculus (Lesser Egyptian jerboa),181.49352490783627
Tupaia belangeri (Tree Shrew),181.45376165698917
Dasypus novemcinctus (Armadillo),180.67802912544423
Oryctolagus cuniculus (Rabbit),178.0454989444497
Bos grunniens (Domestic yak),175.0349713460584
Sarcophilus harrisii (Tasmanian devil),170.40565914964026
Phascolarctos cinereus (Koala),169.18050158954432
Terrapene carolina triunguis (Three-toed box turtle),167.60027727888584
Chelonoidis abingdonii (Abingdon island giant tortoise),167.26061064372817
Gopherus evgoodei (Goodes thornscrub tortoise),167.07691338185714
Chrysemys picta bellii (Painted turtle),166.7054226927561
Sphenodon punctatus (Tuatara),166.37962000189054
Ficedula albicollis (Collared flycatcher),165.65869489869868
Taeniopygia guttata (Zebra finch),165.6227746793963
Parus major (Great Tit),165.1132747266597
Strigops habroptila (Kakapo),164.43394145634431
Laticauda laticaudata (Blue-ringed sea krait),163.89211753090123
