Species,Similarity
Carassius auratus (Goldfish),1675.8506388466774
Cyprinus carpio carpio (Common carp),1220.792342126904
Oncorhynchus mykiss (Rainbow trout),1080.4013111920247
Oncorhynchus kisutch (Coho salmon),1061.091799177692
Canis lupus familiaris (Dog - Boxer),1055.9687471279226
Salmo salar (Atlantic salmon),1001.1172982970138
Sinocyclocheilus grahami (Golden-line barbel),994.7194413614259
Oncorhynchus tshawytscha (Chinook salmon),922.8034745068734
Danio rerio (Zebrafish),774.5555053951053
Salmo trutta (Brown trout),756.3161954876143
Amphiprion percula (Orange clownfish),697.7143363215212
Scleropages formosus (Asian bonytongue),690.9361050963131
Vombatus ursinus (Common wombat),689.6057914281755
Pan troglodytes (Chimpanzee),685.7329802869514
Callithrix jacchus (White-tufted-ear marmoset),666.5425455040075
Pongo abelii (Sumatran orangutan),665.5352434822844
Rhinopithecus roxellana (Golden snub-nosed monkey),662.1969428981572
Pan paniscus (Bonobo),660.274144238577
Nomascus leucogenys (Gibbon),654.2220071612016
Sciurus vulgaris (Eurasian red squirrel),651.9052303840069
Papio anubis (Olive baboon),649.6364144081251
Camelus dromedarius (Arabian camel),649.178050822992
Aotus nancymaae (Ma's night monkey),649.0416529213559
Marmota marmota marmota (Alpine marmot),648.7635331570043
Catagonus wagneri (Chacoan peccary),646.867498124819
Bos mutus (Wild yak),644.6595222979653
Cercocebus atys (Sooty mangabey),644.3474266568359
Rhinolophus ferrumequinum (Greater horseshoe bat),644.2477879883205
Moschus moschiferus (Siberian musk deer),642.656580690701
Cervus hanglu yarkandensis (Yarkand deer),640.2206995107657
Microcebus murinus (Mouse Lemur),640.0094417063376
Nannospalax galili (Upper Galilee mountains blind mole rat),639.7554012379469
Propithecus coquereli (Coquerel's sifaka),638.4921651508018
Jaculus jaculus (Lesser Egyptian jerboa),638.1904157830645
Phocoena sinus (Vaquita),636.8228684284234
Cricetulus griseus (Chinese hamster CriGri),636.4627410399202
Equus asinus (Donkey),635.7345172709911
Peromyscus maniculatus bairdii (Northern American deer mouse),635.6116801364135
Mustela putorius furo (Ferret),635.465768840502
Mesocricetus auratus (Golden Hamster),635.1231153073653
Ailuropoda melanoleuca (Giant panda),634.9837852312418
Panthera pardus (Leopard),633.4302304928333
Mus musculus (Mouse),633.3232134700845
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),632.802858104903
Mus pahari (Shrew mouse),632.6798430196408
Mus spicilegus (Steppe mouse),632.4552612336846
Macaca mulatta (Macaque),632.2797160582735
