Species,Similarity
Equus asinus (Donkey),464.4748358082358
Pan troglodytes (Chimpanzee),299.37391248282336
Gorilla gorilla gorilla (Gorilla),298.73712206385477
Chlorocebus sabaeus (Vervet-AGM),293.7442081923647
Cercocebus atys (Sooty mangabey),293.0135590246141
Rhinopithecus roxellana (Golden snub-nosed monkey),291.8344840619031
Aotus nancymaae (Ma's night monkey),289.0303894543705
Cebus imitator (Panamanian white-faced capuchin),288.2877878789924
Microcebus murinus (Mouse Lemur),285.48777489493034
Macaca nemestrina (Pig-tailed macaque),283.567918203039
Prolemur simus (Greater bamboo lemur),283.2706820199987
Papio anubis (Olive baboon),283.0779092816026
Balaenoptera musculus (Blue whale),281.4065467312142
Phocoena sinus (Vaquita),281.04127678324363
Physeter catodon (Sperm whale),280.7626240275211
Panthera pardus (Leopard),280.5305403458838
Panthera leo (Lion),280.5227788335363
Monodon monoceros (Narwhal),280.5180769318533
Delphinapterus leucas (Beluga whale),280.4206386165932
Catagonus wagneri (Chacoan peccary),278.9461235185117
Ursus americanus (American black bear),278.9120416569849
Bos indicus x Bos taurus (Hybrid - Bos Taurus),278.8690431999671
Bos taurus (Cow),278.7667937112145
Bos grunniens (Domestic yak),278.7667937112145
Ovis aries (Sheep),278.75251124294437
Sus scrofa (Pig - Hampshire),278.5728559749815
Moschus moschiferus (Siberian musk deer),278.5557737777868
Cervus hanglu yarkandensis (Yarkand deer),278.3674181031892
Capra hircus (Goat (black bengal)),278.1199206686664
Myotis lucifugus (Microbat),277.6611223099455
Mesocricetus auratus (Golden Hamster),276.6075508649766
Tursiops truncatus (Dolphin),274.8919928510525
Microtus ochrogaster (Prairie vole),274.8183770758028
Otolemur garnettii (Bushbaby),274.1695620111462
Jaculus jaculus (Lesser Egyptian jerboa),273.34216981141515
Propithecus coquereli (Coquerel's sifaka),273.2521797315577
Octodon degus (Degu),273.2158854214373
Macaca mulatta (Macaque),271.1856339191367
Vulpes vulpes (Red fox),270.90504688220284
Ailuropoda melanoleuca (Giant panda),270.06466724523096
Mus spicilegus (Steppe mouse),267.70402648833533
Dasypus novemcinctus (Armadillo),263.8238529423234
Mustela putorius furo (Ferret),262.75457875457874
Heterocephalus glaber (Naked mole-rat),254.4762285794372
Ornithorhynchus anatinus (Platypus),252.7924238088989
Pongo abelii (Sumatran orangutan),197.6196968221508
Rhinopithecus bieti (Black snub-nosed monkey),194.8074807480748
Macaca fascicularis (Crab-eating macaque),194.56795372788812
Callithrix jacchus (White-tufted-ear marmoset),191.980721881712
Felis catus (Cat),187.7824925349678
Camelus dromedarius (Arabian camel),187.21621709351768
Sciurus vulgaris (Eurasian red squirrel),187.1989103672272
Marmota marmota marmota (Alpine marmot),186.97469746974696
Neovison vison (American mink),186.67819162868668
Nomascus leucogenys (Gibbon),186.5021740269265
Rhinolophus ferrumequinum (Greater horseshoe bat),185.4806433024255
Pteropus vampyrus (Megabat),184.94735187804494
Cricetulus griseus (Chinese hamster CriGri),184.85829535334483
Dipodomys ordii (Kangaroo rat),183.01245829297167
Nannospalax galili (Upper Galilee mountains blind mole rat),182.8309497616428
Mus pahari (Shrew mouse),182.58159149248257
Canis lupus familiaris (Dog - Boxer),182.41529849187452
Peromyscus maniculatus bairdii (Northern American deer mouse),182.17926554560222
Mus musculus (Mouse),181.76115079862416
Mus caroli (Ryukyu mouse),181.61663785426163
Mus spretus (Algerian mouse),181.0917282204411
Pan paniscus (Bonobo),180.95238095238096
Rattus norvegicus (Rat),180.9172689420841
Cavia porcellus (Guinea Pig),180.24202420242023
Oryctolagus cuniculus (Rabbit),178.19631821539096
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),176.93965657155843
Ictidomys tridecemlineatus (Squirrel),175.1060820367751
Ursus maritimus (Polar bear),175.08261109488103
Phascolarctos cinereus (Koala),167.26735138499845
Vombatus ursinus (Common wombat),166.84407096171805
Sarcophilus harrisii (Tasmanian devil),164.9581342785226
Monodelphis domestica (Opossum),164.5845004668534
Notamacropus eugenii (Wallaby),163.92267798208394
Sphenodon punctatus (Tuatara),161.67032967032966
Mandrillus leucophaeus (Drill),97.6482617586912
Urocitellus parryii (Arctic ground squirrel),95.35864978902954
Carlito syrichta (Tarsier),95.0920245398773
Bos mutus (Wild yak),92.7402862985685
Bison bison bison (American bison),92.63803680981594
Chinchilla lanigera (Long-tailed chinchilla),92.43353783231083
Echinops telfairi (Lesser hedgehog tenrec),91.30913091309132
Procavia capensis (Hyrax),89.76897689768977
Panthera tigris altaica (Tiger),86.35897435897436
Ochotona princeps (Pika),85.36853685368537
Equus caballus (Horse),84.82309124767225
Gopherus evgoodei (Goodes thornscrub tortoise),83.4862385321101
Terrapene carolina triunguis (Three-toed box turtle),83.38430173292558
Anas platyrhynchos (Mallard),81.9047619047619
Salvator merianae (Argentine black and white tegu),81.7989417989418
Laticauda laticaudata (Blue-ringed sea krait),81.53846153846153
Strigops habroptila (Kakapo),81.26984126984127
Serinus canaria (Common canary),81.26984126984127
Coturnix japonica (Japanese quail),81.26984126984127
Taeniopygia guttata (Zebra finch),81.16402116402116
Aquila chrysaetos chrysaetos (Golden eagle),80.63492063492063
Pseudonaja textilis (Eastern brown snake),80.0
