Species,Similarity
Carassius auratus (Goldfish),7319.762188443213
Canis lupus familiaris (Dog - Boxer),6904.474393508511
Cyprinus carpio carpio (Common carp),5718.758812869906
Oncorhynchus mykiss (Rainbow trout),5370.706244044152
Sinocyclocheilus grahami (Golden-line barbel),5294.203633052695
Oncorhynchus tshawytscha (Chinook salmon),5277.321830131137
Pan troglodytes (Chimpanzee),5242.718114213758
Oncorhynchus kisutch (Coho salmon),5137.396070095822
Salmo salar (Atlantic salmon),5104.4649839259755
Salmo trutta (Brown trout),4943.456710715243
Hucho hucho (Huchen),4703.975590465639
Gorilla gorilla gorilla (Gorilla),4699.732908606721
Macaca nemestrina (Pig-tailed macaque),4657.4265387812
Cercocebus atys (Sooty mangabey),4615.63430589994
Aotus nancymaae (Ma's night monkey),4531.294584892275
Callithrix jacchus (White-tufted-ear marmoset),4522.315667091998
Pongo abelii (Sumatran orangutan),4407.459766423717
Papio anubis (Olive baboon),4315.052264596897
Chlorocebus sabaeus (Vervet-AGM),4287.294427243858
Rhinopithecus roxellana (Golden snub-nosed monkey),4287.25229243401
Rhinopithecus bieti (Black snub-nosed monkey),4248.693158443536
Equus asinus (Donkey),4215.664224088087
Macaca mulatta (Macaque),4198.906209893005
Cebus imitator (Panamanian white-faced capuchin),4137.726408874699
Nomascus leucogenys (Gibbon),4012.3228525977693
Microcebus murinus (Mouse Lemur),3904.977100415077
Sciurus vulgaris (Eurasian red squirrel),3857.001779171189
Propithecus coquereli (Coquerel's sifaka),3848.006236543753
Physeter catodon (Sperm whale),3819.9728968249397
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),3807.0036381688474
Sus scrofa (Pig - Hampshire),3804.474189778589
Pan paniscus (Bonobo),3802.3984944089566
Macaca fascicularis (Crab-eating macaque),3792.9162624826567
Felis catus (Cat),3792.3820231107743
Ovis aries (Sheep),3791.8860624343097
Mandrillus leucophaeus (Drill),3759.8718830027533
Prolemur simus (Greater bamboo lemur),3757.189865626849
Moschus moschiferus (Siberian musk deer),3754.8764144695515
Bos grunniens (Domestic yak),3693.029994649901
Otolemur garnettii (Bushbaby),3665.2148209448437
Equus caballus (Horse),3639.3377554561102
Rhinolophus ferrumequinum (Greater horseshoe bat),3627.353854331823
Panthera pardus (Leopard),3609.1367173196463
Bos taurus (Cow),3607.5933207715734
Capra hircus (Goat (black bengal)),3595.491483044405
Balaenoptera musculus (Blue whale),3568.090156285026
Panthera leo (Lion),3561.281581520384
Bos indicus x Bos taurus (Hybrid - Bos Taurus),3558.0777338706484
Phocoena sinus (Vaquita),3539.0464314927044
Urocitellus parryii (Arctic ground squirrel),3513.6070828585466
Rattus norvegicus (Rat),3483.0762486725903
Delphinapterus leucas (Beluga whale),3475.0742085082697
Catagonus wagneri (Chacoan peccary),3472.276134641171
Monodon monoceros (Narwhal),3456.0171852552153
Tursiops truncatus (Dolphin),3399.8506286689226
Microtus ochrogaster (Prairie vole),3384.0505808478156
Mus caroli (Ryukyu mouse),3380.930710055557
Mus musculus (Mouse),3377.2590505759736
Mus spretus (Algerian mouse),3373.538851558273
Dasypus novemcinctus (Armadillo),3350.0579298911275
Heterocephalus glaber (Naked mole-rat),3345.637578092369
Mus pahari (Shrew mouse),3329.4163481176274
Ailuropoda melanoleuca (Giant panda),3309.8676175147675
Cervus hanglu yarkandensis (Yarkand deer),3275.934729305496
Camelus dromedarius (Arabian camel),3261.311843960613
Cricetulus griseus (Chinese hamster CriGri),3252.8504904079086
Octodon degus (Degu),3247.5540136717877
Peromyscus maniculatus bairdii (Northern American deer mouse),3223.4303248489937
Mesocricetus auratus (Golden Hamster),3219.016260323142
Pteropus vampyrus (Megabat),3206.0084860350194
Neovison vison (American mink),3195.1133514803537
Jaculus jaculus (Lesser Egyptian jerboa),3161.1656659216846
Paramormyrops kingsleyae (Paramormyrops kingsleyae),3113.679206353922
Ictidomys tridecemlineatus (Squirrel),3098.105019167502
Mustela putorius furo (Ferret),3093.9708873888967
Scleropages formosus two (Asian bonytongue),3076.129987188214
Loxodonta africana (Elephant),3073.9861730364382
Nannospalax galili (Upper Galilee mountains blind mole rat),3065.156557445031
Mus spicilegus (Steppe mouse),3044.660115005269
Vulpes vulpes (Red fox),3039.3545811441445
Bos mutus (Wild yak),2989.885014645562
Cavia porcellus (Guinea Pig),2972.9809080155223
Sarcophilus harrisii (Tasmanian devil),2955.2168440283403
Ursus americanus (American black bear),2945.7158862378838
Terrapene carolina triunguis (Three-toed box turtle),2937.5507181805424
Oryctolagus cuniculus (Rabbit),2933.1384333683573
Esox lucius (Northern pike),2879.6581080311526
Myotis lucifugus (Microbat),2874.432925028035
Marmota marmota marmota (Alpine marmot),2856.2877884913387
Dipodomys ordii (Kangaroo rat),2855.9904317899914
Dicentrarchus labrax (European seabass),2854.9278602799145
Betta splendens (Siamese fighting fish),2852.2244258901064
Chinchilla lanigera (Long-tailed chinchilla),2844.5620154858043
Vombatus ursinus (Common wombat),2822.0569873116824
Lates calcarifer (Barramundi perch),2811.488236740192
Larimichthys crocea (Large yellow croaker),2786.048037229488
Sparus aurata (Gilthead seabream),2774.6344344942863
Danio rerio (Zebrafish),2773.7400251610866
Amphiprion ocellaris (Clown anemonefish),2767.0773563527273
Labrus bergylta (Ballan wrasse),2761.120747805866
Bison bison bison (American bison),2759.2740850668797
Astatotilapia calliptera (Eastern happy),2754.06721903494
Haplochromis burtoni (Burton's mouthbrooder),2743.8345822826773
Acanthochromis polyacanthus (Spiny chromis),2732.8404715324095
Seriola lalandi dorsalis (Yellowtail amberjack),2732.2393485196753
Oryzias javanicus (Javanese ricefish),2729.3778594586993
Pygocentrus nattereri (Red-bellied piranha),2721.441745675655
Anabas testudineus (Climbing perch),2700.4737128798415
Amphiprion percula (Orange clownfish),2697.8079085524637
Myripristis murdjan (Pinecone soldierfish),2695.851467660772
Ictalurus punctatus (Channel catfish),2688.6803138500986
Xiphophorus maculatus (Platyfish),2688.4168906359973
Oreochromis niloticus (Nile tilapia),2681.2528059849606
Fundulus heteroclitus (Mummichog),2681.232488251561
Stegastes partitus (Bicolor damselfish),2678.5689350219222
Amphilophus citrinellus (Midas cichlid),2674.5972026498653
Scleropages formosus (Asian bonytongue),2670.0227048178112
Phascolarctos cinereus (Koala),2665.9541343403102
Mastacembelus armatus (Zig-zag eel),2632.9206766982256
Oryzias melastigma (Indian medaka),2632.0572220063927
Maylandia zebra (Zebra mbuna),2629.069715636866
Electrophorus electricus (Electric eel),2625.9268529212286
Seriola dumerili (Greater amberjack),2622.2957080895403
Hippocampus comes (Tiger tail seahorse),2615.5656514006764
Scophthalmus maximus (Turbot),2614.186186937489
Astyanax mexicanus (Mexican tetra),2611.9487204463544
Cyprinodon variegatus (Sheepshead minnow),2606.812812000858
Monodelphis domestica (Opossum),2604.9701921044216
Ochotona princeps (Pika),2598.8094942752223
Kryptolebias marmoratus (Mangrove rivulus),2588.760458335488
Gopherus evgoodei (Goodes thornscrub tortoise),2581.7941449979444
Cynoglossus semilaevis (Tongue sole),2566.5917121317357
Cottoperca gobio (Channel bull blenny),2560.8955265594973
Ornithorhynchus anatinus (Platypus),2553.198765809931
Sander lucioperca (Pike-perch),2548.7047842784177
Poecilia latipinna (Sailfin molly),2529.866922267384
Taeniopygia guttata (Zebra finch),2521.778387992755
Cyclopterus lumpus (Lumpfish),2512.41885661621
Takifugu rubripes (Fugu),2512.290191049903
Carlito syrichta (Tarsier),2506.0749315682233
Gadus morhua (Atlantic cod),2504.2462682025766
Podarcis muralis (Common wall lizard),2498.958092757329
Nothobranchius furzeri (Turquoise killifish),2498.784117905303
Denticeps clupeoides (Denticle herring),2496.899855899568
Poecilia formosa (Amazon molly),2496.0700119560006
Oryzias latipes (Japanese medaka HdrR),2492.5626419935684
Notamacropus eugenii (Wallaby),2484.965518275383
Tetraodon nigroviridis (Tetraodon),2476.6566050940796
Pundamilia nyererei (Makobe Island cichlid),2471.97518478151
Oryzias sinensis (Chinese medaka),2449.968607623441
Chrysemys picta bellii (Painted turtle),2448.410071978634
Neolamprologus brichardi (Lyretail cichlid),2434.475303242853
Procavia capensis (Hyrax),2429.356899668741
Chelonoidis abingdonii (Abingdon island giant tortoise),2422.8315819984227
Xenopus tropicalis (Tropical clawed frog),2412.690221106329
Strigops habroptila (Kakapo),2394.3713666287354
Poecilia reticulata (Guppy),2378.742957812986
Gallus gallus (Chicken),2354.4054090000463
Panthera tigris altaica (Tiger),2352.761337570502
Notechis scutatus (Mainland tiger snake),2309.8443020888426
Parus major (Great Tit),2298.265726169497
Latimeria chalumnae (Coelacanth),2286.7975458596434
Aquila chrysaetos chrysaetos (Golden eagle),2261.730578555524
Sphenodon punctatus (Tuatara),2257.281952947784
Lepisosteus oculatus (Spotted gar),2252.1990989248725
Pelodiscus sinensis (Chinese softshell turtle),2213.164381122606
Coturnix japonica (Japanese quail),2209.43054376638
Erpetoichthys calabaricus (Reedfish),2196.513900868494
Gasterosteus aculeatus (Stickleback),2196.333728196729
Pseudonaja textilis (Eastern brown snake),2182.8948426433844
Salvator merianae (Argentine black and white tegu),2179.901955916
Tupaia belangeri (Tree Shrew),2174.4221292526845
Leptobrachium leishanense (Leishan spiny toad),2156.9609959566646
Anas platyrhynchos (Mallard),2131.4666676001966
Anser brachyrhynchus (Pink-footed goose),2089.6541050246624
Ursus maritimus (Polar bear),2073.2640436480697
Echinops telfairi (Lesser hedgehog tenrec),2052.279067153568
Naja naja (Indian cobra),2040.975384946885
Ficedula albicollis (Collared flycatcher),1962.5260507013347
Crocodylus porosus (Australian saltwater crocodile),1729.136361438676
Laticauda laticaudata (Blue-ringed sea krait),1722.3742290829166
Serinus canaria (Common canary),1716.41285045404
Erinaceus europaeus (Hedgehog),1696.7310125423198
Eptatretus burgeri (Hagfish),1690.9421086799657
Geospiza fortis (Medium ground-finch),1629.637466430272
Callorhinchus milii (Elephant shark),1557.170547926709
Anolis carolinensis (Green anole),1522.6723292286697
Sorex araneus (Shrew),1436.0299456126475
Meleagris gallopavo (Turkey),1325.384626826526
Struthio camelus australis (African ostrich),1189.1798998075242
Choloepus hoffmanni (Sloth),1149.249930033723
Vicugna pacos (Alpaca),867.6253583585208
Petromyzon marinus (Lamprey),168.1576193399398
Ciona intestinalis,167.47467912843504
FBpp0071889,62.07729468599034
C18B12.3.1,57.103825136612016
D1007.1.1,53.80116959064327
F28H6.2a.1,43.371212121212125
