Species,Similarity
Canis lupus familiaris (Dog - Boxer),355.99287012862186
Gorilla gorilla gorilla (Gorilla),198.0793808934376
Pongo abelii (Sumatran orangutan),195.9806378246737
Papio anubis (Olive baboon),194.70156688705734
Cercocebus atys (Sooty mangabey),194.51941752458012
Macaca mulatta (Macaque),194.4263301432036
Macaca nemestrina (Pig-tailed macaque),194.24216808058853
Rhinopithecus roxellana (Golden snub-nosed monkey),193.96793768680374
Pan troglodytes (Chimpanzee),193.84708059033605
Macaca fascicularis (Crab-eating macaque),193.69370729301895
Chlorocebus sabaeus (Vervet-AGM),193.4366547739122
Rhinopithecus bieti (Black snub-nosed monkey),192.19867608512152
Callithrix jacchus (White-tufted-ear marmoset),191.59798327446185
Cebus imitator (Panamanian white-faced capuchin),191.32576558081496
Aotus nancymaae (Ma's night monkey),191.13959081806195
Prolemur simus (Greater bamboo lemur),185.82505610401634
Propithecus coquereli (Coquerel's sifaka),185.6762561408263
Microcebus murinus (Mouse Lemur),185.40377657679358
Equus caballus (Horse),181.3543459227727
Equus asinus (Donkey),181.26427759160302
Ictidomys tridecemlineatus (Squirrel),180.0772876852942
Panthera pardus (Leopard),179.99627650474494
Panthera leo (Lion),179.99627650474494
Felis catus (Cat),179.99426380460707
Sciurus vulgaris (Eurasian red squirrel),179.2832652083427
Balaenoptera musculus (Blue whale),178.97432800974144
Monodon monoceros (Narwhal),178.79117229719532
Catagonus wagneri (Chacoan peccary),178.71116746671498
Physeter catodon (Sperm whale),178.70412301623242
Delphinapterus leucas (Beluga whale),178.6090229347181
Phocoena sinus (Vaquita),178.33579889100224
Neovison vison (American mink),178.16371302921434
Sus scrofa (Pig - Hampshire),177.5171331099236
Camelus dromedarius (Arabian camel),176.9817548732502
Cervus hanglu yarkandensis (Yarkand deer),176.59531644677918
Moschus moschiferus (Siberian musk deer),176.41417343437087
Bos grunniens (Domestic yak),176.05088105948536
Bos taurus (Cow),176.0488683593475
Ovis aries (Sheep),175.7736316154938
Bos indicus x Bos taurus (Hybrid - Bos Taurus),175.77262526542484
Ursus americanus (American black bear),175.75620670367024
Otolemur garnettii (Bushbaby),174.42412966299923
Dipodomys ordii (Kangaroo rat),173.69375959152646
Urocitellus parryii (Arctic ground squirrel),173.39543622620943
Marmota marmota marmota (Alpine marmot),173.13296903460838
Mustela putorius furo (Ferret),173.1293834172368
Rattus norvegicus (Rat),172.34532875416852
Loxodonta africana (Elephant),171.00901160003832
Ochotona princeps (Pika),170.82541108366394
Myotis lucifugus (Microbat),169.3436885963025
Capra hircus (Goat (black bengal)),169.04769092976682
Peromyscus maniculatus bairdii (Northern American deer mouse),168.42218493180155
Mus spicilegus (Steppe mouse),168.00983893406766
Mesocricetus auratus (Golden Hamster),167.71868680349382
Mus spretus (Algerian mouse),167.5208513085994
Mus musculus (Mouse),167.36873054802575
Pan paniscus (Bonobo),99.18032786885246
Nomascus leucogenys (Gibbon),98.71086556169428
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),98.25046040515652
Mandrillus leucophaeus (Drill),97.97421731123389
Ailuropoda melanoleuca (Giant panda),93.29660238751148
Rhinolophus ferrumequinum (Greater horseshoe bat),93.00184162062617
Microtus ochrogaster (Prairie vole),92.08103130755065
Bos mutus (Wild yak),92.08103130755065
Pteropus vampyrus (Megabat),92.08103130755065
Bison bison bison (American bison),91.89686924493554
Oryctolagus cuniculus (Rabbit),91.02564102564102
Vulpes vulpes (Red fox),90.11373578302712
Heterocephalus glaber (Naked mole-rat),89.41382327209098
Cavia porcellus (Guinea Pig),88.94736842105263
Nannospalax galili (Upper Galilee mountains blind mole rat),88.53893263342081
Mus caroli (Ryukyu mouse),87.45614035087719
Cricetulus griseus (Chinese hamster CriGri),87.31408573928259
Mus pahari (Shrew mouse),87.19298245614036
Jaculus jaculus (Lesser Egyptian jerboa),86.54188948306596
Octodon degus (Degu),85.20452567449956
Tursiops truncatus (Dolphin),85.15482695810564
Monodelphis domestica (Opossum),84.91418247515809
Vombatus ursinus (Common wombat),84.45642407906558
Phascolarctos cinereus (Koala),84.27672955974843
Sarcophilus harrisii (Tasmanian devil),84.14855072463769
Notamacropus eugenii (Wallaby),83.87681159420289
Dasypus novemcinctus (Armadillo),81.72043010752688
Gallus gallus (Chicken),81.04056437389771
Terrapene carolina triunguis (Three-toed box turtle),80.78947368421052
Chrysemys picta bellii (Painted turtle),80.78947368421052
Coturnix japonica (Japanese quail),80.7017543859649
Anser brachyrhynchus (Pink-footed goose),80.6282722513089
Gopherus evgoodei (Goodes thornscrub tortoise),80.36649214659685
Chelonoidis abingdonii (Abingdon island giant tortoise),80.35087719298247
Strigops habroptila (Kakapo),80.20833333333334
