Species,Similarity
Carassius auratus (Goldfish),2003.2229692017484
Cyprinus carpio carpio (Common carp),1381.7113623358098
Sinocyclocheilus grahami (Golden-line barbel),1357.3124914434964
Canis lupus familiaris (Dog - Boxer),1082.4603494145167
Oncorhynchus tshawytscha (Chinook salmon),1037.9200161547271
Hucho hucho (Huchen),1002.7599991474636
Oncorhynchus kisutch (Coho salmon),993.460943369142
Salmo salar (Atlantic salmon),978.7600060876258
Salmo trutta (Brown trout),917.3768201725212
Oncorhynchus mykiss (Rainbow trout),914.6079903751622
Paramormyrops kingsleyae (Paramormyrops kingsleyae),806.6997291014673
Danio rerio (Zebrafish),772.4270845210983
Electrophorus electricus (Electric eel),723.4170478546076
Astyanax mexicanus (Mexican tetra),693.7817919368101
Denticeps clupeoides (Denticle herring),693.0453849057452
Pygocentrus nattereri (Red-bellied piranha),687.6764046990679
Scleropages formosus two (Asian bonytongue),659.6265345603435
Octodon degus (Degu),626.6698645080662
Gorilla gorilla gorilla (Gorilla),626.0456032022846
Pan troglodytes (Chimpanzee),598.0577571680008
Pongo abelii (Sumatran orangutan),591.374601827999
Vombatus ursinus (Common wombat),589.4332152723464
Chlorocebus sabaeus (Vervet-AGM),588.2680323463205
Rhinopithecus bieti (Black snub-nosed monkey),587.7866709108678
Cercocebus atys (Sooty mangabey),587.3726030735861
Macaca nemestrina (Pig-tailed macaque),585.3521603489069
Aotus nancymaae (Ma's night monkey),580.9854699121665
Cebus imitator (Panamanian white-faced capuchin),580.7073228348239
Rhinopithecus roxellana (Golden snub-nosed monkey),578.4582788104367
Macaca mulatta (Macaque),573.267530837822
Papio anubis (Olive baboon),573.1204797183842
Propithecus coquereli (Coquerel's sifaka),571.0310018063295
Microcebus murinus (Mouse Lemur),570.410117231087
Callithrix jacchus (White-tufted-ear marmoset),569.4040098493005
Ictalurus punctatus (Channel catfish),568.1396142985145
Prolemur simus (Greater bamboo lemur),564.8268431728203
Physeter catodon (Sperm whale),563.1289319635183
Panthera pardus (Leopard),561.9632962476107
Monodon monoceros (Narwhal),561.5804652349062
Phocoena sinus (Vaquita),561.1170563739486
Rhinolophus ferrumequinum (Greater horseshoe bat),560.8667975574693
Sus scrofa (Pig - Hampshire),560.6459964030639
Catagonus wagneri (Chacoan peccary),560.3946731099206
Balaenoptera musculus (Blue whale),559.6782967060818
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),559.5949004611742
Urocitellus parryii (Arctic ground squirrel),559.1831667635353
Moschus moschiferus (Siberian musk deer),558.3921848526888
Cervus hanglu yarkandensis (Yarkand deer),558.0509620494618
Capra hircus (Goat (black bengal)),557.5145551550737
Ovis aries (Sheep),556.9481975577628
Pseudonaja textilis (Eastern brown snake),554.1320713314767
Delphinapterus leucas (Beluga whale),551.0474182816904
