Species,Similarity
Pan troglodytes (Chimpanzee),98.60869377072595
Cercocebus atys (Sooty mangabey),96.46538154221241
Macaca nemestrina (Pig-tailed macaque),96.36849932217179
Rhinopithecus roxellana (Golden snub-nosed monkey),95.38580242204179
Rhinopithecus bieti (Black snub-nosed monkey),95.26483863820651
Cebus imitator (Panamanian white-faced capuchin),94.7007276873693
Papio anubis (Olive baboon),94.42694632851615
Aotus nancymaae (Ma's night monkey),94.32414432366988
Pongo abelii (Sumatran orangutan),92.4306837298084
Callithrix jacchus (White-tufted-ear marmoset),92.1371165091668
Propithecus coquereli (Coquerel's sifaka),91.64757931836283
Prolemur simus (Greater bamboo lemur),91.22189185036166
Macaca mulatta (Macaque),90.9834367921498
Panthera leo (Lion),90.92853588965781
Canis lupus familiaris (Dog - Boxer),90.77088862970567
Phocoena sinus (Vaquita),90.50618536994197
Physeter catodon (Sperm whale),90.4009672910741
Sus scrofa (Pig - Hampshire),90.29121031672489
Macaca fascicularis (Crab-eating macaque),90.13908501793371
Sciurus vulgaris (Eurasian red squirrel),90.00491142394544
Bos taurus (Cow),89.70324314525895
Felis catus (Cat),89.70227329387355
Balaenoptera musculus (Blue whale),89.55654337327671
Urocitellus parryii (Arctic ground squirrel),89.32740464992719
Rhinolophus ferrumequinum (Greater horseshoe bat),89.30130343163809
Ovis aries (Sheep),89.07580152925499
Heterocephalus glaber (Naked mole-rat),88.35241207941735
Microcebus murinus (Mouse Lemur),88.25784847355467
Moschus moschiferus (Siberian musk deer),88.13271335786706
Octodon degus (Degu),88.10311782604204
Bos grunniens (Domestic yak),88.06830632819049
Otolemur garnettii (Bushbaby),87.81719602649348
Delphinapterus leucas (Beluga whale),87.80645798739442
Monodon monoceros (Narwhal),87.6870121106326
Catagonus wagneri (Chacoan peccary),87.54035081482458
Neovison vison (American mink),86.85548803747184
Microtus ochrogaster (Prairie vole),86.72934978402769
Capra hircus (Goat (black bengal)),86.63533034472566
Chlorocebus sabaeus (Vervet-AGM),86.24650558431726
Equus asinus (Donkey),86.06011665653428
Jaculus jaculus (Lesser Egyptian jerboa),86.05217387584945
Peromyscus maniculatus bairdii (Northern American deer mouse),86.03877941277806
Mus caroli (Ryukyu mouse),86.013954627116
Bos indicus x Bos taurus (Hybrid - Bos Taurus),85.97814279108928
Mus spretus (Algerian mouse),85.85128971056581
Mus pahari (Shrew mouse),85.83422211043252
Gorilla gorilla gorilla (Gorilla),85.83107824000908
Equus caballus (Horse),85.19522388483733
Mesocricetus auratus (Golden Hamster),85.15522851338511
Rattus norvegicus (Rat),85.08547351635922
Ailuropoda melanoleuca (Giant panda),85.01856000096282
Mus musculus (Mouse),84.9116232282709
Loxodonta africana (Elephant),84.72495879809831
Cricetulus griseus (Chinese hamster CriGri),84.60601131678098
Panthera pardus (Leopard),84.54249180281748
Cervus hanglu yarkandensis (Yarkand deer),84.23866761596928
Ursus americanus (American black bear),83.96626294479285
Nannospalax galili (Upper Galilee mountains blind mole rat),83.51991750585334
Cavia porcellus (Guinea Pig),82.73884886959961
Chinchilla lanigera (Long-tailed chinchilla),81.87728398722963
Mus spicilegus (Steppe mouse),81.69324639744275
Dasypus novemcinctus (Armadillo),81.18465602857586
Ictidomys tridecemlineatus (Squirrel),80.76844097671321
Mustela putorius furo (Ferret),79.20416825463961
Marmota marmota marmota (Alpine marmot),78.36804177074079
Nomascus leucogenys (Gibbon),77.11379328802548
Vombatus ursinus (Common wombat),77.0572784365112
Taeniopygia guttata (Zebra finch),76.64377135013623
Sarcophilus harrisii (Tasmanian devil),76.2307434695367
Pan paniscus (Bonobo),76.14025982531676
Monodelphis domestica (Opossum),74.81870202746752
Anser brachyrhynchus (Pink-footed goose),74.69266557629328
Strigops habroptila (Kakapo),74.63266552795574
Coturnix japonica (Japanese quail),74.26669107204472
Camelus dromedarius (Arabian camel),73.8771897565637
Chelonoidis abingdonii (Abingdon island giant tortoise),73.44464425695371
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),73.32154494192504
Salvator merianae (Argentine black and white tegu),72.8266472620262
Chrysemys picta bellii (Painted turtle),72.35202578887053
Pteropus vampyrus (Megabat),72.2578228484966
Scleropages formosus two (Asian bonytongue),71.7169649804271
Aquila chrysaetos chrysaetos (Golden eagle),71.34952411532332
Amphiprion percula (Orange clownfish),71.33696533012788
Nothobranchius furzeri (Turquoise killifish),71.1217956829845
Sparus aurata (Gilthead seabream),71.06473020153462
Pygocentrus nattereri (Red-bellied piranha),71.02066099453981
Poecilia latipinna (Sailfin molly),70.96018956426609
Xiphophorus maculatus (Platyfish),70.91248573794687
Fundulus heteroclitus (Mummichog),70.90264679014379
Anabas testudineus (Climbing perch),70.82851704085778
Kryptolebias marmoratus (Mangrove rivulus),70.79004290937195
Stegastes partitus (Bicolor damselfish),70.72070367859841
Seriola dumerili (Greater amberjack),70.63379020803336
Oryzias melastigma (Indian medaka),70.5489734374045
Hippocampus comes (Tiger tail seahorse),70.46182691844398
Takifugu rubripes (Fugu),70.33066479342325
Poecilia reticulata (Guppy),70.30244597578897
Acanthochromis polyacanthus (Spiny chromis),70.29883701672145
Amphiprion ocellaris (Clown anemonefish),70.28280804257686
Oryzias javanicus (Javanese ricefish),70.26968418562939
Myripristis murdjan (Pinecone soldierfish),70.26152906003304
Mastacembelus armatus (Zig-zag eel),70.24666769552668
Lates calcarifer (Barramundi perch),70.23842871353799
Betta splendens (Siamese fighting fish),70.18802594067223
Cyprinodon variegatus (Sheepshead minnow),70.12438912525803
Dicentrarchus labrax (European seabass),70.12017933656347
Seriola lalandi dorsalis (Yellowtail amberjack),70.05222878683686
Tetraodon nigroviridis (Tetraodon),70.00922699388467
Oncorhynchus mykiss (Rainbow trout),69.96710821729918
Cottoperca gobio (Channel bull blenny),69.9504986360756
Scophthalmus maximus (Turbot),69.9112479081934
Gadus morhua (Atlantic cod),69.90367115909739
Hucho hucho (Huchen),69.90035425945504
Sander lucioperca (Pike-perch),69.83525529921204
Scleropages formosus (Asian bonytongue),69.81904133746659
Oncorhynchus kisutch (Coho salmon),69.79000335954537
Cyprinus carpio carpio (Common carp),69.75148484067354
Oryzias latipes (Japanese medaka HdrR),69.73634245182664
Labrus bergylta (Ballan wrasse),69.72645878625116
Amphilophus citrinellus (Midas cichlid),69.72130267801201
Paramormyrops kingsleyae (Paramormyrops kingsleyae),69.71710533951358
Cyclopterus lumpus (Lumpfish),69.68541343699812
Electrophorus electricus (Electric eel),69.68098459121272
Salmo salar (Atlantic salmon),69.60082862623862
Salmo trutta (Brown trout),69.54196572656436
Sinocyclocheilus grahami (Golden-line barbel),69.4820440635946
Danio rerio (Zebrafish),69.44649946686309
Laticauda laticaudata (Blue-ringed sea krait),69.43414242606205
Carassius auratus (Goldfish),69.34783722989668
Oncorhynchus tshawytscha (Chinook salmon),69.27977940952168
Cynoglossus semilaevis (Tongue sole),69.27740020330047
Oryzias sinensis (Chinese medaka),69.16110081810916
Esox lucius (Northern pike),69.11863610436768
Leptobrachium leishanense (Leishan spiny toad),69.0705719823355
Pelodiscus sinensis (Chinese softshell turtle),69.03445165490973
Maylandia zebra (Zebra mbuna),69.00856885617011
Larimichthys crocea (Large yellow croaker),68.9532179629235
Lepisosteus oculatus (Spotted gar),68.93430410466928
Pundamilia nyererei (Makobe Island cichlid),68.90718972470285
Oreochromis niloticus (Nile tilapia),68.82522261422935
Haplochromis burtoni (Burton's mouthbrooder),68.75180803276915
Poecilia formosa (Amazon molly),68.72139905974507
Astatotilapia calliptera (Eastern happy),68.69631965705081
Neolamprologus brichardi (Lyretail cichlid),68.42789323018637
Xenopus tropicalis (Tropical clawed frog),68.32337653091001
Gopherus evgoodei (Goodes thornscrub tortoise),68.02742308186647
Gasterosteus aculeatus (Stickleback),67.20848768875452
Gallus gallus (Chicken),66.12718534649133
Echinops telfairi (Lesser hedgehog tenrec),65.76663569157137
Pseudonaja textilis (Eastern brown snake),65.7177013299059
Anas platyrhynchos (Mallard),65.63753380377294
Terrapene carolina triunguis (Three-toed box turtle),65.45614622815019
Procavia capensis (Hyrax),65.03425975436348
Vulpes vulpes (Red fox),64.3579930831298
Latimeria chalumnae (Coelacanth),64.29684569292351
