Species,Similarity
Carassius auratus (Goldfish),626.4280809514554
Salmo salar (Atlantic salmon),574.3809733000014
Oncorhynchus mykiss (Rainbow trout),574.2829318653042
Oncorhynchus kisutch (Coho salmon),573.8499234286139
Cyprinus carpio carpio (Common carp),570.1204474211008
Hucho hucho (Huchen),566.7523212616602
Salmo trutta (Brown trout),557.5487744767579
Oncorhynchus tshawytscha (Chinook salmon),556.4274656951573
Sinocyclocheilus grahami (Golden-line barbel),554.1975933537552
Canis lupus familiaris (Dog - Boxer),532.649618146323
Ciona savignyi,413.64241955953696
Ciona intestinalis,412.25403375941676
Mustela putorius furo (Ferret),358.0088660338216
Labrus bergylta (Ballan wrasse),355.4278651756893
Lates calcarifer (Barramundi perch),354.75271014493853
Chinchilla lanigera (Long-tailed chinchilla),347.7047624469442
Vulpes vulpes (Red fox),310.883332915379
Oreochromis niloticus (Nile tilapia),306.96207573287745
Stegastes partitus (Bicolor damselfish),301.08711155143726
Amphiprion percula (Orange clownfish),299.75165915818957
Sander lucioperca (Pike-perch),299.5895497199623
Seriola lalandi dorsalis (Yellowtail amberjack),299.42615574408404
Oryzias sinensis (Chinese medaka),298.67700055027797
Denticeps clupeoides (Denticle herring),296.95194613370677
Physeter catodon (Sperm whale),295.95005487070785
Esox lucius (Northern pike),294.93589799784894
Oryzias latipes (Japanese medaka HdrR),294.37910455710835
Anabas testudineus (Climbing perch),293.7506329203055
Acanthochromis polyacanthus (Spiny chromis),291.79525644867033
Danio rerio (Zebrafish),290.8668568636506
Astatotilapia calliptera (Eastern happy),290.52964219478486
Hippocampus comes (Tiger tail seahorse),290.34106977846045
Ictalurus punctatus (Channel catfish),289.91264628293516
Scleropages formosus two (Asian bonytongue),285.14096494623834
Seriola dumerili (Greater amberjack),284.7454780426266
Sparus aurata (Gilthead seabream),283.8958047573491
Maylandia zebra (Zebra mbuna),283.0186460645733
Mastacembelus armatus (Zig-zag eel),282.9048927459169
Myripristis murdjan (Pinecone soldierfish),282.496794319769
Oryzias javanicus (Javanese ricefish),282.39377452206816
Astyanax mexicanus (Mexican tetra),282.12671850493757
Dicentrarchus labrax (European seabass),281.63731345868587
Scophthalmus maximus (Turbot),279.1086451752202
Cottoperca gobio (Channel bull blenny),278.72437918660626
Poecilia latipinna (Sailfin molly),276.51445294733145
Pygocentrus nattereri (Red-bellied piranha),275.3634303090628
Electrophorus electricus (Electric eel),275.1598305640627
Cebus imitator (Panamanian white-faced capuchin),274.172337956361
Haplochromis burtoni (Burton's mouthbrooder),272.542186828969
Felis catus (Cat),270.7518221437151
Ovis aries (Sheep),270.5591107249267
Gadus morhua (Atlantic cod),270.50178052128933
Bison bison bison (American bison),270.42777894927656
Moschus moschiferus (Siberian musk deer),270.31074530710737
Balaenoptera musculus (Blue whale),270.2564055832673
Pongo abelii (Sumatran orangutan),270.10441503850984
Macaca mulatta (Macaque),270.0681688318755
Monodon monoceros (Narwhal),269.7445244551391
Sus scrofa (Pig - Hampshire),269.297198531193
Gorilla gorilla gorilla (Gorilla),269.1724391187296
Camelus dromedarius (Arabian camel),268.9847627900251
Neovison vison (American mink),268.75854268483306
Cavia porcellus (Guinea Pig),268.6807688540827
Urocitellus parryii (Arctic ground squirrel),268.49128892438904
Catagonus wagneri (Chacoan peccary),267.8840170740767
Nomascus leucogenys (Gibbon),267.6141520622222
Panthera pardus (Leopard),267.3549609064425
Ursus americanus (American black bear),267.2852266518644
Ictidomys tridecemlineatus (Squirrel),266.9735387603274
Paramormyrops kingsleyae (Paramormyrops kingsleyae),265.9767371169045
Cricetulus griseus (Chinese hamster CriGri),265.8607243443486
Panthera leo (Lion),265.71066982503527
Mesocricetus auratus (Golden Hamster),265.2567685333953
Gasterosteus aculeatus (Stickleback),265.1021790574416
Terrapene carolina triunguis (Three-toed box turtle),264.992430481264
Mus caroli (Ryukyu mouse),264.9707955646679
Mus pahari (Shrew mouse),264.79263863031355
Mus musculus (Mouse),264.6499242949493
Peromyscus maniculatus bairdii (Northern American deer mouse),264.4465385878444
Chlorocebus sabaeus (Vervet-AGM),264.31435294208717
Microtus ochrogaster (Prairie vole),264.2381885098156
Pan troglodytes (Chimpanzee),264.22439207111836
Pan paniscus (Bonobo),264.18193441076437
Octodon degus (Degu),264.175250504593
Propithecus coquereli (Coquerel's sifaka),263.97237593548806
Mus spicilegus (Steppe mouse),263.93615423585896
Nannospalax galili (Upper Galilee mountains blind mole rat),263.71980383773695
Carlito syrichta (Tarsier),263.6116478950056
Callithrix jacchus (White-tufted-ear marmoset),263.14182374724527
Jaculus jaculus (Lesser Egyptian jerboa),263.08551100602506
Capra hircus (Goat (black bengal)),262.54606070123197
Macaca nemestrina (Pig-tailed macaque),261.9529554185907
Cercocebus atys (Sooty mangabey),261.83166346991686
Mandrillus leucophaeus (Drill),261.53094533874724
Pundamilia nyererei (Makobe Island cichlid),261.48040965038086
Rhinopithecus roxellana (Golden snub-nosed monkey),261.4503971827741
Larimichthys crocea (Large yellow croaker),260.93048650993796
Sciurus vulgaris (Eurasian red squirrel),260.5799735796121
Otolemur garnettii (Bushbaby),260.4991584016935
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),259.83263598326363
Rhinopithecus bieti (Black snub-nosed monkey),259.5605925325601
