Species,Similarity
Canis lupus familiaris (Dog - Boxer),559.6444884954334
Cercocebus atys (Sooty mangabey),392.8339932097566
Macaca nemestrina (Pig-tailed macaque),392.76749759028337
Macaca fascicularis (Crab-eating macaque),392.75600714723845
Rhinopithecus roxellana (Golden snub-nosed monkey),392.6901580697885
Macaca mulatta (Macaque),392.5802868462281
Pongo abelii (Sumatran orangutan),390.98078185064793
Cebus imitator (Panamanian white-faced capuchin),388.04892892313217
Aotus nancymaae (Ma's night monkey),385.1816909797228
Rhinopithecus bieti (Black snub-nosed monkey),382.61229635266307
Pan troglodytes (Chimpanzee),382.4275585516226
Propithecus coquereli (Coquerel's sifaka),381.3178796525944
Microcebus murinus (Mouse Lemur),379.9453609622103
Prolemur simus (Greater bamboo lemur),373.4636439520154
Sciurus vulgaris (Eurasian red squirrel),373.1308479987041
Moschus moschiferus (Siberian musk deer),372.76507453929645
Urocitellus parryii (Arctic ground squirrel),372.28189308685285
Nannospalax galili (Upper Galilee mountains blind mole rat),370.8167435547075
Rhinolophus ferrumequinum (Greater horseshoe bat),370.7391915797708
Peromyscus maniculatus bairdii (Northern American deer mouse),370.5136962114987
Bos grunniens (Domestic yak),369.85896991417434
Ailuropoda melanoleuca (Giant panda),368.94721595364314
Cricetulus griseus (Chinese hamster CriGri),368.8841118985425
Physeter catodon (Sperm whale),368.70673812815795
Mus musculus (Mouse),367.7082449211006
Mus spretus (Algerian mouse),367.36030240443927
Mus pahari (Shrew mouse),366.76755092788375
Microtus ochrogaster (Prairie vole),366.07675280689125
Ictidomys tridecemlineatus (Squirrel),364.8052626432337
Felis catus (Cat),364.35976065470004
Nomascus leucogenys (Gibbon),363.69935457816655
Pan paniscus (Bonobo),363.5187072225197
Neovison vison (American mink),361.0693161728125
Marmota marmota marmota (Alpine marmot),357.5260312672998
Mandrillus leucophaeus (Drill),349.48819727800446
Callithrix jacchus (White-tufted-ear marmoset),294.9076815034092
Papio anubis (Olive baboon),294.42487039174773
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),292.8989874745535
Balaenoptera musculus (Blue whale),289.189535162813
Monodon monoceros (Narwhal),288.49205714234915
Phocoena sinus (Vaquita),288.41542878985877
Octodon degus (Degu),285.8667804535474
Cavia porcellus (Guinea Pig),285.479371683068
Gorilla gorilla gorilla (Gorilla),285.1941221964424
Ovis aries (Sheep),284.47680258865154
Cervus hanglu yarkandensis (Yarkand deer),283.0116388123565
Mus caroli (Ryukyu mouse),282.32765287889697
Procavia capensis (Hyrax),281.87785843266573
Camelus dromedarius (Arabian camel),280.59980620671877
Panthera pardus (Leopard),279.86319261096446
Catagonus wagneri (Chacoan peccary),279.20415421565593
Tursiops truncatus (Dolphin),278.02624794778905
Bison bison bison (American bison),276.9439830742015
Loxodonta africana (Elephant),275.0428034242739
Sus scrofa (Pig - Hampshire),274.83309992977433
Bos mutus (Wild yak),273.0405099074593
Otolemur garnettii (Bushbaby),272.4866878239148
Rattus norvegicus (Rat),272.2285993405788
Chinchilla lanigera (Long-tailed chinchilla),272.15528353379386
Mesocricetus auratus (Golden Hamster),271.8612029644786
Capra hircus (Goat (black bengal)),271.4236234217407
Dasypus novemcinctus (Armadillo),271.094220871003
Oryctolagus cuniculus (Rabbit),268.6000311016411
Jaculus jaculus (Lesser Egyptian jerboa),267.8827708278518
Phascolarctos cinereus (Koala),267.2613809104729
Ursus maritimus (Polar bear),247.54167269408487
Bos indicus x Bos taurus (Hybrid - Bos Taurus),194.21873749899993
Equus asinus (Donkey),193.6716715114987
Equus caballus (Horse),192.66625774506406
Mustela putorius furo (Ferret),192.2185774861989
Panthera leo (Lion),192.0525197571361
Dipodomys ordii (Kangaroo rat),189.17246713070378
Mus spicilegus (Steppe mouse),187.39365815931941
Vombatus ursinus (Common wombat),187.2128436941622
Bos taurus (Cow),182.17820593619638
Chlorocebus sabaeus (Vervet-AGM),180.49765403454498
Monodelphis domestica (Opossum),179.1956689868523
Myotis lucifugus (Microbat),177.80355761794277
Ursus americanus (American black bear),175.0176288612893
Carlito syrichta (Tarsier),173.8639855632895
Panthera tigris altaica (Tiger),163.3456898774124
Heterocephalus glaber (Naked mole-rat),97.62452107279694
Pteropus vampyrus (Megabat),94.21296296296296
Terrapene carolina triunguis (Three-toed box turtle),92.26604795050272
Crocodylus porosus (Australian saltwater crocodile),91.95668986852282
Chrysemys picta bellii (Painted turtle),91.87935034802784
Coturnix japonica (Japanese quail),91.18773946360152
Anas platyrhynchos (Mallard),90.5645784996133
Taeniopygia guttata (Zebra finch),90.48723897911832
Parus major (Great Tit),90.40989945862336
Erinaceus europaeus (Hedgehog),90.17788089713844
Gallus gallus (Chicken),89.94586233565352
Strigops habroptila (Kakapo),89.79118329466357
Ornithorhynchus anatinus (Platypus),88.78576952822893
Chelonoidis abingdonii (Abingdon island giant tortoise),87.74617067833698
Pelodiscus sinensis (Chinese softshell turtle),87.73946360153256
Delphinapterus leucas (Beluga whale),87.70301624129931
Notamacropus eugenii (Wallaby),87.39365815931941
Ochotona princeps (Pika),86.77494199535964
Aquila chrysaetos chrysaetos (Golden eagle),86.6965620328849
Vulpes vulpes (Red fox),85.93208593208594
Geospiza fortis (Medium ground-finch),85.74712643678161
Anser brachyrhynchus (Pink-footed goose),85.46255506607929
Tupaia belangeri (Tree Shrew),85.22815158546017
Xenopus tropicalis (Tropical clawed frog),84.36781609195401
Echinops telfairi (Lesser hedgehog tenrec),84.14539829853055
Sarcophilus harrisii (Tasmanian devil),83.03303303303304
Naja naja (Indian cobra),82.98850574712644
Leptobrachium leishanense (Leishan spiny toad),82.41758241758241
Podarcis muralis (Common wall lizard),80.44077134986226
Vicugna pacos (Alpaca),80.0
