Species,Similarity
Macaca nemestrina (Pig-tailed macaque),91.36689290335286
Pan troglodytes (Chimpanzee),91.31734960785832
Cercocebus atys (Sooty mangabey),90.61394215106074
Pongo abelii (Sumatran orangutan),90.25383013574111
Prolemur simus (Greater bamboo lemur),89.97373391308112
Rhinopithecus roxellana (Golden snub-nosed monkey),89.53883358674707
Canis lupus familiaris (Dog - Boxer),89.52239993673558
Urocitellus parryii (Arctic ground squirrel),89.39906543634139
Sciurus vulgaris (Eurasian red squirrel),89.39017972016283
Macaca mulatta (Macaque),89.28228522767922
Neovison vison (American mink),88.37842689871903
Catagonus wagneri (Chacoan peccary),88.09504746857704
Rhinolophus ferrumequinum (Greater horseshoe bat),88.02375373980864
Rhinopithecus bieti (Black snub-nosed monkey),87.83829132593604
Panthera leo (Lion),87.50555371188035
Mustela putorius furo (Ferret),86.49009266024443
Cebus imitator (Panamanian white-faced capuchin),86.43810511687022
Mus pahari (Shrew mouse),86.13793543090661
Mus musculus (Mouse),86.03864798338411
Felis catus (Cat),86.03069731272706
Aotus nancymaae (Ma's night monkey),85.37911638585499
Panthera pardus (Leopard),84.96676101674964
Peromyscus maniculatus bairdii (Northern American deer mouse),84.53148289665626
Macaca fascicularis (Crab-eating macaque),84.15119805258703
Propithecus coquereli (Coquerel's sifaka),83.93858424433414
Mus caroli (Ryukyu mouse),83.88776885802342
Marmota marmota marmota (Alpine marmot),83.78867030850695
Loxodonta africana (Elephant),83.11946682002345
Balaenoptera musculus (Blue whale),83.10564721468813
Microcebus murinus (Mouse Lemur),83.0365539838978
Moschus moschiferus (Siberian musk deer),82.75093099213416
Cervus hanglu yarkandensis (Yarkand deer),82.72312923247374
Pan paniscus (Bonobo),82.72048096955803
Monodon monoceros (Narwhal),82.66980344342826
Nomascus leucogenys (Gibbon),82.6332237533437
Mandrillus leucophaeus (Drill),82.39855129870591
Callithrix jacchus (White-tufted-ear marmoset),82.39637606370098
Ictidomys tridecemlineatus (Squirrel),82.02448146734798
Phocoena sinus (Vaquita),81.9321075639703
Rattus norvegicus (Rat),81.61170897302222
Sus scrofa (Pig - Hampshire),81.60182291615021
Cricetulus griseus (Chinese hamster CriGri),81.22073389387643
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),81.0384168113089
Equus caballus (Horse),80.79818812532244
Ursus americanus (American black bear),80.04617586917902
Mus spicilegus (Steppe mouse),79.84136008779252
Heterocephalus glaber (Naked mole-rat),79.82866920711605
Ailuropoda melanoleuca (Giant panda),79.8045384710058
Gorilla gorilla gorilla (Gorilla),79.70731194063248
Equus asinus (Donkey),79.43945772597829
Capra hircus (Goat (black bengal)),79.28682658956366
Microtus ochrogaster (Prairie vole),79.15929353775475
Nannospalax galili (Upper Galilee mountains blind mole rat),78.99670041578862
Jaculus jaculus (Lesser Egyptian jerboa),78.88460989446519
Bos taurus (Cow),78.79382148814621
Bos mutus (Wild yak),78.7276724949471
Octodon degus (Degu),78.57628414542326
Chlorocebus sabaeus (Vervet-AGM),78.28267451984135
Otolemur garnettii (Bushbaby),78.17407126089552
Ovis aries (Sheep),78.13569136260111
Physeter catodon (Sperm whale),77.77487295697021
Papio anubis (Olive baboon),77.65192826345684
Chinchilla lanigera (Long-tailed chinchilla),77.31839420321626
Bos indicus x Bos taurus (Hybrid - Bos Taurus),76.84783101713623
Oryctolagus cuniculus (Rabbit),76.5727858759121
Delphinapterus leucas (Beluga whale),76.49592255492645
Dasypus novemcinctus (Armadillo),76.10723196018745
Mus spretus (Algerian mouse),76.10010901201053
Cavia porcellus (Guinea Pig),75.80395579656856
Vombatus ursinus (Common wombat),74.73989406584013
Pteropus vampyrus (Megabat),73.82383110601424
Procavia capensis (Hyrax),72.35213401139436
Vulpes vulpes (Red fox),71.91850182878929
Dipodomys ordii (Kangaroo rat),71.04361345604235
Phascolarctos cinereus (Koala),70.51139805062505
Panthera tigris altaica (Tiger),70.07801598207352
Tursiops truncatus (Dolphin),69.78743619126345
Bison bison bison (American bison),69.57692879555005
Monodelphis domestica (Opossum),69.26616090025125
Sarcophilus harrisii (Tasmanian devil),68.63061262467725
Carlito syrichta (Tarsier),67.85747050578362
Ursus maritimus (Polar bear),67.14085836742589
Chelonoidis abingdonii (Abingdon island giant tortoise),67.0917522890069
Camelus dromedarius (Arabian camel),67.042238916917
Chrysemys picta bellii (Painted turtle),65.79806515127959
Pseudonaja textilis (Eastern brown snake),65.68814545865918
Salvator merianae (Argentine black and white tegu),65.4537325097467
Echinops telfairi (Lesser hedgehog tenrec),64.45417925145382
Pelodiscus sinensis (Chinese softshell turtle),64.42838843275526
Bos grunniens (Domestic yak),64.27535424133059
Danio rerio (Zebrafish),64.164120877957
Coturnix japonica (Japanese quail),63.695351448483926
Gopherus evgoodei (Goodes thornscrub tortoise),63.560310649475014
Podarcis muralis (Common wall lizard),63.066255308590414
Strigops habroptila (Kakapo),62.72731397934527
Terrapene carolina triunguis (Three-toed box turtle),62.557062836122235
Stegastes partitus (Bicolor damselfish),62.49726230264009
Electrophorus electricus (Electric eel),62.40336756353344
Mesocricetus auratus (Golden Hamster),62.31638563450349
Hucho hucho (Huchen),62.08773013078959
Anabas testudineus (Climbing perch),61.97006509278744
Aquila chrysaetos chrysaetos (Golden eagle),61.495411995708885
Naja naja (Indian cobra),61.46178675460919
Xenopus tropicalis (Tropical clawed frog),61.387360339042665
Sinocyclocheilus grahami (Golden-line barbel),61.15700067707653
Carassius auratus (Goldfish),60.78221059778662
Anser brachyrhynchus (Pink-footed goose),60.769014535609145
Pygocentrus nattereri (Red-bellied piranha),60.60558276237396
Paramormyrops kingsleyae (Paramormyrops kingsleyae),60.60372532928149
Seriola lalandi dorsalis (Yellowtail amberjack),60.57576382066742
Latimeria chalumnae (Coelacanth),60.5567291752888
Acanthochromis polyacanthus (Spiny chromis),60.54777627087442
Cyprinodon variegatus (Sheepshead minnow),60.52993929263535
Sander lucioperca (Pike-perch),60.518183270510306
Betta splendens (Siamese fighting fish),60.36690728448585
Seriola dumerili (Greater amberjack),60.299425440673026
Denticeps clupeoides (Denticle herring),60.26263905943197
Mastacembelus armatus (Zig-zag eel),60.21613866862411
Erpetoichthys calabaricus (Reedfish),60.20815515318406
Cyprinus carpio carpio (Common carp),60.16041901276083
Labrus bergylta (Ballan wrasse),60.11029600513045
Gallus gallus (Chicken),60.05228980529614
Amphiprion percula (Orange clownfish),59.981457492684356
Larimichthys crocea (Large yellow croaker),59.978277677295026
Poecilia formosa (Amazon molly),59.881175142062496
Taeniopygia guttata (Zebra finch),59.79217912171144
Ochotona princeps (Pika),59.71790454306731
Pundamilia nyererei (Makobe Island cichlid),59.51336866341108
Oncorhynchus tshawytscha (Chinook salmon),59.39789905558829
Ornithorhynchus anatinus (Platypus),59.285509707610274
