Species,Similarity
Canis lupus familiaris (Dog - Boxer),364.7994925305897
Vombatus ursinus (Common wombat),344.97530359811265
Cyprinus carpio carpio (Common carp),299.5833602355698
Sinocyclocheilus grahami (Golden-line barbel),299.2490570680774
Carassius auratus (Goldfish),299.1342026773814
Pan troglodytes (Chimpanzee),298.2325433039683
Scleropages formosus two (Asian bonytongue),297.1472541213667
Pongo abelii (Sumatran orangutan),296.08176012707645
Gorilla gorilla gorilla (Gorilla),295.8990999959622
Paramormyrops kingsleyae (Paramormyrops kingsleyae),295.4658618621069
Oncorhynchus mykiss (Rainbow trout),294.8000518075212
Salmo salar (Atlantic salmon),294.41599323084904
Macaca nemestrina (Pig-tailed macaque),293.7779946352616
Mandrillus leucophaeus (Drill),293.6728767383675
Macaca fascicularis (Crab-eating macaque),293.6406189236428
Cercocebus atys (Sooty mangabey),293.63009897453895
Papio anubis (Olive baboon),293.6070732384676
Macaca mulatta (Macaque),293.4461876421175
Rhinopithecus roxellana (Golden snub-nosed monkey),292.9306095820945
Chlorocebus sabaeus (Vervet-AGM),292.80937887039113
Rhinopithecus bieti (Black snub-nosed monkey),292.13674432046344
Cebus imitator (Panamanian white-faced capuchin),289.64905924578864
Callithrix jacchus (White-tufted-ear marmoset),289.62371225493837
Aotus nancymaae (Ma's night monkey),289.5189952302052
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),283.39690231308793
Propithecus coquereli (Coquerel's sifaka),281.9090926802618
Microcebus murinus (Mouse Lemur),280.14770493757317
Carlito syrichta (Tarsier),279.43279792889354
Prolemur simus (Greater bamboo lemur),279.2608927441633
Pan paniscus (Bonobo),278.53024316776526
Equus asinus (Donkey),278.51094751744984
Sciurus vulgaris (Eurasian red squirrel),277.5693671092804
Equus caballus (Horse),277.3055159162575
Loxodonta africana (Elephant),277.29019769004447
Urocitellus parryii (Arctic ground squirrel),276.97665745115796
Marmota marmota marmota (Alpine marmot),276.2286735157524
Nomascus leucogenys (Gibbon),275.6347303237043
Felis catus (Cat),275.3826353582586
Sus scrofa (Pig - Hampshire),275.2817444366921
Ailuropoda melanoleuca (Giant panda),274.4523955583471
Balaenoptera musculus (Blue whale),273.95824169971496
Monodon monoceros (Narwhal),273.51203334050945
Delphinapterus leucas (Beluga whale),273.4837367377737
Phocoena sinus (Vaquita),273.02890798717704
Neovison vison (American mink),272.9291890549087
Chinchilla lanigera (Long-tailed chinchilla),272.7920969814003
Rhinolophus ferrumequinum (Greater horseshoe bat),272.26629498478803
Bos indicus x Bos taurus (Hybrid - Bos Taurus),271.23952296009764
Bos taurus (Cow),271.1837445812477
Octodon degus (Degu),271.116601322846
Vulpes vulpes (Red fox),270.8143787063916
Capra hircus (Goat (black bengal)),270.65882211361725
Mustela putorius furo (Ferret),270.4841042999197
Ovis aries (Sheep),270.4259264761051
Cricetulus griseus (Chinese hamster CriGri),270.4155004633018
Cervus hanglu yarkandensis (Yarkand deer),269.6102035488712
Panthera pardus (Leopard),269.5393074207431
Moschus moschiferus (Siberian musk deer),269.2056929701889
Heterocephalus glaber (Naked mole-rat),269.05947743835475
Panthera tigris altaica (Tiger),268.84219523182713
Catagonus wagneri (Chacoan peccary),268.09790900533574
Peromyscus maniculatus bairdii (Northern American deer mouse),267.6073417320059
Microtus ochrogaster (Prairie vole),267.5706725133719
Rattus norvegicus (Rat),267.3875056416767
Mesocricetus auratus (Golden Hamster),267.3714211700886
Mus spretus (Algerian mouse),267.0933702641439
Mus musculus (Mouse),267.0422540371453
Mus pahari (Shrew mouse),266.90824833725964
Mus spicilegus (Steppe mouse),266.5522794541923
Dasypus novemcinctus (Armadillo),265.30594892331146
Dipodomys ordii (Kangaroo rat),263.36832392969
Cavia porcellus (Guinea Pig),260.5443345660266
Bison bison bison (American bison),259.50711469296544
Terrapene carolina triunguis (Three-toed box turtle),255.54995080625787
Monodelphis domestica (Opossum),254.94970163306158
Sarcophilus harrisii (Tasmanian devil),254.88347200236637
Panthera leo (Lion),252.46349641897734
Strigops habroptila (Kakapo),239.8103667327294
Podarcis muralis (Common wall lizard),238.81692252327548
Salvator merianae (Argentine black and white tegu),235.78474925104626
Anolis carolinensis (Green anole),232.064642068236
Salmo trutta (Brown trout),220.00267249188508
Otolemur garnettii (Bushbaby),185.38956990930714
Ictidomys tridecemlineatus (Squirrel),183.68724322497263
Ursus maritimus (Polar bear),182.54404148635763
Jaculus jaculus (Lesser Egyptian jerboa),182.06191693771493
Bos grunniens (Domestic yak),181.62512787802743
Physeter catodon (Sperm whale),180.62096683755365
Oryctolagus cuniculus (Rabbit),179.91807901719156
Ursus americanus (American black bear),179.91727180556842
Nannospalax galili (Upper Galilee mountains blind mole rat),179.23556204893424
Mus caroli (Ryukyu mouse),177.05041002881734
Bos mutus (Wild yak),175.0683775350405
Pteropus vampyrus (Megabat),172.79842080424552
Tursiops truncatus (Dolphin),172.7969006051537
Myotis lucifugus (Microbat),172.4366034681837
Crocodylus porosus (Australian saltwater crocodile),171.68708311463365
Taeniopygia guttata (Zebra finch),171.06072127998078
Parus major (Great Tit),170.97181078154057
Anser brachyrhynchus (Pink-footed goose),170.96921325641475
Anas platyrhynchos (Mallard),170.95848229293995
Gallus gallus (Chicken),170.41104143241668
Chelonoidis abingdonii (Abingdon island giant tortoise),170.37971438370084
Aquila chrysaetos chrysaetos (Golden eagle),170.3295229331612
Gopherus evgoodei (Goodes thornscrub tortoise),169.8544768892915
Coturnix japonica (Japanese quail),169.3231511343621
Serinus canaria (Common canary),164.72059039258062
Ornithorhynchus anatinus (Platypus),161.78465306362403
Tupaia belangeri (Tree Shrew),161.53206361130037
Naja naja (Indian cobra),161.40446640962114
