Species,Similarity
Canis lupus familiaris (Dog - Boxer),2150.876899230328
Pan troglodytes (Chimpanzee),1375.348981443163
Cercocebus atys (Sooty mangabey),1364.2969706370147
Papio anubis (Olive baboon),1363.7107549063664
Rhinopithecus roxellana (Golden snub-nosed monkey),1362.0846173450686
Rhinopithecus bieti (Black snub-nosed monkey),1360.3178417095098
Mandrillus leucophaeus (Drill),1359.932031439891
Macaca mulatta (Macaque),1359.182364266574
Ailuropoda melanoleuca (Giant panda),1350.878511470897
Chlorocebus sabaeus (Vervet-AGM),1350.6635442144006
Aotus nancymaae (Ma's night monkey),1348.3739489735035
Cebus imitator (Panamanian white-faced capuchin),1347.7426654772562
Prolemur simus (Greater bamboo lemur),1292.2015665806537
Rattus norvegicus (Rat),1286.0758456334254
Gorilla gorilla gorilla (Gorilla),1278.6728770041916
Pongo abelii (Sumatran orangutan),1271.0851712302704
Pan paniscus (Bonobo),1266.9932238571412
Macaca nemestrina (Pig-tailed macaque),1264.8157776563617
Felis catus (Cat),1264.4155782750115
Vombatus ursinus (Common wombat),1258.7735223830412
Macaca fascicularis (Crab-eating macaque),1253.911360855598
Phocoena sinus (Vaquita),1253.3253157759386
Monodon monoceros (Narwhal),1250.596210928685
Rhinolophus ferrumequinum (Greater horseshoe bat),1250.3069285168312
Equus caballus (Horse),1248.0300426314777
Capra hircus (Goat (black bengal)),1244.4355009566416
Cervus hanglu yarkandensis (Yarkand deer),1244.0756612713672
Panthera leo (Lion),1241.6805054331257
Moschus moschiferus (Siberian musk deer),1239.2682816515528
Ovis aries (Sheep),1236.3103978473769
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),1233.5606586883634
Bos taurus (Cow),1232.9796090415873
Bison bison bison (American bison),1228.5005005866701
Cricetulus griseus (Chinese hamster CriGri),1224.79274631985
Bos indicus x Bos taurus (Hybrid - Bos Taurus),1220.0277126755896
Mus musculus (Mouse),1217.6594096591086
Callithrix jacchus (White-tufted-ear marmoset),1216.4630647116194
Mus spretus (Algerian mouse),1214.2701459579384
Peromyscus maniculatus bairdii (Northern American deer mouse),1207.918106230215
Microtus ochrogaster (Prairie vole),1200.25887197844
Mus spicilegus (Steppe mouse),1192.2040135209168
Otolemur garnettii (Bushbaby),1191.3797595829665
Equus asinus (Donkey),1185.9561347444373
Marmota marmota marmota (Alpine marmot),1178.767308349497
Sciurus vulgaris (Eurasian red squirrel),1178.6380711279392
Panthera pardus (Leopard),1175.906892830928
Urocitellus parryii (Arctic ground squirrel),1173.9979100160808
Chinchilla lanigera (Long-tailed chinchilla),1171.7584417215803
Balaenoptera musculus (Blue whale),1170.7176486260673
Delphinapterus leucas (Beluga whale),1167.531611989214
Sarcophilus harrisii (Tasmanian devil),1165.5114457420784
Monodelphis domestica (Opossum),1163.5418188191552
Loxodonta africana (Elephant),1161.3431652041072
Catagonus wagneri (Chacoan peccary),1159.7587003707536
Ursus americanus (American black bear),1158.6809606763625
Neovison vison (American mink),1158.4647004241835
Nomascus leucogenys (Gibbon),1152.49440880959
Oryctolagus cuniculus (Rabbit),1148.1357822964867
Dasypus novemcinctus (Armadillo),1147.3030953446168
Myotis lucifugus (Microbat),1145.2606336331082
Ursus maritimus (Polar bear),1145.084598428228
Nannospalax galili (Upper Galilee mountains blind mole rat),1140.7562008619411
Mus caroli (Ryukyu mouse),1127.4305688001414
Mus pahari (Shrew mouse),1126.4476727488695
Oncorhynchus mykiss (Rainbow trout),1106.8744964956763
Carlito syrichta (Tarsier),1106.52662950312
Salmo salar (Atlantic salmon),1104.4580691302112
