Species,Similarity
Acanthochromis polyacanthus (Spiny chromis),987.8350521507277
Ailuropoda melanoleuca (Giant panda),15513.034039030525
Amphilophus citrinellus (Midas cichlid),817.7486192997433
Amphiprion ocellaris (Clown anemonefish),904.0390603965818
Amphiprion percula (Orange clownfish),899.6530450456535
Anabas testudineus (Climbing perch),817.3539692629661
Anas platyrhynchos (Mallard),4383.347556477658
Anolis carolinensis (Green anole),2162.549055740934
Anser brachyrhynchus (Pink-footed goose),5044.755589441039
Aotus nancymaae (Ma's night monkey),20199.320003428453
Aquila chrysaetos chrysaetos (Golden eagle),6620.992998271356
Astatotilapia calliptera (Eastern happy),488.95454463147524
Astyanax mexicanus (Mexican tetra),732.3192307490282
Balaenoptera musculus (Blue whale),17885.90822147997
Betta splendens (Siamese fighting fish),910.6446267368888
Bison bison bison (American bison),11367.688228074434
Bos grunniens (Domestic yak),15888.556145544117
Bos indicus x Bos taurus (Hybrid - Bos Taurus),16627.415126784043
Bos mutus (Wild yak),11140.447780798451
Bos taurus (Cow),17550.063959234358
Callithrix jacchus (White-tufted-ear marmoset),18497.74196313203
Callorhinchus milii (Elephant shark),649.0360955544058
Camelus dromedarius (Arabian camel),15132.927468150694
Canis lupus familiaris (Dog - Boxer),34332.05648441684
Capra hircus (Goat (black bengal)),18064.28434056155
Carassius auratus (Goldfish),1460.477441976107
Carlito syrichta (Tarsier),10551.10525214178
Catagonus wagneri (Chacoan peccary),18095.726176441494
Cavia porcellus (Guinea Pig),13611.206525360563
Cebus imitator (Panamanian white-faced capuchin),19872.17915635128
Cercocebus atys (Sooty mangabey),20114.140645103078
Cervus hanglu yarkandensis (Yarkand deer),15743.47016144497
Chelonoidis abingdonii (Abingdon island giant tortoise),5532.895987266246
Chinchilla lanigera (Long-tailed chinchilla),14215.897423462942
Chlorocebus sabaeus (Vervet-AGM),18578.19871453444
Choloepus hoffmanni (Sloth),3001.985760020656
Chrysemys picta bellii (Painted turtle),5341.792450108807
Cottoperca gobio (Channel bull blenny),895.1797701000379
Coturnix japonica (Japanese quail),6317.273717941369
Cricetulus griseus (Chinese hamster CriGri),16884.957718977425
Crocodylus porosus (Australian saltwater crocodile),4297.964963865665
Cyclopterus lumpus (Lumpfish),979.8084075872181
Cynoglossus semilaevis (Tongue sole),497.5651242763465
Cyprinodon variegatus (Sheepshead minnow),1140.2364348849965
Cyprinus carpio carpio (Common carp),735.4301392366744
Danio rerio (Zebrafish),652.2960360338246
Dasypus novemcinctus (Armadillo),12171.071543476308
Delphinapterus leucas (Beluga whale),17197.031552443183
Denticeps clupeoides (Denticle herring),1414.9178150968546
Dicentrarchus labrax (European seabass),1055.0114777928025
Dipodomys ordii (Kangaroo rat),13385.274965447756
Echinops telfairi (Lesser hedgehog tenrec),4867.550687048606
Electrophorus electricus (Electric eel),489.34456097781776
Equus asinus (Donkey),16677.441833994642
Equus caballus (Horse),15424.609658888065
Erinaceus europaeus (Hedgehog),4646.153769816015
Erpetoichthys calabaricus (Reedfish),1063.034309473874
Esox lucius (Northern pike),488.38862116169116
Felis catus (Cat),17232.022206957095
Ficedula albicollis (Collared flycatcher),2794.7691608576533
Fundulus heteroclitus (Mummichog),987.3302256458392
Gadus morhua (Atlantic cod),580.6938397031631
Gallus gallus (Chicken),5964.2074138586595
Gasterosteus aculeatus (Stickleback),742.6376650551758
Geospiza fortis (Medium ground-finch),2088.2654575927595
Gopherus evgoodei (Goodes thornscrub tortoise),6035.752813125406
Gorilla gorilla gorilla (Gorilla),19076.981167506103
Haplochromis burtoni (Burton's mouthbrooder),653.6070389314173
Heterocephalus glaber (Naked mole-rat),15780.715663472361
Hippocampus comes (Tiger tail seahorse),896.2475781877592
Hucho hucho (Huchen),892.4549061833003
Ictalurus punctatus (Channel catfish),408.5082651076162
Ictidomys tridecemlineatus (Squirrel),15020.699451309543
Jaculus jaculus (Lesser Egyptian jerboa),14185.30077357707
Kryptolebias marmoratus (Mangrove rivulus),991.2284524702269
Labrus bergylta (Ballan wrasse),577.074821065938
Larimichthys crocea (Large yellow croaker),570.3460527931368
Lates calcarifer (Barramundi perch),730.71729687388
Laticauda laticaudata (Blue-ringed sea krait),2307.2865315506633
Latimeria chalumnae (Coelacanth),1146.8208368825817
Lepisosteus oculatus (Spotted gar),823.0384915219803
Leptobrachium leishanense (Leishan spiny toad),1562.2142707923808
Loxodonta africana (Elephant),13804.766802899761
Macaca fascicularis (Crab-eating macaque),16976.014375017658
Macaca mulatta (Macaque),19677.30262413697
Macaca nemestrina (Pig-tailed macaque),21280.064890534522
Mandrillus leucophaeus (Drill),15486.428499015516
Marmota marmota marmota (Alpine marmot),13085.780954767346
Mastacembelus armatus (Zig-zag eel),573.5713973649496
Maylandia zebra (Zebra mbuna),735.4215159769954
Meleagris gallopavo (Turkey),1087.0168487383394
Mesocricetus auratus (Golden Hamster),15045.612276669046
Microcebus murinus (Mouse Lemur),18082.262929296674
Microtus ochrogaster (Prairie vole),16330.292133364926
Monodelphis domestica (Opossum),9072.355905710961
Monodon monoceros (Narwhal),17543.397435164057
Moschus moschiferus (Siberian musk deer),18307.796511228393
Mus caroli (Ryukyu mouse),16532.64988093582
Mus musculus (Mouse),17157.308120135778
Mus pahari (Shrew mouse),16825.16084954361
Mus spicilegus (Steppe mouse),15426.26972287983
Mus spretus (Algerian mouse),16592.73102038215
Mustela putorius furo (Ferret),14251.245815771768
Myotis lucifugus (Microbat),11798.35912518559
Myripristis murdjan (Pinecone soldierfish),814.1982146765839
Naja naja (Indian cobra),3647.3719625830545
Nannospalax galili (Upper Galilee mountains blind mole rat),16051.03820181406
Neolamprologus brichardi (Lyretail cichlid),575.6618636647038
Neovison vison (American mink),15948.687088365623
Nomascus leucogenys (Gibbon),16461.985383422507
Notamacropus eugenii (Wallaby),5314.119516370532
Notechis scutatus (Mainland tiger snake),3818.3696663554633
Nothobranchius furzeri (Turquoise killifish),893.5222621121184
Ochotona princeps (Pika),7239.886478499492
Octodon degus (Degu),15055.30908220919
Oncorhynchus kisutch (Coho salmon),1053.111523537785
Oncorhynchus mykiss (Rainbow trout),810.1497807055729
Oncorhynchus tshawytscha (Chinook salmon),727.7109784579757
Oreochromis niloticus (Nile tilapia),654.4295763803441
Ornithorhynchus anatinus (Platypus),7432.021440004857
Oryctolagus cuniculus (Rabbit),12014.825787207606
Oryzias javanicus (Javanese ricefish),816.2645382593926
Oryzias latipes (Japanese medaka HdrR),979.8429125406619
Oryzias melastigma (Indian medaka),822.0577921761303
Oryzias sinensis (Chinese medaka),573.813208071966
Otolemur garnettii (Bushbaby),16338.085116826122
