Species,Similarity
Canis lupus familiaris (Dog - Boxer),89.25269720469021
Sus scrofa (Pig - Hampshire),86.64747591182956
Urocitellus parryii (Arctic ground squirrel),86.56351397005359
Phocoena sinus (Vaquita),86.53320520305596
Catagonus wagneri (Chacoan peccary),85.77891076138185
Bos taurus (Cow),85.74990357980758
Delphinapterus leucas (Beluga whale),85.69372460361642
Ovis aries (Sheep),85.5289371876837
Moschus moschiferus (Siberian musk deer),85.4714530576411
Sciurus vulgaris (Eurasian red squirrel),85.42498768870307
Capra hircus (Goat (black bengal)),85.25338179061322
Rhinolophus ferrumequinum (Greater horseshoe bat),85.05635466220266
Mus musculus (Mouse),84.99992247147233
Monodon monoceros (Narwhal),84.95266716227088
Felis catus (Cat),84.33089099994471
Mus pahari (Shrew mouse),84.16715426418985
Panthera leo (Lion),84.08959083524111
Equus asinus (Donkey),83.954400888445
Rattus norvegicus (Rat),83.76444779710913
Cricetulus griseus (Chinese hamster CriGri),83.74834696106183
Bos indicus x Bos taurus (Hybrid - Bos Taurus),83.68428341695329
Balaenoptera musculus (Blue whale),83.63409237411597
Mus spretus (Algerian mouse),83.45378321103513
Panthera pardus (Leopard),83.2155891516732
Neovison vison (American mink),82.79322822235504
Equus caballus (Horse),82.01397824262317
Heterocephalus glaber (Naked mole-rat),81.8104629906543
Cervus hanglu yarkandensis (Yarkand deer),81.79410830796543
Ailuropoda melanoleuca (Giant panda),81.79093781022885
Mus caroli (Ryukyu mouse),81.51979028100449
Physeter catodon (Sperm whale),81.25685685721206
Nannospalax galili (Upper Galilee mountains blind mole rat),80.6265754689094
Mus spicilegus (Steppe mouse),80.48082455009353
Ictidomys tridecemlineatus (Squirrel),80.39408228731206
Bos grunniens (Domestic yak),79.65111010690694
Microtus ochrogaster (Prairie vole),79.47098090255942
Octodon degus (Degu),79.16735460637568
Peromyscus maniculatus bairdii (Northern American deer mouse),78.83284109568335
Mustela putorius furo (Ferret),78.75753414731328
Chinchilla lanigera (Long-tailed chinchilla),78.4502547266034
Camelus dromedarius (Arabian camel),77.77341911614656
Dasypus novemcinctus (Armadillo),77.22768646332037
Vombatus ursinus (Common wombat),76.63388827624689
Cavia porcellus (Guinea Pig),76.48726576599051
Jaculus jaculus (Lesser Egyptian jerboa),75.8934261416035
Ursus americanus (American black bear),75.76103259657917
Phascolarctos cinereus (Koala),75.6121880957179
Loxodonta africana (Elephant),75.54598219132458
Mesocricetus auratus (Golden Hamster),75.4814545314101
Vulpes vulpes (Red fox),75.17271058370773
Sarcophilus harrisii (Tasmanian devil),74.9468220496574
Dipodomys ordii (Kangaroo rat),73.60480643125359
Tursiops truncatus (Dolphin),73.46311372979496
Bos mutus (Wild yak),72.9017839737817
Oryctolagus cuniculus (Rabbit),71.98285396549655
Bison bison bison (American bison),71.6071215355643
Marmota marmota marmota (Alpine marmot),71.54313345914923
Monodelphis domestica (Opossum),71.42350118026685
Myotis lucifugus (Microbat),71.38496815477407
Pteropus vampyrus (Megabat),71.2809520111735
Gopherus evgoodei (Goodes thornscrub tortoise),69.0837948521346
Salvator merianae (Argentine black and white tegu),68.42209331570537
Strigops habroptila (Kakapo),67.95452000447642
Podarcis muralis (Common wall lizard),67.70638770999263
Ornithorhynchus anatinus (Platypus),67.62865352673208
Chrysemys picta bellii (Painted turtle),67.62751493758742
Coturnix japonica (Japanese quail),67.42566755464817
Aquila chrysaetos chrysaetos (Golden eagle),67.3974011187303
Terrapene carolina triunguis (Three-toed box turtle),67.39217680040448
Taeniopygia guttata (Zebra finch),67.3602173944852
Gallus gallus (Chicken),66.416429394225
Chelonoidis abingdonii (Abingdon island giant tortoise),66.41380353702971
Parus major (Great Tit),65.06385468166556
Pseudonaja textilis (Eastern brown snake),64.69284387846608
Procavia capensis (Hyrax),63.98839621694666
Anser brachyrhynchus (Pink-footed goose),63.93719322167995
Notechis scutatus (Mainland tiger snake),63.30657595570715
Paramormyrops kingsleyae (Paramormyrops kingsleyae),63.083283296494386
Panthera tigris altaica (Tiger),63.02015316962498
Pelodiscus sinensis (Chinese softshell turtle),62.95857373833728
Naja naja (Indian cobra),62.795985383579314
Scleropages formosus two (Asian bonytongue),62.15386304881563
Danio rerio (Zebrafish),61.76005404483635
Denticeps clupeoides (Denticle herring),61.659442774938924
Notamacropus eugenii (Wallaby),61.61528504952126
Carassius auratus (Goldfish),61.57312718648681
Cyprinus carpio carpio (Common carp),61.53942840956105
Betta splendens (Siamese fighting fish),61.32277479527305
Astyanax mexicanus (Mexican tetra),61.277590800098714
Stegastes partitus (Bicolor damselfish),61.24320011929163
Ochotona princeps (Pika),61.24237748071205
Oncorhynchus kisutch (Coho salmon),61.18247049903971
Pygocentrus nattereri (Red-bellied piranha),61.16107705911893
Salmo salar (Atlantic salmon),61.04232018954764
Seriola lalandi dorsalis (Yellowtail amberjack),61.03942546148868
Seriola dumerili (Greater amberjack),61.002109495567105
Lates calcarifer (Barramundi perch),60.93577514283459
Acanthochromis polyacanthus (Spiny chromis),60.918555542092
Electrophorus electricus (Electric eel),60.911155016961246
Esox lucius (Northern pike),60.88702279973076
Salmo trutta (Brown trout),60.84164467384441
Amphiprion percula (Orange clownfish),60.83803920351695
Pundamilia nyererei (Makobe Island cichlid),60.64964516783626
Oryzias javanicus (Javanese ricefish),60.639775028736445
Cyprinodon variegatus (Sheepshead minnow),60.61559325324849
Lepisosteus oculatus (Spotted gar),60.606244846415024
Anas platyrhynchos (Mallard),60.604676481795806
Oncorhynchus mykiss (Rainbow trout),60.586744236171796
Sinocyclocheilus grahami (Golden-line barbel),60.43419115462185
Myripristis murdjan (Pinecone soldierfish),60.41662171101111
Poecilia formosa (Amazon molly),60.407639789627375
Anabas testudineus (Climbing perch),60.373068866584646
Amphilophus citrinellus (Midas cichlid),60.353825326223586
Sander lucioperca (Pike-perch),60.35277514507759
Mastacembelus armatus (Zig-zag eel),60.34367018668556
Xiphophorus maculatus (Platyfish),60.31177305225695
Xenopus tropicalis (Tropical clawed frog),60.254956111376956
Oryzias melastigma (Indian medaka),60.19627636208029
Labrus bergylta (Ballan wrasse),60.08533899110217
Maylandia zebra (Zebra mbuna),60.058469896199576
Haplochromis burtoni (Burton's mouthbrooder),60.04775686208445
Kryptolebias marmoratus (Mangrove rivulus),60.045308541236764
Oncorhynchus tshawytscha (Chinook salmon),60.00043336761303
Hippocampus comes (Tiger tail seahorse),59.96860037766083
Ursus maritimus (Polar bear),59.960484633506496
Oreochromis niloticus (Nile tilapia),59.95803686618941
Leptobrachium leishanense (Leishan spiny toad),59.90960285218081
Oryzias latipes (Japanese medaka HdrR),59.90736713990198
Sparus aurata (Gilthead seabream),59.84865580433657
Scophthalmus maximus (Turbot),59.785604650162696
Astatotilapia calliptera (Eastern happy),59.71534320773597
Amphiprion ocellaris (Clown anemonefish),59.618291529734904
Fundulus heteroclitus (Mummichog),59.536605126619605
Neolamprologus brichardi (Lyretail cichlid),59.4299882564005
Poecilia reticulata (Guppy),59.36009812532623
Larimichthys crocea (Large yellow croaker),59.33945124366069
Nothobranchius furzeri (Turquoise killifish),59.2941051098213
Ictalurus punctatus (Channel catfish),59.294069412057674
Dicentrarchus labrax (European seabass),59.249709313449806
Latimeria chalumnae (Coelacanth),59.096484332642916
Poecilia latipinna (Sailfin molly),58.98938743327859
