Prefix	Species name
ENSCSAV	Ciona savignyi
ENSSOR	Sphaeramia orbicularis (Orbiculate cardinalfish)
ENSNML	Neogobius melanostomus (Round goby)
MGP_CBAJ_	Mus musculus (Mouse CBA/J)
ENSOAB	Oreochromis aureus (Blue tilapia)
ENSSTO	Ictidomys tridecemlineatus (Squirrel)
ENSPLO	Panthera leo (Lion)
ENSCSA	Chlorocebus sabaeus (Vervet-AGM)
ENSPCO	Propithecus coquereli (Coquerel's sifaka)
ENSGAC	Gasterosteus aculeatus (Stickleback)
ENSNNA	Naja naja (Indian cobra)
ENSSDU	Seriola dumerili (Greater amberjack)
ENSSFA	Salarias fasciatus (Jewelled blenny)
ENSEEU	Erinaceus europaeus (Hedgehog)
ENSNLE	Nomascus leucogenys (Gibbon)
ENSLCA	Lates calcarifer (Barramundi perch)
ENSCAP	Cavia aperea (Brazilian guinea pig)
ENSPVI	Pogona vitticeps (Central bearded dragon)
ENSCSR	Chelydra serpentina (Common snapping turtle)
ENSMMM	Marmota marmota marmota (Alpine marmot)
ENSEGO	Erythrura gouldiae (Gouldian finch)
ENSFAL	Ficedula albicollis (Collared flycatcher)
ENSGAL	Gallus gallus (Chicken (paternal White leghorn layer))
ENSCPB	Chrysemys picta bellii (Painted turtle)
ENSGGO	Gorilla gorilla gorilla (Gorilla)
ENSMOD	Monodelphis domestica (Opossum)
ENSMIC	Microcebus murinus (Mouse Lemur)
ENSSPA	Stegastes partitus (Bicolor damselfish)
ENSOKI	Oncorhynchus kisutch (Coho salmon)
ENSPCE	Pelusios castaneus (West African mud turtle)
ENSMZE	Maylandia zebra (Zebra mbuna)
ENSNFU	Nothobranchius furzeri (Turquoise killifish)
ENSLAC	Latimeria chalumnae (Coelacanth)
ENSPSI	Pelodiscus sinensis (Chinese softshell turtle)
ENSGEV	Gopherus evgoodei (Goodes thornscrub tortoise)
ENSCGR	Cricetulus griseus (Chinese hamster PICR)
ENSODE	Octodon degus (Degu)
ENSSSU	Suricata suricatta (Meerkat)
ENSBJA	Buteo japonicus (Eastern buzzard)
MGP_PWKPhJ_	Mus musculus musculus (Mouse PWK/PhJ)
ENSLCO	Lepidothrix coronata (Blue-crowned manakin)
ENSSAR	Sorex araneus (Shrew)
ENSMMO	Mola mola (Ocean sunfish)
ENSCHO	Choloepus hoffmanni (Sloth)
ENSSPU	Sphenodon punctatus (Tuatara)
ENSSHB	Strigops habroptila (Kakapo)
ENSACD	Anser cygnoides (Swan goose)
ENSPRE	Poecilia reticulata (Guppy)
ENSMAU	Mesocricetus auratus (Golden Hamster)
ENSNGA	Nannospalax galili (Upper Galilee mountains blind mole rat)
ENSCWA	Catagonus wagneri (Chacoan peccary)
ENSPCT	Physeter catodon (Sperm whale)
ENSCHI	Capra hircus (Goat)
ENSDLE	Delphinapterus leucas (Beluga whale)
ENSMAL	Monopterus albus (Swamp eel)
ENSRNO	Rattus norvegicus (Rat - SHR/Utx RGD_8142385)
ENSCLM	Cyclopterus lumpus (Lumpfish)
MGP_PahariEiJ_	Mus pahari (Shrew mouse)
ENSOGA	Otolemur garnettii (Bushbaby)
ENSFHE	Fundulus heteroclitus (Mummichog)
ENSCGR	Cricetulus griseus (Chinese hamster CHOK1GS)
