SPECIES,ENABLED,SPECIE_CLASS
Pan troglodytes (Chimpanzee),FALSE,Primate
Macaca nemestrina (Pig-tailed macaque),FALSE,Primate
Cercocebus atys (Sooty mangabey),FALSE,Primate
Pongo abelii (Sumatran orangutan),FALSE,Primate
Macaca mulatta (Macaque),FALSE,Primate
Aotus nancymaae (Ma's night monkey),FALSE,Primate
Cebus imitator (Panamanian white-faced capuchin),FALSE,Primate
Rhinopithecus bieti (Black snub-nosed monkey),FALSE,Primate
Chlorocebus sabaeus (Vervet-AGM),FALSE,Primate
Gorilla gorilla gorilla (Gorilla),FALSE,Primate
Rhinopithecus roxellana (Golden snub-nosed monkey),FALSE,Primate
Papio anubis (Olive baboon),FALSE,Primate
Callithrix jacchus (White-tufted-ear marmoset),FALSE,Primate
Pan paniscus (Bonobo),FALSE,Primate
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),FALSE,Primate
Otolemur garnettii (Bushbaby),FALSE,Primate
Nomascus leucogenys (Gibbon),FALSE,Primate
Macaca fascicularis (Crab-eating macaque),FALSE,Primate
Mandrillus leucophaeus (Drill),FALSE,Primate
Propithecus coquereli (Coquerel's sifaka),FALSE,Primate
Carlito syrichta (Tarsier),FALSE,Primate
Microcebus murinus (Mouse Lemur),FALSE,Primate
Prolemur simus (Greater bamboo lemur),FALSE,Primate
