Species,Similarity
Canis lupus familiaris (Dog - Boxer),1811.200013362651
Hucho hucho (Huchen),1682.3481976604864
Carassius auratus (Goldfish),1679.798613406474
Oncorhynchus mykiss (Rainbow trout),1637.3642730619829
Salmo trutta (Brown trout),1635.5461400407198
Sinocyclocheilus grahami (Golden-line barbel),1581.1440910825431
Oncorhynchus kisutch (Coho salmon),1556.197521899728
Oncorhynchus tshawytscha (Chinook salmon),1489.7667306691005
Cyprinus carpio carpio (Common carp),1395.319839630911
Scleropages formosus two (Asian bonytongue),1170.469084615563
Salmo salar (Atlantic salmon),1169.0021579581853
Pan troglodytes (Chimpanzee),997.1051327837381
Pan paniscus (Bonobo),992.1037062872135
Pongo abelii (Sumatran orangutan),987.4650327597981
Cercocebus atys (Sooty mangabey),979.7946464403797
Chlorocebus sabaeus (Vervet-AGM),979.6178939606145
Macaca nemestrina (Pig-tailed macaque),978.6332780685811
Cebus imitator (Panamanian white-faced capuchin),966.4996926658542
Aotus nancymaae (Ma's night monkey),957.2785812057343
Propithecus coquereli (Coquerel's sifaka),949.5902653421294
Prolemur simus (Greater bamboo lemur),948.5366325436677
Microcebus murinus (Mouse Lemur),946.622496464083
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),946.1975050417167
Physeter catodon (Sperm whale),942.212702898037
Catagonus wagneri (Chacoan peccary),941.5708059093982
Phocoena sinus (Vaquita),941.4497334355149
Panthera leo (Lion),939.7505145571752
Ovis aries (Sheep),939.6797906725797
Bos indicus x Bos taurus (Hybrid - Bos Taurus),939.3100416434254
Bos taurus (Cow),939.1545870762061
Capra hircus (Goat (black bengal)),938.4783251436453
Delphinapterus leucas (Beluga whale),938.0297206389208
Rhinolophus ferrumequinum (Greater horseshoe bat),937.5598371163843
Moschus moschiferus (Siberian musk deer),937.434354970726
Callithrix jacchus (White-tufted-ear marmoset),937.101574956321
Urocitellus parryii (Arctic ground squirrel),936.606656049383
Sus scrofa (Pig - Hampshire),933.1299185262843
Sciurus vulgaris (Eurasian red squirrel),931.5563024027468
Rhinopithecus bieti (Black snub-nosed monkey),931.4852733407588
Cervus hanglu yarkandensis (Yarkand deer),925.1518170005027
Nannospalax galili (Upper Galilee mountains blind mole rat),923.4652815498221
Panthera pardus (Leopard),922.2551611942034
