Species,Similarity
Cavia porcellus (Guinea Pig),2599.674680519633
Microcebus murinus (Mouse Lemur),2514.6238854838666
Macaca mulatta (Macaque),2085.7212885154063
Mus musculus (Mouse),1989.9159663865546
Rattus norvegicus (Rat),1289.0756302521008
Camelus dromedarius (Arabian camel),1173.3314813528718
Macaca fascicularis (Crab-eating macaque),1157.9831932773109
Canis lupus familiaris (Dog - Boxer),1142.156862745098
Sciurus vulgaris (Eurasian red squirrel),1100.0
Felis catus (Cat),1087.3949579831933
Peromyscus maniculatus bairdii (Northern American deer mouse),1040.3361344537814
Monodelphis domestica (Opossum),989.9579831932773
Bos indicus x Bos taurus (Hybrid - Bos Taurus),945.744392245087
Cebus imitator (Panamanian white-faced capuchin),932.8711484593839
Sus scrofa (Pig - Hampshire),900.0
Equus caballus (Horse),700.0
Physeter catodon (Sperm whale),688.2352941176471
Bos taurus (Cow),660.7754912988818
Microtus ochrogaster (Prairie vole),637.4343487394957
Chlorocebus sabaeus (Vervet-AGM),618.4873949579833
Loxodonta africana (Elephant),580.672268907563
Bos grunniens (Domestic yak),578.9915966386554
Cricetulus griseus (Chinese hamster CriGri),504.3547538023474
Homo sapiens (Human),491.5966386554622
Balaenoptera musculus (Blue whale),484.8739495798319
Oryctolagus cuniculus (Rabbit),475.7072829131653
Cervus hanglu yarkandensis (Yarkand deer),472.5000000000001
Panthera pardus (Leopard),468.4561427876936
Gorilla gorilla gorilla (Gorilla),458.82352941176464
Capra hircus (Goat (black bengal)),450.4201680672269
Pan troglodytes (Chimpanzee),441.17647058823525
Ornithorhynchus anatinus (Platypus),398.31932773109247
Phascolarctos cinereus (Koala),394.1526610644258
Mus caroli (Ryukyu mouse),281.51260504201684
Marmota marmota marmota (Alpine marmot),273.109243697479
Nomascus leucogenys (Gibbon),270.27226890756305
Phocoena sinus (Vaquita),200.0
Rhinolophus ferrumequinum (Greater horseshoe bat),196.6386554621849
Ovis aries (Sheep),191.59663865546216
Pan paniscus (Bonobo),167.2268907563025
Sarcophilus harrisii (Tasmanian devil),100.0
Monodon monoceros (Narwhal),98.33333333333331
Delphinapterus leucas (Beluga whale),98.33333333333331
Catagonus wagneri (Chacoan peccary),98.31932773109244
Panthera leo (Lion),97.47899159663864
Mus spretus (Algerian mouse),94.16666666666669
