Species,Similarity
Carassius auratus (Goldfish),485.80488688268395
Salmo trutta (Brown trout),478.09839407297034
Hucho hucho (Huchen),477.63353204529676
Oncorhynchus kisutch (Coho salmon),475.9760649642842
Cyprinus carpio carpio (Common carp),474.33565179069
Oncorhynchus tshawytscha (Chinook salmon),469.2457873435594
Oncorhynchus mykiss (Rainbow trout),465.1813446176191
Salmo salar (Atlantic salmon),454.7080869384791
Sinocyclocheilus grahami (Golden-line barbel),402.664583423439
Canis lupus familiaris (Dog - Boxer),352.5932674047798
Cynoglossus semilaevis (Tongue sole),315.0561622793174
Paramormyrops kingsleyae (Paramormyrops kingsleyae),313.5320767195767
Aotus nancymaae (Ma's night monkey),287.41005291005285
Scleropages formosus two (Asian bonytongue),253.4903906721268
Kryptolebias marmoratus (Mangrove rivulus),250.450845932423
Gadus morhua (Atlantic cod),250.2030932030932
Betta splendens (Siamese fighting fish),250.12778140175402
Gasterosteus aculeatus (Stickleback),249.1692244730919
Sparus aurata (Gilthead seabream),248.82730901403895
Seriola lalandi dorsalis (Yellowtail amberjack),248.53398453398452
Pygocentrus nattereri (Red-bellied piranha),248.42592592592592
Anabas testudineus (Climbing perch),248.40823822642005
Mastacembelus armatus (Zig-zag eel),247.92353410161627
Sander lucioperca (Pike-perch),247.78278629876803
Oryzias melastigma (Indian medaka),246.94973544973544
Oryzias latipes (Japanese medaka HdrR),245.82499818801188
Poecilia latipinna (Sailfin molly),245.7883597883598
Oryzias javanicus (Javanese ricefish),245.60008553781904
Cottoperca gobio (Channel bull blenny),245.45244067142582
Myripristis murdjan (Pinecone soldierfish),245.38778349414932
Seriola dumerili (Greater amberjack),245.00529100529099
Oreochromis niloticus (Nile tilapia),244.62402893909743
Amphiprion ocellaris (Clown anemonefish),244.41798941798942
Stegastes partitus (Bicolor damselfish),244.15384615384613
Cyclopterus lumpus (Lumpfish),243.89550124398608
Oryzias sinensis (Chinese medaka),243.05856053127314
Amphiprion percula (Orange clownfish),242.40265906932575
Pundamilia nyererei (Makobe Island cichlid),242.01322751322752
Scophthalmus maximus (Turbot),242.00984891948747
Neolamprologus brichardi (Lyretail cichlid),241.85185185185185
Cyprinodon variegatus (Sheepshead minnow),241.82698412698412
Danio rerio (Zebrafish),241.81746031746033
Maylandia zebra (Zebra mbuna),241.0873015873016
Poecilia formosa (Amazon molly),240.84923566225504
Fundulus heteroclitus (Mummichog),238.98976241774025
Astyanax mexicanus (Mexican tetra),238.3968253968254
Haplochromis burtoni (Burton's mouthbrooder),238.16501864862522
Astatotilapia calliptera (Eastern happy),237.86622501673287
Electrophorus electricus (Electric eel),237.73636991028297
Acanthochromis polyacanthus (Spiny chromis),237.3739402052655
Amphilophus citrinellus (Midas cichlid),236.45767195767195
Esox lucius (Northern pike),235.83396941098854
Nothobranchius furzeri (Turquoise killifish),235.59218559218561
Xiphophorus maculatus (Platyfish),234.63458291117865
Hippocampus comes (Tiger tail seahorse),232.8699232431627
Labrus bergylta (Ballan wrasse),230.46622429810202
Dicentrarchus labrax (European seabass),230.0492528128877
Larimichthys crocea (Large yellow croaker),228.95975229448447
Lates calcarifer (Barramundi perch),226.7369888580479
Takifugu rubripes (Fugu),224.4941347467464
Pan troglodytes (Chimpanzee),199.6216931216931
Pongo abelii (Sumatran orangutan),198.78306878306876
Gorilla gorilla gorilla (Gorilla),198.67845117845116
Macaca nemestrina (Pig-tailed macaque),197.65873015873015
Rhinopithecus roxellana (Golden snub-nosed monkey),197.3862433862434
Chlorocebus sabaeus (Vervet-AGM),197.38359788359787
Cercocebus atys (Sooty mangabey),197.10052910052912
Cebus imitator (Panamanian white-faced capuchin),195.69312169312167
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),194.56878306878303
Propithecus coquereli (Coquerel's sifaka),191.37037037037038
Prolemur simus (Greater bamboo lemur),191.1746031746032
Balaenoptera musculus (Blue whale),191.0767195767196
Papio anubis (Olive baboon),190.92663417072868
Microcebus murinus (Mouse Lemur),190.8095238095238
Rhinopithecus bieti (Black snub-nosed monkey),190.6641669791276
Physeter catodon (Sperm whale),190.42328042328046
Equus asinus (Donkey),190.41798941798942
Phocoena sinus (Vaquita),190.23809523809524
Ailuropoda melanoleuca (Giant panda),190.12962962962965
Monodon monoceros (Narwhal),190.04497354497357
Delphinapterus leucas (Beluga whale),190.04497354497357
Camelus dromedarius (Arabian camel),189.96031746031744
Ursus americanus (American black bear),189.94973544973544
Felis catus (Cat),189.94708994708998
Panthera pardus (Leopard),189.76455026455028
Panthera leo (Lion),189.76190476190476
Mustela putorius furo (Ferret),189.67724867724866
Bos taurus (Cow),189.55820105820106
Bos indicus x Bos taurus (Hybrid - Bos Taurus),189.46296296296296
Bos mutus (Wild yak),189.37037037037038
Cervus hanglu yarkandensis (Yarkand deer),189.28571428571428
Neovison vison (American mink),189.20370370370372
Sus scrofa (Pig - Hampshire),189.12433862433863
Capra hircus (Goat (black bengal)),188.82010582010582
Catagonus wagneri (Chacoan peccary),188.74338624338623
Moschus moschiferus (Siberian musk deer),188.72751322751324
Ovis aries (Sheep),188.53703703703704
Rhinolophus ferrumequinum (Greater horseshoe bat),188.18253968253967
Procavia capensis (Hyrax),187.98941798941797
Nannospalax galili (Upper Galilee mountains blind mole rat),187.98148148148147
Ictidomys tridecemlineatus (Squirrel),187.9021164021164
Peromyscus maniculatus bairdii (Northern American deer mouse),187.87566137566137
Marmota marmota marmota (Alpine marmot),187.8068783068783
Urocitellus parryii (Arctic ground squirrel),187.71693121693124
Cricetulus griseus (Chinese hamster CriGri),187.6031746031746
Mesocricetus auratus (Golden Hamster),187.5978835978836
Sciurus vulgaris (Eurasian red squirrel),187.52380952380952
Microtus ochrogaster (Prairie vole),187.489417989418
Loxodonta africana (Elephant),187.07936507936512
Pan paniscus (Bonobo),186.93915343915342
Otolemur garnettii (Bushbaby),186.71014937589524
Mus spicilegus (Steppe mouse),186.66666666666663
Mus musculus (Mouse),186.47619047619045
Mandrillus leucophaeus (Drill),186.45238095238096
Dasypus novemcinctus (Armadillo),186.25281358706775
Mus caroli (Ryukyu mouse),186.01587301587304
Heterocephalus glaber (Naked mole-rat),185.962962962963
Mus pahari (Shrew mouse),185.81216931216932
Mus spretus (Algerian mouse),185.62962962962962
Chinchilla lanigera (Long-tailed chinchilla),185.39947089947088
Equus caballus (Horse),185.39108409321176
Jaculus jaculus (Lesser Egyptian jerboa),185.30952380952385
Cavia porcellus (Guinea Pig),185.2142857142857
Rattus norvegicus (Rat),184.7170203911777
Ochotona princeps (Pika),183.7142857142857
Octodon degus (Degu),183.70426065162908
Callithrix jacchus (White-tufted-ear marmoset),183.66275104206136
Echinops telfairi (Lesser hedgehog tenrec),183.00264550264552
Tursiops truncatus (Dolphin),180.60846560846562
Bos grunniens (Domestic yak),179.4527673741157
Monodelphis domestica (Opossum),179.38095238095235
Sarcophilus harrisii (Tasmanian devil),177.5
Ornithorhynchus anatinus (Platypus),177.28306878306879
Macaca mulatta (Macaque),177.25040257648953
Terrapene carolina triunguis (Three-toed box turtle),176.5978835978836
Vombatus ursinus (Common wombat),176.48941798941797
Gopherus evgoodei (Goodes thornscrub tortoise),176.4100529100529
Phascolarctos cinereus (Koala),176.02116402116403
Panthera tigris altaica (Tiger),175.6904761904762
Pelodiscus sinensis (Chinese softshell turtle),175.67195767195767
Strigops habroptila (Kakapo),175.65608465608466
Gallus gallus (Chicken),175.46031746031747
Dipodomys ordii (Kangaroo rat),175.3730158730159
Podarcis muralis (Common wall lizard),174.6068476977568
Parus major (Great Tit),174.4288345172323
Oryctolagus cuniculus (Rabbit),172.01360544217687
Anser brachyrhynchus (Pink-footed goose),171.55291005291008
Aquila chrysaetos chrysaetos (Golden eagle),171.38888888888889
Naja naja (Indian cobra),170.91798941798942
Pseudonaja textilis (Eastern brown snake),170.87608667445178
Laticauda laticaudata (Blue-ringed sea krait),170.77643700531985
Notechis scutatus (Mainland tiger snake),170.64102564102564
Taeniopygia guttata (Zebra finch),168.60317460317458
Latimeria chalumnae (Coelacanth),167.05618535502845
Denticeps clupeoides (Denticle herring),166.47499144075448
Tetraodon nigroviridis (Tetraodon),164.54675182955214
Erpetoichthys calabaricus (Reedfish),164.51708217913205
Coturnix japonica (Japanese quail),161.95110920689328
Callorhinchus milii (Elephant shark),161.45963379109446
Scleropages formosus (Asian bonytongue),159.136914434282
Leptobrachium leishanense (Leishan spiny toad),157.91601460615544
Macaca fascicularis (Crab-eating macaque),157.43645529938823
Poecilia reticulata (Guppy),156.92414339473163
Xenopus tropicalis (Tropical clawed frog),155.56149180539424
Salvator merianae (Argentine black and white tegu),155.5072463768116
Ictalurus punctatus (Channel catfish),154.41540540902216
Nomascus leucogenys (Gibbon),152.75925925925924
Tupaia belangeri (Tree Shrew),151.95502645502646
Lepisosteus oculatus (Spotted gar),150.96379787945364
Choloepus hoffmanni (Sloth),150.94179894179894
Notamacropus eugenii (Wallaby),149.3015873015873
Pteropus vampyrus (Megabat),148.99470899470901
Bison bison bison (American bison),141.84656084656086
Chelonoidis abingdonii (Abingdon island giant tortoise),137.8941798941799
Chrysemys picta bellii (Painted turtle),137.4232804232804
Ciona savignyi,135.0
Eptatretus burgeri (Hagfish),132.0687830687831
Ciona intestinalis,131.2655086848635
Ficedula albicollis (Collared flycatcher),117.31216931216932
Anas platyrhynchos (Mallard),116.08465608465607
