Variant Name,Species,Similarity,Score,Start,End
DBX1,Tetraodon nigroviridis (Tetraodon),72.28682170542635,746.0,0,1225
DBX1,Myotis lucifugus (Microbat),84.13597733711048,891.0,0,1200
DBX1,Lepisosteus oculatus (Spotted gar),71.80232558139535,741.0,0,1278
DBX1,Loxodonta africana (Elephant),91.27906976744185,942.0,0,1122
DBX1,Chlorocebus sabaeus (Vervet-AGM),96.42512077294685,998.0,0,1069
DBX1,Latimeria chalumnae (Coelacanth),72.09302325581395,744.0,0,1269
DBX1,Dasypus novemcinctus (Armadillo),89.95169082125604,931.0,0,1136
DBX1,Otolemur garnettii (Bushbaby),91.8111753371869,953.0,0,1117
DBX1,Tursiops truncatus (Dolphin),83.59649122807018,953.0,0,1219
DBX1,Mustela putorius furo (Ferret),89.92248062015504,928.0,0,1133
DBX1,Pelodiscus sinensis (Chinese softshell turtle),79.2741165234002,830.0,0,1249
DBX1,Ochotona princeps (Pika),82.48106060606061,871.0,0,1217
DBX1,Echinops telfairi (Lesser hedgehog tenrec),73.97504456327985,830.0,0,1324
DBX1,Procavia capensis (Hyrax),80.45977011494253,910.0,0,1253
DBX1,Cavia porcellus (Guinea Pig),87.1124031007752,899.0,0,1144
DBX1,Ictidomys tridecemlineatus (Squirrel),89.56521739130436,927.0,0,1140
DBX1,Microtus ochrogaster (Prairie vole),83.62403100775194,863.0,0,1177
DBX1,Chinchilla lanigera (Long-tailed chinchilla),88.56589147286822,914.0,0,1150
DBX1,Cricetulus griseus (Chinese hamster CriGri),84.30232558139535,870.0,0,1170
DBX1,Cercocebus atys (Sooty mangabey),96.32850241545894,997.0,0,1070
DBX1,Macaca nemestrina (Pig-tailed macaque),96.60852713178295,997.0,0,1067
DBX1,Nomascus leucogenys (Gibbon),97.67441860465115,1008.0,0,1050
DBX1,Mus spretus (Algerian mouse),83.81782945736434,865.0,0,1172
DBX1,Mus pahari (Shrew mouse),83.72093023255815,864.0,0,1173
DBX1,Capra hircus (Goat (black bengal)),90.65510597302506,941.0,0,1129
DBX1,Mus caroli (Ryukyu mouse),83.72093023255815,864.0,0,1173
DBX1,Panthera tigris altaica (Tiger),85.27131782945736,880.0,0,1184
DBX1,Amphiprion percula (Orange clownfish),73.15891472868216,755.0,0,1246
DBX1,Maylandia zebra (Zebra mbuna),71.31782945736434,736.0,0,1253
DBX1,Astatotilapia calliptera (Eastern happy),71.31782945736434,736.0,0,1253
DBX1,Oryzias latipes (Japanese medaka HdrR),71.31782945736434,736.0,0,1250
DBX1,Amphiprion ocellaris (Clown anemonefish),72.86821705426357,752.0,0,1249
DBX1,Amphilophus citrinellus (Midas cichlid),71.89922480620154,742.0,0,1250
DBX1,Oryzias melastigma (Indian medaka),70.44573643410853,727.0,0,1247
DBX1,Oryzias melastigma (Indian medaka),72.09302325581395,744.0,0,1215
DBX1,Fundulus heteroclitus (Mummichog),70.25193798449612,725.0,0,1243
DBX1,Stegastes partitus (Bicolor damselfish),72.86821705426357,752.0,0,1243
DBX1,Stegastes partitus (Bicolor damselfish),71.80232558139535,741.0,0,1254
DBX1,Amphiprion ocellaris (Clown anemonefish),72.67441860465115,750.0,0,1260
DBX1,Neolamprologus brichardi (Lyretail cichlid),71.41472868217055,737.0,0,1258
DBX1,Pundamilia nyererei (Makobe Island cichlid),71.22093023255815,735.0,0,1254
DBX1,Sphenodon punctatus (Tuatara),79.53890489913545,828.0,0,1245
DBX1,Vulpes vulpes (Red fox),80.52325581395348,831.0,0,1161
DBX1,Notechis scutatus (Mainland tiger snake),75.68075117370891,806.0,0,1291
DBX1,Neovison vison (American mink),89.14728682170544,920.0,0,1135
DBX1,Bos mutus (Wild yak),89.82558139534885,927.0,0,1137
DBX1,Anser brachyrhynchus (Pink-footed goose),80.42635658914729,830.0,0,1231
DBX1,Peromyscus maniculatus bairdii (Northern American deer mouse),85.36821705426357,881.0,0,1159
DBX1,Chelonoidis abingdonii (Abingdon island giant tortoise),77.80952380952381,817.0,0,1265
DBX1,Phascolarctos cinereus (Koala),80.53949903660886,836.0,0,1234
DBX1,Mus spicilegus (Steppe mouse),84.01162790697676,867.0,0,1173
DBX1,Salvator merianae (Argentine black and white tegu),75.56179775280899,807.0,0,1293
DBX1,Parus major (Great Tit),79.36046511627907,819.0,0,1242
DBX1,Coturnix japonica (Japanese quail),80.23255813953489,828.0,0,1230
DBX1,Crocodylus porosus (Australian saltwater crocodile),79.65616045845272,834.0,0,1245
DBX1,Bos taurus (Cow),90.65510597302506,941.0,0,1129
DBX1,Electrophorus electricus (Electric eel),70.83333333333334,731.0,0,1261
DBX1,Bos indicus x Bos taurus (Hybrid - Bos Taurus),90.65510597302506,941.0,0,1129
DBX1,Aquila chrysaetos chrysaetos (Golden eagle),79.36046511627907,819.0,0,1230
DBX1,Taeniopygia guttata (Zebra finch),80.32945736434108,829.0,0,1232
DBX1,Strigops habroptila (Kakapo),80.23255813953489,828.0,0,1233
DBX1,Saimiri boliviensis boliviensis (Bolivian squirrel monkey),95.1969260326609,991.0,0,1082
DBX1,Nannospalax galili (Upper Galilee mountains blind mole rat),85.85271317829456,886.0,0,1148
DBX1,Hippocampus comes (Tiger tail seahorse),71.89922480620154,742.0,0,1217
DBX1,Hippocampus comes (Tiger tail seahorse),70.15503875968993,724.0,0,1265
DBX1,Prolemur simus (Greater bamboo lemur),93.71980676328504,970.0,0,1097
DBX1,Labrus bergylta (Ballan wrasse),71.31782945736434,736.0,0,1256
DBX1,Propithecus coquereli (Coquerel's sifaka),93.81642512077295,971.0,0,1096
DBX1,Seriola lalandi dorsalis (Yellowtail amberjack),71.12403100775194,734.0,0,1258
DBX1,Haplochromis burtoni (Burton's mouthbrooder),71.31782945736434,736.0,0,1253
DBX1,Serinus canaria (Common canary),78.39147286821705,809.0,0,1243
DBX1,Aotus nancymaae (Ma's night monkey),95.47206165703275,991.0,0,1079
DBX1,Seriola dumerili (Greater amberjack),71.51162790697676,738.0,0,1254
DBX1,Gorilla gorilla gorilla (Gorilla),98.84057971014492,1023.0,0,1044
DBX1,Chrysemys picta bellii (Painted turtle),77.68281101614434,818.0,0,1267
DBX1,Marmota marmota marmota (Alpine marmot),89.7584541062802,929.0,0,1138
DBX1,Jaculus jaculus (Lesser Egyptian jerboa),87.20930232558139,900.0,0,1158
DBX1,Rhinopithecus bieti (Black snub-nosed monkey),96.03864734299516,994.0,0,1073
DBX1,Ursus maritimus (Polar bear),71.99612403100775,743.0,0,1312
DBX1,Seriola dumerili (Greater amberjack),70.83333333333334,731.0,0,1264
DBX1,Seriola lalandi dorsalis (Yellowtail amberjack),70.73643410852713,730.0,0,1292
DBX1,Rhinopithecus roxellana (Golden snub-nosed monkey),96.03864734299516,994.0,0,1073
DBX1,Pan troglodytes (Chimpanzee),98.65125240847784,1024.0,0,1046
DBX1,Bison bison bison (American bison),82.46124031007753,851.0,0,1129
DBX1,Microcebus murinus (Mouse Lemur),93.33333333333333,966.0,0,1101
DBX1,Hucho hucho (Huchen),73.83720930232558,762.0,0,1281
DBX1,Mesocricetus auratus (Golden Hamster),84.59302325581395,873.0,0,1167
DBX1,Hucho hucho (Huchen),71.80232558139535,741.0,0,1272
DBX1,Panthera pardus (Leopard),90.01937984496125,929.0,0,1135
DBX1,Ursus americanus (American black bear),90.21317829457365,931.0,0,1127
DBX1,Hucho hucho (Huchen),73.83720930232558,762.0,0,1284
DBX1,Pan paniscus (Bonobo),95.15503875968993,982.0,0,1070
DBX1,Urocitellus parryii (Arctic ground squirrel),89.7584541062802,929.0,0,1138
DBX1,Cynoglossus semilaevis (Tongue sole),71.22093023255815,735.0,0,1263
DBX1,Dipodomys ordii (Kangaroo rat),85.65891472868216,884.0,0,1156
DBX1,Hucho hucho (Huchen),72.67441860465115,750.0,0,1275
DBX1,Octodon degus (Degu),84.88372093023256,876.0,0,1188
DBX1,Kryptolebias marmoratus (Mangrove rivulus),71.51162790697676,738.0,0,1257
DBX1,Canis lupus familiaris (Dog - Boxer),88.75968992248062,916.0,0,1148
DBX1,Acanthochromis polyacanthus (Spiny chromis),71.80232558139535,741.0,0,1254
DBX1,Acanthochromis polyacanthus (Spiny chromis),72.18992248062015,745.0,0,1253
DBX1,Mandrillus leucophaeus (Drill),96.23188405797102,996.0,0,1071
DBX1,Lates calcarifer (Barramundi perch),70.34883720930233,726.0,0,1287
DBX1,Carlito syrichta (Tarsier),81.0077519379845,836.0,0,1108
DBX1,Cyclopterus lumpus (Lumpfish),72.48062015503875,748.0,0,1241
DBX1,Cervus hanglu yarkandensis (Yarkand deer),90.5587668593449,940.0,0,1130
DBX1,Sander lucioperca (Pike-perch),71.51162790697676,738.0,0,1248
DBX1,Sander lucioperca (Pike-perch),70.44573643410853,727.0,0,1268
DBX1,Nothobranchius furzeri (Turquoise killifish),70.83333333333334,731.0,0,1234
DBX1,Balaenoptera musculus (Blue whale),92.29287090558766,958.0,0,1112
DBX1,Monodon monoceros (Narwhal),91.71483622350675,952.0,0,1118
DBX1,Leptobrachium leishanense (Leishan spiny toad),76.06589147286822,785.0,0,1240
DBX1,Naja naja (Indian cobra),75.5868544600939,805.0,0,1292
DBX1,Oncorhynchus kisutch (Coho salmon),73.74031007751938,761.0,0,1282
DBX1,Oncorhynchus kisutch (Coho salmon),71.31782945736434,736.0,0,1280
DBX1,Phocoena sinus (Vaquita),90.94412331406551,944.0,0,1126
DBX1,Ovis aries (Sheep),90.36608863198458,938.0,0,1132
DBX1,Oncorhynchus kisutch (Coho salmon),74.03100775193798,764.0,0,1285
