Species,Similarity
Pan paniscus (Bonobo),99.43664724218242
Pan troglodytes (Chimpanzee),99.40681373318512
Pongo abelii (Sumatran orangutan),98.60672841068421
Nomascus leucogenys (Gibbon),98.39944225353918
Gorilla gorilla gorilla (Gorilla),97.726432996208
Cercocebus atys (Sooty mangabey),97.46291459688294
Rhinopithecus bieti (Black snub-nosed monkey),97.38587715054882
Mandrillus leucophaeus (Drill),97.37494878885646
Chlorocebus sabaeus (Vervet-AGM),97.22398260528158
Macaca nemestrina (Pig-tailed macaque),97.17745019310925
Rhinopithecus roxellana (Golden snub-nosed monkey),97.06626793599986
Cebus imitator (Panamanian white-faced capuchin),96.34859212031205
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),96.120275772008
Aotus nancymaae (Ma's night monkey),96.04089849951349
Macaca mulatta (Macaque),96.03898662441475
Papio anubis (Olive baboon),96.00964500836236
Carlito syrichta (Tarsier),92.1405856391232
Microcebus murinus (Mouse Lemur),90.91583666774522
Prolemur simus (Greater bamboo lemur),90.61245591047864
Otolemur garnettii (Bushbaby),90.32806982135668
Canis lupus familiaris (Dog - Boxer),90.22907384646899
Propithecus coquereli (Coquerel's sifaka),90.21338100287576
Callithrix jacchus (White-tufted-ear marmoset),90.21323680880494
Ursus americanus (American black bear),90.19885762752017
Ailuropoda melanoleuca (Giant panda),90.00611796407692
Balaenoptera musculus (Blue whale),89.90390211236326
Panthera tigris altaica (Tiger),89.58806019695069
Catagonus wagneri (Chacoan peccary),89.5874008159996
Panthera leo (Lion),89.47148380065671
Equus caballus (Horse),89.23046209906516
Delphinapterus leucas (Beluga whale),89.1965540586016
Myotis lucifugus (Microbat),89.17470512579209
Chinchilla lanigera (Long-tailed chinchilla),89.11289437112373
Physeter catodon (Sperm whale),88.91013909177059
Cervus hanglu yarkandensis (Yarkand deer),88.8263430818829
Bison bison bison (American bison),88.75466257033233
Phocoena sinus (Vaquita),88.61139363035437
Bos mutus (Wild yak),88.33740251202197
Octodon degus (Degu),88.3327808995294
Camelus dromedarius (Arabian camel),88.32153689305412
Cavia porcellus (Guinea Pig),88.26071781411432
Bos taurus (Cow),88.14500803784293
Bos indicus x Bos taurus (Hybrid - Bos Taurus),88.14500803784293
Capra hircus (Goat (black bengal)),88.10704266802105
Bos grunniens (Domestic yak),87.9689870771659
Moschus moschiferus (Siberian musk deer),87.74822990744377
Ovis aries (Sheep),87.63863331502864
Monodon monoceros (Narwhal),87.49515395441114
Neovison vison (American mink),87.42420348360997
Felis catus (Cat),87.40549886722091
Marmota marmota marmota (Alpine marmot),87.40257005248456
Nannospalax galili (Upper Galilee mountains blind mole rat),87.31840573799676
Vulpes vulpes (Red fox),87.24267934073899
Ictidomys tridecemlineatus (Squirrel),87.18165315930338
Tursiops truncatus (Dolphin),87.14941956138469
