Variant Name,Species,Similarity,Score,Start,End
LMX1A,Lepisosteus oculatus (Spotted gar),73.02001740644039,839.0,0,1441
LMX1A,Tetraodon nigroviridis (Tetraodon),67.88511749347258,780.0,0,1386
LMX1A,Ciona savignyi,48.67482161060143,955.0,0,2156
LMX1A,Myotis lucifugus (Microbat),70.0609225413403,805.0,0,1238
LMX1A,Loxodonta africana (Elephant),93.38555265448217,1073.0,0,1222
LMX1A,Latimeria chalumnae (Coelacanth),63.01131418624891,724.0,0,1310
LMX1A,Poecilia formosa (Amazon molly),71.91666666666666,863.0,0,1486
LMX1A,Ciona intestinalis,50.69222577209798,952.0,0,2075
LMX1A,Pteropus vampyrus (Megabat),61.96692776327241,712.0,0,1322
LMX1A,Dasypus novemcinctus (Armadillo),74.49956483899042,856.0,0,1205
LMX1A,Chlorocebus sabaeus (Vervet-AGM),75.71801566579634,870.0,0,1167
LMX1A,Otolemur garnettii (Bushbaby),72.75892080069626,836.0,0,1201
LMX1A,Gasterosteus aculeatus (Stickleback),71.76274018379281,859.0,0,1487
LMX1A,Mustela putorius furo (Ferret),92.51523063533507,1063.0,0,1235
LMX1A,Tupaia belangeri (Tree Shrew),62.31505657093125,716.0,0,1582
LMX1A,Ochotona princeps (Pika),92.08006962576152,1058.0,0,1234
LMX1A,Pelodiscus sinensis (Chinese softshell turtle),65.8833768494343,757.0,0,1274
LMX1A,Tursiops truncatus (Dolphin),93.9077458659704,1079.0,0,1219
LMX1A,Choloepus hoffmanni (Sloth),53.6118363794604,616.0,0,1181
LMX1A,Echinops telfairi (Lesser hedgehog tenrec),79.2863359442994,911.0,0,1384
LMX1A,Vicugna pacos (Alpaca),71.19234116623151,818.0,0,1402
LMX1A,Erinaceus europaeus (Hedgehog),70.22569444444444,809.0,0,1492
LMX1A,Procavia capensis (Hyrax),68.84247171453438,791.0,0,1423
LMX1A,Notamacropus eugenii (Wallaby),82.68059181897301,950.0,0,1348
LMX1A,Microtus ochrogaster (Prairie vole),26.283724978241953,302.0,0,1150
LMX1A,Cavia porcellus (Guinea Pig),93.8207136640557,1078.0,0,1220
LMX1A,Chinchilla lanigera (Long-tailed chinchilla),93.29852045256744,1072.0,0,1226
LMX1A,Ictidomys tridecemlineatus (Squirrel),91.55787641427328,1052.0,0,1246
LMX1A,Cricetulus griseus (Chinese hamster CriGri),91.38381201044386,1050.0,0,1248
LMX1A,Cercocebus atys (Sooty mangabey),98.17232375979113,1128.0,0,1170
