Species,Similarity
Canis lupus familiaris (Dog - Boxer),377.65200415630216
Pan troglodytes (Chimpanzee),199.6258278493235
Pongo abelii (Sumatran orangutan),197.94205317127955
Cercocebus atys (Sooty mangabey),196.10661544758966
Macaca mulatta (Macaque),196.09874366321358
Papio anubis (Olive baboon),196.0071685716385
Macaca nemestrina (Pig-tailed macaque),195.6573817464418
Macaca fascicularis (Crab-eating macaque),195.06386641057128
Aotus nancymaae (Ma's night monkey),193.69417592913297
Cebus imitator (Panamanian white-faced capuchin),193.59866494536982
Callithrix jacchus (White-tufted-ear marmoset),193.03347082716712
Propithecus coquereli (Coquerel's sifaka),190.3148188964808
Equus caballus (Horse),189.84119986985314
Microcebus murinus (Mouse Lemur),189.23166136633188
Felis catus (Cat),189.16475119913517
Panthera pardus (Leopard),188.71081163344775
Panthera leo (Lion),188.61923654187265
Nomascus leucogenys (Gibbon),187.86879309801947
Phocoena sinus (Vaquita),186.70403140317183
Balaenoptera musculus (Blue whale),186.61048977621672
Pteropus vampyrus (Megabat),186.13096550059302
Monodon monoceros (Narwhal),186.10367378040826
Urocitellus parryii (Arctic ground squirrel),185.57757905895443
Sus scrofa (Pig - Hampshire),185.37507633049933
Catagonus wagneri (Chacoan peccary),185.1651717121382
Sciurus vulgaris (Eurasian red squirrel),184.92868163355269
Rhinolophus ferrumequinum (Greater horseshoe bat),184.92474574136466
Bos grunniens (Domestic yak),184.2234432234432
Bos indicus x Bos taurus (Hybrid - Bos Taurus),184.20140515222482
Moschus moschiferus (Siberian musk deer),184.04558404558406
Ailuropoda melanoleuca (Giant panda),183.98417246554783
Neovison vison (American mink),181.6241065524733
Chlorocebus sabaeus (Vervet-AGM),180.25315899834231
Nannospalax galili (Upper Galilee mountains blind mole rat),179.21333680646
Camelus dromedarius (Arabian camel),178.29906483201614
Ursus americanus (American black bear),177.967637811195
Jaculus jaculus (Lesser Egyptian jerboa),177.6455192090021
Delphinapterus leucas (Beluga whale),176.11233383626558
Bos taurus (Cow),175.43348543348543
Otolemur garnettii (Bushbaby),175.08097918134092
Vulpes vulpes (Red fox),173.3755260975891
Gorilla gorilla gorilla (Gorilla),169.32470585765714
Monodelphis domestica (Opossum),168.03873652315582
Sarcophilus harrisii (Tasmanian devil),166.56296754888302
Vombatus ursinus (Common wombat),165.2930402930403
Terrapene carolina triunguis (Three-toed box turtle),163.2282712511939
Rhinopithecus roxellana (Golden snub-nosed monkey),98.75835721107929
Rhinopithecus bieti (Black snub-nosed monkey),98.66284622731614
Dasypus novemcinctus (Armadillo),95.70200573065902
Cervus hanglu yarkandensis (Yarkand deer),95.52380952380952
Capra hircus (Goat (black bengal)),95.04761904761904
Tursiops truncatus (Dolphin),95.03342884431709
Physeter catodon (Sperm whale),94.93791786055397
Ictidomys tridecemlineatus (Squirrel),94.4603629417383
Equus asinus (Donkey),94.13919413919412
Myotis lucifugus (Microbat),93.98280802292264
Prolemur simus (Greater bamboo lemur),93.4981684981685
Pan paniscus (Bonobo),93.46049046321528
Cricetulus griseus (Chinese hamster CriGri),93.21872015281755
Mesocricetus auratus (Golden Hamster),92.83667621776505
Peromyscus maniculatus bairdii (Northern American deer mouse),92.35912129894938
Mus pahari (Shrew mouse),92.35912129894938
Oryctolagus cuniculus (Rabbit),92.26361031518626
Rattus norvegicus (Rat),92.26361031518626
Mus musculus (Mouse),92.26361031518626
Mus spretus (Algerian mouse),92.16809933142312
Microtus ochrogaster (Prairie vole),92.16809933142312
Mus caroli (Ryukyu mouse),92.07258834765996
Mus spicilegus (Steppe mouse),92.07258834765996
Octodon degus (Degu),91.69054441260744
Cavia porcellus (Guinea Pig),91.40401146131804
Ovis aries (Sheep),89.65201465201466
Podarcis muralis (Common wall lizard),85.67335243553008
Salvator merianae (Argentine black and white tegu),85.48233046800382
Chinchilla lanigera (Long-tailed chinchilla),85.38681948424069
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),84.93265993265993
Ornithorhynchus anatinus (Platypus),84.81375358166189
Anser brachyrhynchus (Pink-footed goose),84.62273161413563
Taeniopygia guttata (Zebra finch),84.43170964660936
Parus major (Great Tit),84.04966571155683
Aquila chrysaetos chrysaetos (Golden eagle),83.76313276026744
Strigops habroptila (Kakapo),83.57211079274116
Mandrillus leucophaeus (Drill),82.87545787545788
Mustela putorius furo (Ferret),82.33046800382043
Chrysemys picta bellii (Painted turtle),82.13944603629417
Phascolarctos cinereus (Koala),81.95970695970696
Gopherus evgoodei (Goodes thornscrub tortoise),81.85291308500477
Notamacropus eugenii (Wallaby),81.47086914995224
Sparus aurata (Gilthead seabream),81.42857142857143
Myripristis murdjan (Pinecone soldierfish),80.80229226361033
Dipodomys ordii (Kangaroo rat),80.80229226361033
Erpetoichthys calabaricus (Reedfish),80.70678127984718
Gallus gallus (Chicken),80.70678127984718
Notechis scutatus (Mainland tiger snake),80.61127029608404
Fundulus heteroclitus (Mummichog),80.61127029608404
Naja naja (Indian cobra),80.61127029608404
Pseudonaja textilis (Eastern brown snake),80.42024832855779
Cyprinodon variegatus (Sheepshead minnow),80.32473734479466
Cottoperca gobio (Channel bull blenny),80.28571428571428
Seriola lalandi dorsalis (Yellowtail amberjack),80.20833333333334
Coturnix japonica (Japanese quail),80.13371537726839
Dicentrarchus labrax (European seabass),80.07554296506137
Takifugu rubripes (Fugu),80.01893939393939
