Species,Similarity
Pan troglodytes (Chimpanzee),99.60369487004579
Pan paniscus (Bonobo),99.59498663931637
Nomascus leucogenys (Gibbon),98.46366512502132
Cercocebus atys (Sooty mangabey),98.29496067588772
Mandrillus leucophaeus (Drill),98.14821086174393
Papio anubis (Olive baboon),98.11297477999622
Macaca nemestrina (Pig-tailed macaque),98.08064144182498
Aotus nancymaae (Ma's night monkey),97.47042023663809
Cebus imitator (Panamanian white-faced capuchin),97.20635120294531
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),97.000740199612
Pongo abelii (Sumatran orangutan),96.8590991360175
Callithrix jacchus (White-tufted-ear marmoset),96.82496294970352
Propithecus coquereli (Coquerel's sifaka),94.61250792207102
Prolemur simus (Greater bamboo lemur),94.58017458389978
Microcebus murinus (Mouse Lemur),94.19878633065797
Sciurus vulgaris (Eurasian red squirrel),93.67120792257658
Marmota marmota marmota (Alpine marmot),93.59195319062654
Urocitellus parryii (Arctic ground squirrel),93.41019030791067
Equus caballus (Horse),93.34771804039008
Ictidomys tridecemlineatus (Squirrel),93.33391265726232
Equus asinus (Donkey),93.3095792150659
Otolemur garnettii (Bushbaby),93.27295843426583
Balaenoptera musculus (Blue whale),93.14831568303975
Rhinolophus ferrumequinum (Greater horseshoe bat),93.05131566852603
Canis lupus familiaris (Dog - Boxer),92.90166311080579
Felis catus (Cat),92.89295488007636
Panthera leo (Lion),92.81667722942801
Panthera tigris altaica (Tiger),92.81667722942801
Ursus maritimus (Polar bear),92.80466309629207
Camelus dromedarius (Arabian camel),92.80466309629207
Ailuropoda melanoleuca (Giant panda),92.7752325016973
Catagonus wagneri (Chacoan peccary),92.66121918455482
Loxodonta africana (Elephant),92.48173287340974
Nannospalax galili (Upper Galilee mountains blind mole rat),92.46224256292906
Monodon monoceros (Narwhal),92.31466385423067
Delphinapterus leucas (Beluga whale),92.3117611106542
Jaculus jaculus (Lesser Egyptian jerboa),92.23646071700992
Dipodomys ordii (Kangaroo rat),91.99663992121195
Heterocephalus glaber (Naked mole-rat),91.90845394535688
Macaca fascicularis (Crab-eating macaque),91.79083190711098
Peromyscus maniculatus bairdii (Northern American deer mouse),91.78794813119757
Capra hircus (Goat (black bengal)),91.77160891013267
Macaca mulatta (Macaque),91.75559582536327
Bos mutus (Wild yak),91.73927557196144
Mesocricetus auratus (Golden Hamster),91.73607932875669
Mustela putorius furo (Ferret),91.71895636692614
Microtus ochrogaster (Prairie vole),91.71319603356217
Chinchilla lanigera (Long-tailed chinchilla),91.68855223731684
Bos indicus x Bos taurus (Hybrid - Bos Taurus),91.63647007029476
Bison bison bison (American bison),91.63066458314185
Neovison vison (American mink),91.61615086525948
Sus scrofa (Pig - Hampshire),91.6107485369366
Cricetulus griseus (Chinese hamster CriGri),91.6094584286804
Panthera pardus (Leopard),91.55809599373006
Octodon degus (Degu),91.47758177318181
Mus spicilegus (Steppe mouse),91.46605644546148
Mus musculus (Mouse),91.39282990083906
Rattus norvegicus (Rat),91.35426481805537
Mus spretus (Algerian mouse),91.23740372762764
Rhinopithecus roxellana (Golden snub-nosed monkey),91.21541098817454
Mus caroli (Ryukyu mouse),91.1933107397001
Dasypus novemcinctus (Armadillo),91.03745668058372
Mus pahari (Shrew mouse),90.92336188112918
Cavia porcellus (Guinea Pig),90.667735197469
Phocoena sinus (Vaquita),90.35824138056071
Myotis lucifugus (Microbat),90.16735929353672
Gorilla gorilla gorilla (Gorilla),90.15171673093019
Moschus moschiferus (Siberian musk deer),89.41102204315797
Ursus americanus (American black bear),89.02311390204531
Ovis aries (Sheep),88.35223540091494
Vombatus ursinus (Common wombat),88.26849733028224
Carlito syrichta (Tarsier),88.13181036053689
Sarcophilus harrisii (Tasmanian devil),87.51991426005851
Tursiops truncatus (Dolphin),86.67108528744419
Bos taurus (Cow),86.30544261788333
Phascolarctos cinereus (Koala),86.02239887728629
Rhinopithecus bieti (Black snub-nosed monkey),85.9744211057509
Chlorocebus sabaeus (Vervet-AGM),85.18101025152274
Sphenodon punctatus (Tuatara),84.5578620464204
Chelonoidis abingdonii (Abingdon island giant tortoise),84.07764516539994
Terrapene carolina triunguis (Three-toed box turtle),84.06313144751759
Taeniopygia guttata (Zebra finch),83.7190122044241
Aquila chrysaetos chrysaetos (Golden eagle),83.33420734808035
Bos grunniens (Domestic yak),83.17276738123132
Monodelphis domestica (Opossum),83.0796664657424
Anser brachyrhynchus (Pink-footed goose),83.0546265328874
Coturnix japonica (Japanese quail),83.0516805019644
Strigops habroptila (Kakapo),82.838402618866
Ficedula albicollis (Collared flycatcher),82.83777049941703
Cervus hanglu yarkandensis (Yarkand deer),82.65502204428111
Geospiza fortis (Medium ground-finch),82.60563164506542
Procavia capensis (Hyrax),82.52749946379876
Gallus gallus (Chicken),82.39270616501972
Pteropus vampyrus (Megabat),82.15255530129673
Notechis scutatus (Mainland tiger snake),82.07682109402401
Parus major (Great Tit),81.91515495086924
Pseudonaja textilis (Eastern brown snake),81.63990976988748
Podarcis muralis (Common wall lizard),81.62723031789544
Meleagris gallopavo (Turkey),81.62134921613676
Pelodiscus sinensis (Chinese softshell turtle),81.56686078452917
Salvator merianae (Argentine black and white tegu),81.3278437724982
Vulpes vulpes (Red fox),81.13052724036706
Echinops telfairi (Lesser hedgehog tenrec),81.10652585135051
Anas platyrhynchos (Mallard),81.0602896129212
Serinus canaria (Common canary),80.7911750144734
Latimeria chalumnae (Coelacanth),80.53783000566034
Chrysemys picta bellii (Painted turtle),80.39397761540246
Oryctolagus cuniculus (Rabbit),80.3196419778119
Struthio camelus australis (African ostrich),79.9197875191702
Lepisosteus oculatus (Spotted gar),79.55245171808377
Erpetoichthys calabaricus (Reedfish),78.18753791986546
Hucho hucho (Huchen),77.79729932435237
Oncorhynchus kisutch (Coho salmon),77.0094227166941
Salmo trutta (Brown trout),76.95321556081049
Salmo salar (Atlantic salmon),76.95174726820296
Oncorhynchus mykiss (Rainbow trout),76.94065866304238
Denticeps clupeoides (Denticle herring),76.88629274778805
Xenopus tropicalis (Tropical clawed frog),76.75628081141359
Oncorhynchus tshawytscha (Chinook salmon),76.61949958965252
Cyprinus carpio carpio (Common carp),76.48713434301277
Carassius auratus (Goldfish),76.4232643642944
Poecilia latipinna (Sailfin molly),76.38403815134302
Pygocentrus nattereri (Red-bellied piranha),76.35568364243335
Seriola dumerili (Greater amberjack),76.33442075148528
Electrophorus electricus (Electric eel),76.31738190897958
Cyprinodon variegatus (Sheepshead minnow),76.24506592760561
Haplochromis burtoni (Burton's mouthbrooder),76.24138366722354
Cynoglossus semilaevis (Tongue sole),76.22127040116459
Leptobrachium leishanense (Leishan spiny toad),76.17339377490514
Amphiprion percula (Orange clownfish),76.16796765359612
Astatotilapia calliptera (Eastern happy),76.13507851606433
Maylandia zebra (Zebra mbuna),76.13507851606433
Seriola lalandi dorsalis (Yellowtail amberjack),76.11976754367774
Amphiprion ocellaris (Clown anemonefish),76.11074092709188
Betta splendens (Siamese fighting fish),76.03357588640885
Paramormyrops kingsleyae (Paramormyrops kingsleyae),76.01860442552469
Sinocyclocheilus grahami (Golden-line barbel),76.00612609546499
Kryptolebias marmoratus (Mangrove rivulus),75.94345238095238
Danio rerio (Zebrafish),75.901817323578
Oryzias melastigma (Indian medaka),75.7840848358696
Poecilia formosa (Amazon molly),75.77528987303424
Oreochromis niloticus (Nile tilapia),75.68211568971654
Pundamilia nyererei (Makobe Island cichlid),75.67332474226805
Xiphophorus maculatus (Platyfish),75.66667588444591
Amphilophus citrinellus (Midas cichlid),75.63953085213262
Stegastes partitus (Bicolor damselfish),75.60721388225738
Astyanax mexicanus (Mexican tetra),75.52644345081369
Sparus aurata (Gilthead seabream),75.34727259538661
Cottoperca gobio (Channel bull blenny),75.24648397854139
Labrus bergylta (Ballan wrasse),75.2188119967324
Oryzias latipes (Japanese medaka HdrR),75.20341451323047
