Species,Similarity
Pan troglodytes (Chimpanzee),98.94514767932488
Pan paniscus (Bonobo),98.63301787592007
Gorilla gorilla gorilla (Gorilla),97.4921630094044
Pongo abelii (Sumatran orangutan),97.46835443037976
Nomascus leucogenys (Gibbon),95.25316455696202
Callithrix jacchus (White-tufted-ear marmoset),90.084388185654
Macaca fascicularis (Crab-eating macaque),89.13502109704642
Macaca nemestrina (Pig-tailed macaque),89.0608875128999
Aotus nancymaae (Ma's night monkey),88.71308016877637
Rhinopithecus roxellana (Golden snub-nosed monkey),87.0253164556962
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),85.65400843881856
Rhinopithecus bieti (Black snub-nosed monkey),83.86075949367088
Mandrillus leucophaeus (Drill),83.0168776371308
Cercocebus atys (Sooty mangabey),82.91139240506328
Loxodonta africana (Elephant),78.05907172995781
Dasypus novemcinctus (Armadillo),77.74261603375527
Pteropus vampyrus (Megabat),72.15189873417721
Tupaia belangeri (Tree Shrew),71.72995780590718
Tursiops truncatus (Dolphin),66.03375527426161
Cebus imitator (Panamanian white-faced capuchin),63.29113924050633
Sorex araneus (Shrew),60.54852320675106
Otolemur garnettii (Bushbaby),60.44303797468354
Bos grunniens (Domestic yak),56.75105485232067
Ochotona princeps (Pika),45.46413502109704
