Species,Similarity
Canis lupus familiaris (Dog - Boxer),463.16970962277566
Pan troglodytes (Chimpanzee),198.7633501967397
Gorilla gorilla gorilla (Gorilla),198.72922731475768
Pan paniscus (Bonobo),198.2012366498033
Nomascus leucogenys (Gibbon),196.4456600721151
Cercocebus atys (Sooty mangabey),195.50111127867885
Macaca nemestrina (Pig-tailed macaque),195.4338556876294
Mandrillus leucophaeus (Drill),195.2090102688548
Chlorocebus sabaeus (Vervet-AGM),195.19697585958437
Macaca mulatta (Macaque),195.17122443951715
Rhinopithecus roxellana (Golden snub-nosed monkey),194.62381807629208
Rhinopithecus bieti (Black snub-nosed monkey),194.5113953669048
Aotus nancymaae (Ma's night monkey),191.5321935681414
Cebus imitator (Panamanian white-faced capuchin),190.7332001931599
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),189.8900298727552
Propithecus coquereli (Coquerel's sifaka),183.71500690836027
Tursiops truncatus (Dolphin),182.22127025573144
Delphinapterus leucas (Beluga whale),181.88014350928148
Marmota marmota marmota (Alpine marmot),181.49359205789924
Otolemur garnettii (Bushbaby),181.0359798370328
Panthera tigris altaica (Tiger),180.97070459181265
Vulpes vulpes (Red fox),180.85064489025368
Sus scrofa (Pig - Hampshire),180.63297411123492
Ictidomys tridecemlineatus (Squirrel),180.60525461915665
Pteropus vampyrus (Megabat),180.5578788577491
Ursus maritimus (Polar bear),180.3783817094965
Ursus americanus (American black bear),180.3229185924693
Urocitellus parryii (Arctic ground squirrel),179.50410617090992
Heterocephalus glaber (Naked mole-rat),178.67510293989957
Dasypus novemcinctus (Armadillo),178.60020731874278
Cavia porcellus (Guinea Pig),178.42618870258406
Loxodonta africana (Elephant),178.4025150482528
Mustela putorius furo (Ferret),178.19742136815307
Capra hircus (Goat (black bengal)),178.04276328316965
Bos taurus (Cow),177.71851973719288
Bison bison bison (American bison),177.57296431873817
Chinchilla lanigera (Long-tailed chinchilla),177.1804750087973
Myotis lucifugus (Microbat),176.86133466168835
Oryctolagus cuniculus (Rabbit),176.24815845473893
Nannospalax galili (Upper Galilee mountains blind mole rat),176.12290894369366
Dipodomys ordii (Kangaroo rat),175.58149808591958
Peromyscus maniculatus bairdii (Northern American deer mouse),174.3229121442423
Jaculus jaculus (Lesser Egyptian jerboa),173.8842655430489
Cricetulus griseus (Chinese hamster CriGri),173.87421147960777
Rattus norvegicus (Rat),173.16251950398294
Mesocricetus auratus (Golden Hamster),173.00858554804034
Microtus ochrogaster (Prairie vole),172.94883687091905
Mus caroli (Ryukyu mouse),172.94070692252734
Mus spicilegus (Steppe mouse),172.86141692220747
Mus pahari (Shrew mouse),172.7700925126171
Mus musculus (Mouse),172.52333634447456
Mus spretus (Algerian mouse),172.35452455704996
Procavia capensis (Hyrax),163.95062236176042
Papio anubis (Olive baboon),99.6386630532972
Macaca fascicularis (Crab-eating macaque),99.59349593495936
Callithrix jacchus (White-tufted-ear marmoset),99.32249322493224
Equus caballus (Horse),97.60614272809394
Carlito syrichta (Tarsier),97.5609756097561
Equus asinus (Donkey),97.5191700496166
Sciurus vulgaris (Eurasian red squirrel),97.15447154471543
Rhinolophus ferrumequinum (Greater horseshoe bat),96.79313459801264
Pongo abelii (Sumatran orangutan),96.5672990063234
Ailuropoda melanoleuca (Giant panda),96.386630532972
Physeter catodon (Sperm whale),96.34146341463416
Phocoena sinus (Vaquita),96.34146341463416
Monodon monoceros (Narwhal),96.11562782294487
Camelus dromedarius (Arabian camel),95.9349593495935
Felis catus (Cat),95.88979223125564
