Variant Name,Species,Similarity,Score,Start,End
NOTO,Myotis lucifugus (Microbat),80.28534370946822,619.0,0,908
NOTO,Chlorocebus sabaeus (Vervet-AGM),95.23809523809523,720.0,0,792
NOTO,Tursiops truncatus (Dolphin),80.82010582010582,611.0,0,868
NOTO,Otolemur garnettii (Bushbaby),81.36882129277566,642.0,0,903
NOTO,Ictidomys tridecemlineatus (Squirrel),80.42929292929293,637.0,0,911
NOTO,Nomascus leucogenys (Gibbon),97.4867724867725,737.0,0,775
NOTO,Cercocebus atys (Sooty mangabey),95.5026455026455,722.0,0,790
NOTO,Macaca nemestrina (Pig-tailed macaque),95.37037037037037,721.0,0,791
NOTO,Bos indicus x Bos taurus (Hybrid - Bos Taurus),82.4074074074074,623.0,0,889
NOTO,Saimiri boliviensis boliviensis (Bolivian squirrel monkey),89.76377952755905,684.0,0,834
NOTO,Aotus nancymaae (Ma's night monkey),89.10505836575877,687.0,0,840
NOTO,Propithecus coquereli (Coquerel's sifaka),84.52380952380952,639.0,0,858
NOTO,Rhinopithecus bieti (Black snub-nosed monkey),94.44444444444444,714.0,0,798
NOTO,Pan troglodytes (Chimpanzee),99.20634920634922,750.0,0,762
NOTO,Microcebus murinus (Mouse Lemur),81.08465608465607,613.0,0,887
NOTO,Gorilla gorilla gorilla (Gorilla),98.80952380952381,747.0,0,765
NOTO,Rhinopithecus roxellana (Golden snub-nosed monkey),94.44444444444444,714.0,0,798
NOTO,Panthera pardus (Leopard),80.15873015873017,606.0,0,849
NOTO,Pan paniscus (Bonobo),98.94179894179894,748.0,0,764
NOTO,Urocitellus parryii (Arctic ground squirrel),80.55555555555556,638.0,0,910
NOTO,Canis lupus familiaris (Dog - Boxer),80.29100529100529,607.0,0,884
NOTO,Cervus hanglu yarkandensis (Yarkand deer),80.42929292929293,637.0,0,911
NOTO,Monodon monoceros (Narwhal),80.79306071871127,652.0,0,911
NOTO,Balaenoptera musculus (Blue whale),84.52380952380952,639.0,0,873
NOTO,Ovis aries (Sheep),81.78294573643412,633.0,0,897
NOTO,Phocoena sinus (Vaquita),84.52380952380952,639.0,0,873
NOTO,Sciurus vulgaris (Eurasian red squirrel),81.21693121693121,614.0,0,898
NOTO,Moschus moschiferus (Siberian musk deer),81.61375661375662,617.0,0,895
NOTO,Rhinolophus ferrumequinum (Greater horseshoe bat),80.68783068783068,610.0,0,872
NOTO,Oryctolagus cuniculus (Rabbit),82.27513227513228,622.0,0,881
NOTO,Camelus dromedarius (Arabian camel),83.73015873015873,633.0,0,879
NOTO,Macaca mulatta (Macaque),95.23809523809523,720.0,0,792
NOTO,Physeter catodon (Sperm whale),84.52380952380952,639.0,0,873
NOTO,Delphinapterus leucas (Beluga whale),82.01058201058201,620.0,0,877
NOTO,Felis catus (Cat),81.08465608465607,613.0,0,869
NOTO,Macaca fascicularis (Crab-eating macaque),94.97354497354497,718.0,0,791
NOTO,Pongo abelii (Sumatran orangutan),81.72757475083057,738.0,0,921
NOTO,Papio anubis (Olive baboon),94.97354497354497,718.0,0,794
NOTO,Callithrix jacchus (White-tufted-ear marmoset),89.76377952755905,684.0,0,834
NOTO,Equus asinus (Donkey),80.02645502645503,605.0,0,871
NOTO,Cebus imitator (Panamanian white-faced capuchin),88.58267716535433,675.0,0,843
