Variant Name,Species,Similarity,Score,Start,End
RAX2,Myotis lucifugus (Microbat),86.3063063063063,479.0,0,631
RAX2,Otolemur garnettii (Bushbaby),86.3063063063063,479.0,0,631
RAX2,Chlorocebus sabaeus (Vervet-AGM),97.11711711711712,539.0,0,571
RAX2,Tursiops truncatus (Dolphin),70.27027027027027,390.0,0,711
RAX2,Procavia capensis (Hyrax),84.50450450450451,469.0,0,635
RAX2,Ictidomys tridecemlineatus (Squirrel),88.64864864864866,492.0,0,618
RAX2,Cercocebus atys (Sooty mangabey),97.2972972972973,540.0,0,570
RAX2,Macaca nemestrina (Pig-tailed macaque),96.75675675675676,537.0,0,573
RAX2,Nomascus leucogenys (Gibbon),97.2972972972973,540.0,0,570
RAX2,Capra hircus (Goat (black bengal)),88.64864864864866,492.0,0,618
RAX2,Vulpes vulpes (Red fox),89.54954954954954,497.0,0,613
RAX2,Bos mutus (Wild yak),88.64864864864866,492.0,0,618
RAX2,Neovison vison (American mink),89.54954954954954,497.0,0,613
RAX2,Bos taurus (Cow),88.64864864864866,492.0,0,618
RAX2,Bos indicus x Bos taurus (Hybrid - Bos Taurus),70.90395480225989,502.0,0,761
RAX2,Propithecus coquereli (Coquerel's sifaka),90.990990990991,505.0,0,605
RAX2,Pan troglodytes (Chimpanzee),99.45945945945947,552.0,0,558
RAX2,Prolemur simus (Greater bamboo lemur),89.1891891891892,495.0,0,615
RAX2,Aotus nancymaae (Ma's night monkey),93.87387387387388,521.0,0,589
RAX2,Gorilla gorilla gorilla (Gorilla),99.45945945945947,552.0,0,558
RAX2,Bison bison bison (American bison),76.57657657657657,425.0,0,685
RAX2,Rhinopithecus bieti (Black snub-nosed monkey),95.4954954954955,530.0,0,580
RAX2,Rhinopithecus roxellana (Golden snub-nosed monkey),95.31531531531532,529.0,0,581
RAX2,Ursus americanus (American black bear),78.1981981981982,434.0,0,634
RAX2,Microcebus murinus (Mouse Lemur),90.45045045045045,502.0,0,608
RAX2,Urocitellus parryii (Arctic ground squirrel),88.46846846846846,491.0,0,619
RAX2,Panthera pardus (Leopard),91.53153153153153,508.0,0,602
RAX2,Pan paniscus (Bonobo),89.009009009009,494.0,0,556
RAX2,Canis lupus familiaris (Dog - Boxer),89.36936936936937,496.0,0,614
RAX2,Mandrillus leucophaeus (Drill),96.93693693693693,538.0,0,572
RAX2,Cervus hanglu yarkandensis (Yarkand deer),71.06382978723404,501.0,0,759
RAX2,Monodon monoceros (Narwhal),89.009009009009,494.0,0,613
RAX2,Ovis aries (Sheep),88.64864864864866,492.0,0,618
RAX2,Phocoena sinus (Vaquita),88.82882882882883,493.0,0,614
RAX2,Sciurus vulgaris (Eurasian red squirrel),88.64864864864866,492.0,0,615
RAX2,Moschus moschiferus (Siberian musk deer),89.1891891891892,495.0,0,615
RAX2,Bos grunniens (Domestic yak),88.64864864864866,492.0,0,618
RAX2,Rhinolophus ferrumequinum (Greater horseshoe bat),85.76576576576576,476.0,0,631
RAX2,Camelus dromedarius (Arabian camel),89.36936936936937,496.0,0,614
RAX2,Panthera leo (Lion),91.53153153153153,508.0,0,602
RAX2,Macaca mulatta (Macaque),96.75675675675676,537.0,0,573
RAX2,Physeter catodon (Sperm whale),89.54954954954954,497.0,0,613
RAX2,Catagonus wagneri (Chacoan peccary),89.009009009009,494.0,0,616
RAX2,Delphinapterus leucas (Beluga whale),89.1891891891892,495.0,0,612
RAX2,Felis catus (Cat),91.53153153153153,508.0,0,602
RAX2,Ailuropoda melanoleuca (Giant panda),90.27027027027027,501.0,0,609
RAX2,Macaca fascicularis (Crab-eating macaque),73.19727891156462,538.0,0,752
RAX2,Canis lupus familiaris (Dog - Boxer),89.36936936936937,496.0,0,614
RAX2,Pongo abelii (Sumatran orangutan),98.01801801801801,544.0,0,566
RAX2,Papio anubis (Olive baboon),96.93693693693693,538.0,0,572
RAX2,Callithrix jacchus (White-tufted-ear marmoset),93.33333333333333,518.0,0,592
RAX2,Sus scrofa (Pig - Hampshire),87.2072072072072,484.0,0,626
RAX2,Equus caballus (Horse),89.54954954954954,497.0,0,613
RAX2,Equus asinus (Donkey),89.009009009009,494.0,0,616
RAX2,Cebus imitator (Panamanian white-faced capuchin),92.7927927927928,515.0,0,595
RAX,Loxodonta africana (Elephant),87.89625360230548,915.0,0,1149
RAX,Dasypus novemcinctus (Armadillo),88.2804995196926,919.0,0,1145
RAX,Chlorocebus sabaeus (Vervet-AGM),96.36015325670499,1006.0,0,1079
RAX,Otolemur garnettii (Bushbaby),91.73871277617675,955.0,0,1121
RAX,Mustela putorius furo (Ferret),78.00192122958694,812.0,0,1198
RAX,Pelodiscus sinensis (Chinese softshell turtle),71.2776176753122,742.0,0,1235
RAX,Erinaceus europaeus (Hedgehog),76.657060518732,798.0,0,1260
RAX,Procavia capensis (Hyrax),70.98943323727185,739.0,0,1337
RAX,Notamacropus eugenii (Wallaby),76.657060518732,798.0,0,1227
