Species,Similarity
Pan troglodytes (Chimpanzee),99.5364401453848
Macaca nemestrina (Pig-tailed macaque),98.25903202050765
Pan paniscus (Bonobo),98.13031938442533
Papio anubis (Olive baboon),98.09832484553938
Rhinopithecus roxellana (Golden snub-nosed monkey),97.77139253682672
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),97.71059957196569
Pongo abelii (Sumatran orangutan),97.64018706577454
Callithrix jacchus (White-tufted-ear marmoset),97.63220580200283
Macaca mulatta (Macaque),97.477577870065
Macaca fascicularis (Crab-eating macaque),97.43406176910767
Cebus imitator (Panamanian white-faced capuchin),97.3556679991448
Aotus nancymaae (Ma's night monkey),97.09846214527946
Rhinopithecus bieti (Black snub-nosed monkey),96.49150086276339
Propithecus coquereli (Coquerel's sifaka),95.71749735987925
Phocoena sinus (Vaquita),95.48015644200265
Cervus hanglu yarkandensis (Yarkand deer),95.47583722602673
Equus asinus (Donkey),95.39528384807588
Cercocebus atys (Sooty mangabey),95.36407751264991
Monodon monoceros (Narwhal),95.26905476117976
Delphinapterus leucas (Beluga whale),95.22769826821036
Moschus moschiferus (Siberian musk deer),95.22121944424649
Prolemur simus (Greater bamboo lemur),95.11475077044017
Ovis aries (Sheep),95.09930957332625
Capra hircus (Goat (black bengal)),95.09499035735034
Panthera pardus (Leopard),94.83173414361825
Microcebus murinus (Mouse Lemur),94.69222346759616
Sus scrofa (Pig - Hampshire),94.62927089474718
Heterocephalus glaber (Naked mole-rat),94.50952063181492
Canis lupus familiaris (Dog - Boxer),94.45520649091776
Bos mutus (Wild yak),94.40272801681039
Catagonus wagneri (Chacoan peccary),94.36169546503919
Bos taurus (Cow),94.27433932192628
Neovison vison (American mink),94.23546637814303
Chinchilla lanigera (Long-tailed chinchilla),94.20922714108934
Camelus dromedarius (Arabian camel),94.10243452608482
Vulpes vulpes (Red fox),93.71078961746863
Sciurus vulgaris (Eurasian red squirrel),93.56760760786702
Ailuropoda melanoleuca (Giant panda),93.54320403760309
Rhinolophus ferrumequinum (Greater horseshoe bat),93.39969808680328
Mustela putorius furo (Ferret),93.32130431684041
Octodon degus (Degu),93.24938937084141
Mesocricetus auratus (Golden Hamster),92.9666966852177
Ictidomys tridecemlineatus (Squirrel),92.9666966852177
Jaculus jaculus (Lesser Egyptian jerboa),92.81854757724378
Rattus norvegicus (Rat),92.50745604657843
Felis catus (Cat),92.2451840206088
Mandrillus leucophaeus (Drill),92.22314365496376
Dipodomys ordii (Kangaroo rat),91.9784600699281
Panthera leo (Lion),91.87263927851816
Mus musculus (Mouse),91.80439566609869
Bison bison bison (American bison),91.5469703939341
Mus spretus (Algerian mouse),91.46058607441577
Panthera tigris altaica (Tiger),91.4491401520796
Mus caroli (Ryukyu mouse),91.3821923044529
Ochotona princeps (Pika),91.2426816284308
Mus pahari (Shrew mouse),91.2016490766596
Equus caballus (Horse),91.15375047044338
Loxodonta africana (Elephant),90.9855802974644
Gorilla gorilla gorilla (Gorilla),90.77102324386078
Urocitellus parryii (Arctic ground squirrel),89.75384788153255
Mus spicilegus (Steppe mouse),88.86376544929564
Peromyscus maniculatus bairdii (Northern American deer mouse),88.26069491865837
Sarcophilus harrisii (Tasmanian devil),88.06352270935778
Vombatus ursinus (Common wombat),87.9916077633588
Cavia porcellus (Guinea Pig),87.93599785766887
Monodelphis domestica (Opossum),87.77618686655998
Nomascus leucogenys (Gibbon),86.91363943616956
Chlorocebus sabaeus (Vervet-AGM),86.90780849460205
Phascolarctos cinereus (Koala),86.8749824531851
Marmota marmota marmota (Alpine marmot),86.76970156377214
Notamacropus eugenii (Wallaby),84.76461352735251
Nannospalax galili (Upper Galilee mountains blind mole rat),84.70263277809812
Otolemur garnettii (Bushbaby),84.68384418860288
Carlito syrichta (Tarsier),84.02224828149194
Ornithorhynchus anatinus (Platypus),83.76457892586924
Parus major (Great Tit),83.26681740730422
Coturnix japonica (Japanese quail),82.46160756899408
Tursiops truncatus (Dolphin),82.39638740775774
Bos grunniens (Domestic yak),81.79170916895166
Anser brachyrhynchus (Pink-footed goose),80.92310283837278
Strigops habroptila (Kakapo),80.59517570721707
Gallus gallus (Chicken),80.39378292052427
Serinus canaria (Common canary),79.75151550490554
Balaenoptera musculus (Blue whale),79.622826724958
Erpetoichthys calabaricus (Reedfish),79.25469768727581
Cricetulus griseus (Chinese hamster CriGri),78.94252635261647
Procavia capensis (Hyrax),78.9208222923375
Podarcis muralis (Common wall lizard),78.53478140995674
Xenopus tropicalis (Tropical clawed frog),78.18558375283718
Oncorhynchus kisutch (Coho salmon),78.04024213524761
Oncorhynchus mykiss (Rainbow trout),77.95752914930881
Notechis scutatus (Mainland tiger snake),77.92913030426718
Oncorhynchus tshawytscha (Chinook salmon),77.39621891057922
Poecilia formosa (Amazon molly),77.00618811881188
Astatotilapia calliptera (Eastern happy),76.94337723816373
Gadus morhua (Atlantic cod),76.79900744416872
Takifugu rubripes (Fugu),76.37119273839983
Paramormyrops kingsleyae (Paramormyrops kingsleyae),76.35653312133113
Poecilia latipinna (Sailfin molly),76.32912501629681
Oreochromis niloticus (Nile tilapia),76.26433871060715
Lates calcarifer (Barramundi perch),76.17815692927536
Electrophorus electricus (Electric eel),76.11114557485526
Cottoperca gobio (Channel bull blenny),76.09383395820882
Lepisosteus oculatus (Spotted gar),76.05546324867474
Nothobranchius furzeri (Turquoise killifish),76.04716246275908
Cyclopterus lumpus (Lumpfish),76.02874276261375
Labrus bergylta (Ballan wrasse),76.01353594996166
Sander lucioperca (Pike-perch),75.97052674455819
Esox lucius (Northern pike),75.8789032133684
Salmo trutta (Brown trout),75.8647774776807
Pteropus vampyrus (Megabat),75.68983278155349
Salmo salar (Atlantic salmon),75.56630082854548
Pygocentrus nattereri (Red-bellied piranha),75.4552770681803
Scleropages formosus two (Asian bonytongue),75.32180205103937
Pseudonaja textilis (Eastern brown snake),75.31505750422917
Sinocyclocheilus grahami (Golden-line barbel),75.23728692767689
Amphiprion percula (Orange clownfish),75.10425507561868
Fundulus heteroclitus (Mummichog),75.06842066851554
Carassius auratus (Goldfish),75.04400493833197
Amphilophus citrinellus (Midas cichlid),74.94746753569292
Seriola dumerili (Greater amberjack),74.9450637630705
Anabas testudineus (Climbing perch),74.89660876757651
Sparus aurata (Gilthead seabream),74.82433626883342
Xiphophorus maculatus (Platyfish),74.60339022618278
Denticeps clupeoides (Denticle herring),74.58202651014179
Larimichthys crocea (Large yellow croaker),74.43957423943297
Acanthochromis polyacanthus (Spiny chromis),74.43474428404969
Gasterosteus aculeatus (Stickleback),74.38426504640427
Oryzias javanicus (Javanese ricefish),74.33621304589047
Hippocampus comes (Tiger tail seahorse),74.28824719736875
Cyprinodon variegatus (Sheepshead minnow),74.23118178945822
Oryzias melastigma (Indian medaka),74.19304526674435
Neolamprologus brichardi (Lyretail cichlid),74.13850851126836
Mastacembelus armatus (Zig-zag eel),74.05175469691599
Amphiprion ocellaris (Clown anemonefish),74.03489719524107
Seriola lalandi dorsalis (Yellowtail amberjack),74.02141325050019
Haplochromis burtoni (Burton's mouthbrooder),73.90163206842986
Danio rerio (Zebrafish),73.80409977378497
Myripristis murdjan (Pinecone soldierfish),73.73699573385225
Stegastes partitus (Bicolor damselfish),73.67763859407856
Ficedula albicollis (Collared flycatcher),73.65774964528438
Poecilia reticulata (Guppy),73.6255047924877
Erinaceus europaeus (Hedgehog),73.49167269782188
Kryptolebias marmoratus (Mangrove rivulus),73.23621098050106
Sphenodon punctatus (Tuatara),73.225867872147
Cyprinus carpio carpio (Common carp),72.79660744265455
Cynoglossus semilaevis (Tongue sole),72.7413532808146
Astyanax mexicanus (Mexican tetra),72.69293924466339
Dasypus novemcinctus (Armadillo),72.32008845754319
Naja naja (Indian cobra),72.26663426364124
Betta splendens (Siamese fighting fish),72.01000605756904
Oryzias sinensis (Chinese medaka),71.9573796687053
Pundamilia nyererei (Makobe Island cichlid),71.94140119685474
Maylandia zebra (Zebra mbuna),71.93424461717144
Leptobrachium leishanense (Leishan spiny toad),71.82564620870019
Bos indicus x Bos taurus (Hybrid - Bos Taurus),71.59887436482185
Oryzias latipes (Japanese medaka HdrR),71.55167732566797
Salvator merianae (Argentine black and white tegu),70.03881147801744
Aquila chrysaetos chrysaetos (Golden eagle),68.7937062937063
Scophthalmus maximus (Turbot),68.43430991435163
Echinops telfairi (Lesser hedgehog tenrec),68.01372214915548
Pelodiscus sinensis (Chinese softshell turtle),67.39164706822419
Taeniopygia guttata (Zebra finch),67.13213678939485
Tetraodon nigroviridis (Tetraodon),64.09144212142611
Terrapene carolina triunguis (Three-toed box turtle),62.6876969292534
Latimeria chalumnae (Coelacanth),61.48911449593669
