Species,Similarity
Canis lupus familiaris (Dog - Boxer),183.91114345148532
Pongo abelii (Sumatran orangutan),99.28952042628777
Pan troglodytes (Chimpanzee),98.57904085257547
Macaca nemestrina (Pig-tailed macaque),97.51332149200712
Macaca mulatta (Macaque),97.51332149200712
Cercocebus atys (Sooty mangabey),97.51332149200712
Chlorocebus sabaeus (Vervet-AGM),97.27649496743636
Cebus imitator (Panamanian white-faced capuchin),96.80284191829485
Callithrix jacchus (White-tufted-ear marmoset),96.44760213143871
Aotus nancymaae (Ma's night monkey),96.38839550029604
Microcebus murinus (Mouse Lemur),94.08983451536643
Bos indicus x Bos taurus (Hybrid - Bos Taurus),93.91252955082744
Ovis aries (Sheep),93.80530973451329
Capra hircus (Goat (black bengal)),93.6873156342183
Catagonus wagneri (Chacoan peccary),93.6648904677324
Panthera pardus (Leopard),93.60568383658968
Felis catus (Cat),93.546477205447
Phocoena sinus (Vaquita),93.42806394316165
Sus scrofa (Pig - Hampshire),93.32151300236409
Balaenoptera musculus (Blue whale),93.2033096926714
Moschus moschiferus (Siberian musk deer),93.1924882629108
Papio anubis (Olive baboon),93.07282415630551
Bos taurus (Cow),93.0136175251628
Rhinolophus ferrumequinum (Greater horseshoe bat),92.65837773830668
Sciurus vulgaris (Eurasian red squirrel),92.36234458259324
Gorilla gorilla gorilla (Gorilla),91.71107164002368
Mus spretus (Algerian mouse),90.60283687943264
Tupaia belangeri (Tree Shrew),90.52693901716992
Mus musculus (Mouse),90.4424778761062
Mus caroli (Ryukyu mouse),90.3244837758112
Mus pahari (Shrew mouse),90.2826855123675
Microtus ochrogaster (Prairie vole),90.08849557522124
Rattus norvegicus (Rat),90.06466784244563
Cricetulus griseus (Chinese hamster CriGri),90.02949852507375
Propithecus coquereli (Coquerel's sifaka),89.81645944345766
Mesocricetus auratus (Golden Hamster),89.6388395500296
Rhinopithecus bieti (Black snub-nosed monkey),89.40201302545884
Otolemur garnettii (Bushbaby),89.28359976317347
Panthera leo (Lion),89.28359976317347
Equus asinus (Donkey),89.1651865008881
Bos grunniens (Domestic yak),89.04510837727007
Nannospalax galili (Upper Galilee mountains blind mole rat),88.57312018946122
Octodon degus (Degu),88.33629366489046
Urocitellus parryii (Arctic ground squirrel),87.99062683069712
Equus caballus (Horse),87.80343398460627
Heterocephalus glaber (Naked mole-rat),87.6850207223209
Prolemur simus (Greater bamboo lemur),86.79692125518058
Physeter catodon (Sperm whale),83.83658969804618
Mustela putorius furo (Ferret),82.11959739490823
Vombatus ursinus (Common wombat),81.58673771462404
Notamacropus eugenii (Wallaby),81.23149792776792
Sarcophilus harrisii (Tasmanian devil),81.11308466548253
Phascolarctos cinereus (Koala),80.81705150976909
Jaculus jaculus (Lesser Egyptian jerboa),80.40260509177027
