Species,Similarity
Vombatus ursinus (Common wombat),154.32573029211687
Pan troglodytes (Chimpanzee),99.4277539341917
Nomascus leucogenys (Gibbon),98.28326180257513
Gorilla gorilla gorilla (Gorilla),95.98893499308436
Chlorocebus sabaeus (Vervet-AGM),95.42203147353362
Pongo abelii (Sumatran orangutan),95.29737206085753
Callithrix jacchus (White-tufted-ear marmoset),93.24894514767934
Macaca nemestrina (Pig-tailed macaque),92.25449515905947
Macaca mulatta (Macaque),92.25449515905947
Cebus imitator (Panamanian white-faced capuchin),92.12376933895922
Mandrillus leucophaeus (Drill),92.11618257261412
Aotus nancymaae (Ma's night monkey),92.09039548022598
Papio anubis (Olive baboon),91.97786998616874
Cercocebus atys (Sooty mangabey),91.83955739972338
Propithecus coquereli (Coquerel's sifaka),88.12589413447782
Equus caballus (Horse),87.55364806866953
Capra hircus (Goat (black bengal)),87.17948717948718
Moschus moschiferus (Siberian musk deer),87.1244635193133
Sciurus vulgaris (Eurasian red squirrel),86.98140200286123
Catagonus wagneri (Chacoan peccary),86.27450980392157
Bos taurus (Cow),86.27450980392157
Bos mutus (Wild yak),86.27450980392157
Tursiops truncatus (Dolphin),85.85434173669468
Marmota marmota marmota (Alpine marmot),85.83333333333333
Sus scrofa (Pig - Hampshire),85.71428571428571
Pteropus vampyrus (Megabat),85.57422969187675
Delphinapterus leucas (Beluga whale),85.57422969187675
Otolemur garnettii (Bushbaby),85.55555555555556
Urocitellus parryii (Arctic ground squirrel),85.0
Camelus dromedarius (Arabian camel),84.97854077253218
Oryctolagus cuniculus (Rabbit),84.53900709219859
Bos indicus x Bos taurus (Hybrid - Bos Taurus),83.94557823129252
Bos grunniens (Domestic yak),83.80952380952381
Cervus hanglu yarkandensis (Yarkand deer),83.80952380952381
Rhinopithecus bieti (Black snub-nosed monkey),83.69098712446352
Balaenoptera musculus (Blue whale),83.53741496598639
Physeter catodon (Sperm whale),83.40136054421768
Rhinolophus ferrumequinum (Greater horseshoe bat),83.33333333333334
Phocoena sinus (Vaquita),83.12925170068027
Ovis aries (Sheep),83.12925170068027
Monodon monoceros (Narwhal),82.99319727891157
Ochotona princeps (Pika),82.7683615819209
Microcebus murinus (Mouse Lemur),82.54649499284692
Equus asinus (Donkey),82.3045267489712
Echinops telfairi (Lesser hedgehog tenrec),82.1173104434907
Mesocricetus auratus (Golden Hamster),81.54506437768241
Microtus ochrogaster (Prairie vole),81.33903133903134
Peromyscus maniculatus bairdii (Northern American deer mouse),81.29395218002813
Nannospalax galili (Upper Galilee mountains blind mole rat),81.25894134477825
Rattus norvegicus (Rat),80.82975679542204
Cricetulus griseus (Chinese hamster CriGri),80.82975679542204
Mus spicilegus (Steppe mouse),80.68669527896995
Prolemur simus (Greater bamboo lemur),80.68669527896995
Mus caroli (Ryukyu mouse),80.4005722460658
Mus musculus (Mouse),80.4005722460658
Mus spretus (Algerian mouse),80.11444921316166
Rhinopithecus roxellana (Golden snub-nosed monkey),79.94467496542185
Mus pahari (Shrew mouse),79.39914163090128
Ailuropoda melanoleuca (Giant panda),79.14951989026063
Notamacropus eugenii (Wallaby),77.59103641456583
Phascolarctos cinereus (Koala),77.45098039215686
Ictidomys tridecemlineatus (Squirrel),76.83823529411765
Pan paniscus (Bonobo),75.9656652360515
Sarcophilus harrisii (Tasmanian devil),75.84345479082322
Ornithorhynchus anatinus (Platypus),75.82260371959943
Monodelphis domestica (Opossum),74.89878542510121
Heterocephalus glaber (Naked mole-rat),71.24463519313305
Canis lupus familiaris (Dog - Boxer),70.22900763358778
Octodon degus (Degu),70.10014306151645
