Species,Similarity
Carassius auratus (Goldfish),285.0
Felis catus (Cat),179.4047093451067
Canis lupus familiaris (Dog - Boxer),178.66666666666666
Gorilla gorilla gorilla (Gorilla),99.44444444444444
Pan troglodytes (Chimpanzee),99.11111111111111
Rhinopithecus roxellana (Golden snub-nosed monkey),98.0
Macaca mulatta (Macaque),97.88888888888889
Papio anubis (Olive baboon),97.88888888888889
Macaca nemestrina (Pig-tailed macaque),97.77777777777776
Cercocebus atys (Sooty mangabey),97.66666666666669
Mandrillus leucophaeus (Drill),97.55555555555556
Chlorocebus sabaeus (Vervet-AGM),97.2222222222222
Cebus imitator (Panamanian white-faced capuchin),96.44444444444444
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),96.0
Callithrix jacchus (White-tufted-ear marmoset),95.77777777777776
Prolemur simus (Greater bamboo lemur),93.2222222222222
Carlito syrichta (Tarsier),93.0
Microcebus murinus (Mouse Lemur),92.66666666666666
Otolemur garnettii (Bushbaby),92.44444444444444
Propithecus coquereli (Coquerel's sifaka),92.33333333333331
Tupaia belangeri (Tree Shrew),92.22222222222224
Equus asinus (Donkey),92.22222222222224
Equus caballus (Horse),91.88888888888889
Capra hircus (Goat (black bengal)),91.55555555555556
Moschus moschiferus (Siberian musk deer),91.33333333333331
Cervus hanglu yarkandensis (Yarkand deer),91.33333333333331
Phocoena sinus (Vaquita),91.33333333333331
Balaenoptera musculus (Blue whale),91.22222222222224
Monodon monoceros (Narwhal),91.11111111111111
Ovis aries (Sheep),91.11111111111111
Myotis lucifugus (Microbat),91.0
Delphinapterus leucas (Beluga whale),91.0
Physeter catodon (Sperm whale),91.0
Sciurus vulgaris (Eurasian red squirrel),90.88888888888889
Camelus dromedarius (Arabian camel),90.66666666666666
Chinchilla lanigera (Long-tailed chinchilla),90.64906490649064
Octodon degus (Degu),90.58693244739756
Bos indicus x Bos taurus (Hybrid - Bos Taurus),90.55555555555556
Ursus maritimus (Polar bear),90.44444444444444
Bos taurus (Cow),90.44444444444444
Bison bison bison (American bison),90.33333333333331
Catagonus wagneri (Chacoan peccary),90.33333333333331
Ursus americanus (American black bear),90.22222222222224
Urocitellus parryii (Arctic ground squirrel),90.22222222222224
Ailuropoda melanoleuca (Giant panda),90.22222222222224
Bos grunniens (Domestic yak),90.22222222222224
Bos mutus (Wild yak),90.22222222222224
Ictidomys tridecemlineatus (Squirrel),90.11111111111111
Cavia porcellus (Guinea Pig),90.06622516556291
Loxodonta africana (Elephant),89.88888888888889
Marmota marmota marmota (Alpine marmot),89.88888888888889
Panthera pardus (Leopard),89.66666666666666
Neovison vison (American mink),89.55555555555556
Mustela putorius furo (Ferret),89.44444444444444
Vulpes vulpes (Red fox),89.33333333333333
Procavia capensis (Hyrax),88.88888888888889
Rhinolophus ferrumequinum (Greater horseshoe bat),88.77777777777777
Aotus nancymaae (Ma's night monkey),88.68501529051987
Rattus norvegicus (Rat),88.55555555555556
Echinops telfairi (Lesser hedgehog tenrec),88.33333333333333
Microtus ochrogaster (Prairie vole),88.33333333333333
Jaculus jaculus (Lesser Egyptian jerboa),88.22222222222223
Mus spretus (Algerian mouse),88.1111111111111
Panthera leo (Lion),88.0
Heterocephalus glaber (Naked mole-rat),87.09677419354838
Peromyscus maniculatus bairdii (Northern American deer mouse),86.21794871794873
Mus pahari (Shrew mouse),85.69892473118279
Dasypus novemcinctus (Armadillo),83.17948717948718
Mus caroli (Ryukyu mouse),82.24974200206398
Mus spicilegus (Steppe mouse),82.09876543209876
Mus musculus (Mouse),82.09876543209876
Pteropus vampyrus (Megabat),76.0
Macaca fascicularis (Crab-eating macaque),75.12820512820512
Chelonoidis abingdonii (Abingdon island giant tortoise),74.22222222222223
Podarcis muralis (Common wall lizard),73.66666666666667
Labrus bergylta (Ballan wrasse),73.44444444444444
Gasterosteus aculeatus (Stickleback),73.421926910299
Lepisosteus oculatus (Spotted gar),73.22222222222223
Dipodomys ordii (Kangaroo rat),73.22222222222223
Cyclopterus lumpus (Lumpfish),73.11111111111111
Sarcophilus harrisii (Tasmanian devil),73.0
Naja naja (Indian cobra),73.0
Laticauda laticaudata (Blue-ringed sea krait),72.97895902547066
Dicentrarchus labrax (European seabass),72.88888888888889
Larimichthys crocea (Large yellow croaker),72.77777777777777
Pseudonaja textilis (Eastern brown snake),72.66666666666667
Pelodiscus sinensis (Chinese softshell turtle),72.55555555555556
Chrysemys picta bellii (Painted turtle),72.27722772277228
Ochotona princeps (Pika),72.22222222222221
Sus scrofa (Pig - Hampshire),72.15799614643545
Cyprinus carpio carpio (Common carp),72.11111111111111
Sinocyclocheilus grahami (Golden-line barbel),71.77777777777777
Notechis scutatus (Mainland tiger snake),71.35076252723312
Erpetoichthys calabaricus (Reedfish),71.33333333333334
Danio rerio (Zebrafish),70.88888888888889
Leptobrachium leishanense (Leishan spiny toad),70.66666666666667
Ictalurus punctatus (Channel catfish),70.22222222222221
Eptatretus burgeri (Hagfish),70.0
Vombatus ursinus (Common wombat),70.0
