Variant Name,Species,Similarity,Score,Start,End
HOXA10,Tursiops truncatus (Dolphin),88.56447688564477,1092.0,0,1323
HOXA10,Loxodonta africana (Elephant),90.98228663446055,1130.0,0,1345
HOXA10,Tupaia belangeri (Tree Shrew),68.45093268450933,844.0,0,1538
HOXA10,Latimeria chalumnae (Coelacanth),55.91397849462365,936.0,0,1971
HOXA10,Pteropus vampyrus (Megabat),77.2911597729116,953.0,0,1444
HOXA10,Mustela putorius furo (Ferret),91.86795491143317,1141.0,0,1334
HOXA10,Otolemur garnettii (Bushbaby),92.02898550724638,1143.0,0,1332
HOXA10,Ochotona princeps (Pika),84.83373884833739,1046.0,0,1363
HOXA10,Pelodiscus sinensis (Chinese softshell turtle),52.39253852392538,646.0,0,1352
HOXA10,Erinaceus europaeus (Hedgehog),49.22952149229521,607.0,0,1805
HOXA10,Procavia capensis (Hyrax),72.34387672343877,892.0,0,1532
HOXA10,Notamacropus eugenii (Wallaby),75.669099756691,933.0,0,1431
HOXA10,Microtus ochrogaster (Prairie vole),88.23064770932069,1117.0,0,1382
HOXA10,Chinchilla lanigera (Long-tailed chinchilla),91.62640901771336,1138.0,0,1337
HOXA10,Cricetulus griseus (Chinese hamster CriGri),88.59857482185272,1119.0,0,1377
HOXA10,Macaca nemestrina (Pig-tailed macaque),96.5125709651257,1190.0,0,1276
HOXA10,Cercocebus atys (Sooty mangabey),96.67477696674777,1192.0,0,1274
HOXA10,Mus pahari (Shrew mouse),87.92965627498002,1100.0,0,1384
HOXA10,Mus spretus (Algerian mouse),88.38141025641025,1103.0,0,1378
HOXA10,Mus caroli (Ryukyu mouse),88.70192307692307,1107.0,0,1374
HOXA10,Capra hircus (Goat (black bengal)),92.02898550724638,1143.0,0,1332
HOXA10,Vulpes vulpes (Red fox),86.78021086780211,1070.0,0,1312
HOXA10,Anser brachyrhynchus (Pink-footed goose),74.8580697485807,923.0,0,1405
HOXA10,Crocodylus porosus (Australian saltwater crocodile),53.85239253852393,664.0,0,1385
HOXA10,Parus major (Great Tit),73.88483373884833,911.0,0,1417
HOXA10,Salvator merianae (Argentine black and white tegu),72.35576923076923,903.0,0,1578
HOXA10,Coturnix japonica (Japanese quail),71.8572587185726,886.0,0,1406
HOXA10,Bos taurus (Cow),45.579886455798864,562.0,0,1265
HOXA10,Bos indicus x Bos taurus (Hybrid - Bos Taurus),91.96787148594377,1145.0,0,1333
HOXA10,Aquila chrysaetos chrysaetos (Golden eagle),57.98864557988645,715.0,0,1349
HOXA10,Taeniopygia guttata (Zebra finch),74.12814274128142,914.0,0,1414
HOXA10,Strigops habroptila (Kakapo),73.96593673965937,912.0,0,1416
HOXA10,Chrysemys picta bellii (Painted turtle),35.19870235198702,434.0,0,1291
HOXA10,Propithecus coquereli (Coquerel's sifaka),93.67396593673966,1155.0,0,1311
HOXA10,Aotus nancymaae (Ma's night monkey),95.53933495539336,1178.0,0,1288
HOXA10,Serinus canaria (Common canary),69.82968369829685,861.0,0,1416
HOXA10,Pan troglodytes (Chimpanzee),99.35117599351176,1225.0,0,1241
HOXA10,Nannospalax galili (Upper Galilee mountains blind mole rat),42.33576642335766,522.0,0,1260
HOXA10,Saimiri boliviensis boliviensis (Bolivian squirrel monkey),96.18815896188158,1186.0,0,1280
HOXA10,Jaculus jaculus (Lesser Egyptian jerboa),45.17437145174372,557.0,0,1258
HOXA10,Gorilla gorilla gorilla (Gorilla),97.91164658634538,1219.0,0,1259
HOXA10,Rhinopithecus bieti (Black snub-nosed monkey),96.43146796431468,1189.0,0,1277
HOXA10,Pan troglodytes (Chimpanzee),99.51338199513383,1227.0,0,1239
HOXA10,Panthera pardus (Leopard),91.90705128205127,1147.0,0,1334
HOXA10,Microcebus murinus (Mouse Lemur),94.07948094079481,1160.0,0,1306
HOXA10,Mesocricetus auratus (Golden Hamster),88.36104513064133,1116.0,0,1380
HOXA10,Geospiza fortis (Medium ground-finch),30.900243309002434,381.0,0,1254
HOXA10,Mandrillus leucophaeus (Drill),96.59367396593674,1191.0,0,1275
HOXA10,Rhinopithecus roxellana (Golden snub-nosed monkey),96.59367396593674,1191.0,0,1275
HOXA10,Pan paniscus (Bonobo),96.5125709651257,1190.0,0,1240
HOXA10,Dipodomys ordii (Kangaroo rat),46.14760746147608,569.0,0,1261
HOXA10,Canis lupus familiaris (Dog - Boxer),92.04819277108433,1146.0,0,1332
HOXA10,Octodon degus (Degu),45.4176804541768,560.0,0,1261
HOXA10,Balaenoptera musculus (Blue whale),92.79935275080906,1147.0,0,1322
HOXA10,Phocoena sinus (Vaquita),91.88755020080322,1144.0,0,1334
