Species,Similarity
Pan troglodytes (Chimpanzee),99.71051327837381
Pan paniscus (Bonobo),99.21037062872135
Pongo abelii (Sumatran orangutan),98.7465032759798
Cercocebus atys (Sooty mangabey),97.97946464403796
Chlorocebus sabaeus (Vervet-AGM),97.96178939606145
Macaca nemestrina (Pig-tailed macaque),97.86332780685811
Cebus imitator (Panamanian white-faced capuchin),96.64996926658543
Aotus nancymaae (Ma's night monkey),95.72785812057343
Propithecus coquereli (Coquerel's sifaka),94.95902653421294
Prolemur simus (Greater bamboo lemur),94.85366325436677
Microcebus murinus (Mouse Lemur),94.6622496464083
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),94.61975050417168
Physeter catodon (Sperm whale),94.2212702898037
Catagonus wagneri (Chacoan peccary),94.15708059093983
Phocoena sinus (Vaquita),94.14497334355148
Panthera leo (Lion),93.97505145571752
Ovis aries (Sheep),93.96797906725797
Bos indicus x Bos taurus (Hybrid - Bos Taurus),93.93100416434254
Bos taurus (Cow),93.91545870762062
Capra hircus (Goat (black bengal)),93.84783251436453
Delphinapterus leucas (Beluga whale),93.80297206389208
Rhinolophus ferrumequinum (Greater horseshoe bat),93.75598371163844
Canis lupus familiaris (Dog - Boxer),93.7450881656418
Moschus moschiferus (Siberian musk deer),93.7434354970726
Callithrix jacchus (White-tufted-ear marmoset),93.7101574956321
Urocitellus parryii (Arctic ground squirrel),93.6606656049383
Sus scrofa (Pig - Hampshire),93.31299185262843
Sciurus vulgaris (Eurasian red squirrel),93.15563024027468
Rhinopithecus bieti (Black snub-nosed monkey),93.14852733407588
Cervus hanglu yarkandensis (Yarkand deer),92.51518170005026
Nannospalax galili (Upper Galilee mountains blind mole rat),92.34652815498221
Panthera pardus (Leopard),92.22551611942035
Monodon monoceros (Narwhal),91.94914940699763
Vulpes vulpes (Red fox),91.92021680053145
Mesocricetus auratus (Golden Hamster),91.7478964996067
Ictidomys tridecemlineatus (Squirrel),91.73300962447918
Cricetulus griseus (Chinese hamster CriGri),91.67301171365058
Mus musculus (Mouse),91.64801056780438
Mus spicilegus (Steppe mouse),91.56343308959902
Balaenoptera musculus (Blue whale),91.35280209381604
Rattus norvegicus (Rat),91.32290146091778
Mus spretus (Algerian mouse),91.32222479086877
Dipodomys ordii (Kangaroo rat),91.31830633086257
Mus pahari (Shrew mouse),91.26418578443236
Mus caroli (Ryukyu mouse),91.24708670496216
Microtus ochrogaster (Prairie vole),91.23921500909505
Felis catus (Cat),90.58364662348582
Otolemur garnettii (Bushbaby),90.17948369242356
Mandrillus leucophaeus (Drill),89.95911261847948
Ursus americanus (American black bear),89.75740515899415
Jaculus jaculus (Lesser Egyptian jerboa),89.52470617677943
Bos mutus (Wild yak),88.99473638289143
Heterocephalus glaber (Naked mole-rat),88.34004856240483
Papio anubis (Olive baboon),88.24173627521154
Macaca mulatta (Macaque),88.0422788817637
Ailuropoda melanoleuca (Giant panda),87.92701275647144
Macaca fascicularis (Crab-eating macaque),87.86694477830706
Neovison vison (American mink),87.58752734500547
Rhinopithecus roxellana (Golden snub-nosed monkey),86.69977385596678
Gorilla gorilla gorilla (Gorilla),86.56459246970131
Loxodonta africana (Elephant),85.54631084608404
Mustela putorius furo (Ferret),84.20835403644782
Peromyscus maniculatus bairdii (Northern American deer mouse),82.7160565617005
Equus asinus (Donkey),82.65795963371858
Vombatus ursinus (Common wombat),81.94659476810925
Bos grunniens (Domestic yak),81.87256011213721
Camelus dromedarius (Arabian camel),81.77257018809819
Bison bison bison (American bison),81.41587499162334
Octodon degus (Degu),80.71708704623266
Carlito syrichta (Tarsier),80.25881784740059
Ornithorhynchus anatinus (Platypus),80.22533605323248
Tursiops truncatus (Dolphin),78.04615476635786
Pteropus vampyrus (Megabat),77.85511535419239
Crocodylus porosus (Australian saltwater crocodile),77.76809113225495
Aquila chrysaetos chrysaetos (Golden eagle),76.85872269193639
Chelonoidis abingdonii (Abingdon island giant tortoise),76.78466947826942
Terrapene carolina triunguis (Three-toed box turtle),76.73144121938901
Gopherus evgoodei (Goodes thornscrub tortoise),76.41066655888321
Chinchilla lanigera (Long-tailed chinchilla),76.17254043034208
Anser brachyrhynchus (Pink-footed goose),75.88960644707313
Notechis scutatus (Mainland tiger snake),75.4707998861269
Coturnix japonica (Japanese quail),75.36053867430624
Pseudonaja textilis (Eastern brown snake),75.14122158592254
Naja naja (Indian cobra),75.02677700028725
Hucho hucho (Huchen),74.75846969461523
Salmo trutta (Brown trout),74.75420964070173
Oncorhynchus tshawytscha (Chinook salmon),74.69479624006775
Gallus gallus (Chicken),74.68753525116209
Oncorhynchus mykiss (Rainbow trout),74.56407946772964
Oncorhynchus kisutch (Coho salmon),74.46634737184095
Esox lucius (Northern pike),74.15757737332943
Salmo salar (Atlantic salmon),74.05446418555279
Laticauda laticaudata (Blue-ringed sea krait),73.98377416756823
Pygocentrus nattereri (Red-bellied piranha),73.96060967141999
Scleropages formosus two (Asian bonytongue),73.7421102819012
Anas platyrhynchos (Mallard),73.60589525440385
Astyanax mexicanus (Mexican tetra),73.23072235575599
Scleropages formosus (Asian bonytongue),73.20397307256367
Carassius auratus (Goldfish),73.15701294169486
Electrophorus electricus (Electric eel),72.96478137446822
Ictalurus punctatus (Channel catfish),72.56031457949857
Monodelphis domestica (Opossum),72.46885025012243
Sinocyclocheilus grahami (Golden-line barbel),72.39389532955308
Denticeps clupeoides (Denticle herring),72.28793372378135
Salvator merianae (Argentine black and white tegu),71.87873683620116
Equus caballus (Horse),71.73843459285156
Erpetoichthys calabaricus (Reedfish),71.7210120680945
Danio rerio (Zebrafish),71.48096613097691
Oryctolagus cuniculus (Rabbit),70.51351829344125
Phascolarctos cinereus (Koala),70.44819713860115
Strigops habroptila (Kakapo),69.86125922208586
Chrysemys picta bellii (Painted turtle),69.3731939893454
Anolis carolinensis (Green anole),67.3402536476137
Podarcis muralis (Common wall lizard),67.23099043278263
Sarcophilus harrisii (Tasmanian devil),66.91972902701812
Dasypus novemcinctus (Armadillo),66.49017950388915
Myotis lucifugus (Microbat),65.89039412666095
Pelodiscus sinensis (Chinese softshell turtle),65.7855795174671
Cyprinus carpio carpio (Common carp),65.69078846551272
Paramormyrops kingsleyae (Paramormyrops kingsleyae),65.65111570594124
Marmota marmota marmota (Alpine marmot),65.27854072686333
Lepisosteus oculatus (Spotted gar),64.49732162366445
Nomascus leucogenys (Gibbon),64.42310323296748
Poecilia latipinna (Sailfin molly),64.24770021490271
Amphiprion ocellaris (Clown anemonefish),64.23248387880118
Cyclopterus lumpus (Lumpfish),64.14219155387781
Stegastes partitus (Bicolor damselfish),64.00477360911529
Neolamprologus brichardi (Lyretail cichlid),63.768185322000036
Myripristis murdjan (Pinecone soldierfish),63.762987423000205
Poecilia formosa (Amazon molly),63.631594281261364
Xiphophorus maculatus (Platyfish),63.42474542023846
Amphiprion percula (Orange clownfish),63.36528044046092
Acanthochromis polyacanthus (Spiny chromis),63.312457368308216
Lates calcarifer (Barramundi perch),63.24197753267015
Sander lucioperca (Pike-perch),63.20298566376851
Anabas testudineus (Climbing perch),63.16359275903813
Cottoperca gobio (Channel bull blenny),63.05410320739211
Poecilia reticulata (Guppy),62.916308449163225
Haplochromis burtoni (Burton's mouthbrooder),62.81409410136989
Seriola dumerili (Greater amberjack),62.70475792912452
Astatotilapia calliptera (Eastern happy),62.61304076470553
Seriola lalandi dorsalis (Yellowtail amberjack),62.60098242284896
Gadus morhua (Atlantic cod),62.594987315688975
Maylandia zebra (Zebra mbuna),62.48687092880613
Labrus bergylta (Ballan wrasse),62.41948161629733
Struthio camelus australis (African ostrich),61.06723375947305
Leptobrachium leishanense (Leishan spiny toad),60.61970296587752
Cavia porcellus (Guinea Pig),60.436969709145316
Procavia capensis (Hyrax),60.065640363879666
Cynoglossus semilaevis (Tongue sole),58.71359934812027
Xenopus tropicalis (Tropical clawed frog),58.33946054879694
Oryzias melastigma (Indian medaka),57.571050380111174
Amphilophus citrinellus (Midas cichlid),57.379350740197225
Notamacropus eugenii (Wallaby),57.24489506620933
Parus major (Great Tit),57.04358594781343
Sparus aurata (Gilthead seabream),56.824484639793084
Mastacembelus armatus (Zig-zag eel),56.74404767431184
Scophthalmus maximus (Turbot),56.713722427735924
Betta splendens (Siamese fighting fish),56.65644760134849
Oreochromis niloticus (Nile tilapia),56.581317595095285
Kryptolebias marmoratus (Mangrove rivulus),56.092000213842056
Hippocampus comes (Tiger tail seahorse),56.03811706566826
Latimeria chalumnae (Coelacanth),55.942152107333264
Oryzias latipes (Japanese medaka HdrR),55.83749418133975
Dicentrarchus labrax (European seabass),55.66228320977207
Oryzias javanicus (Javanese ricefish),55.49292625711736
Larimichthys crocea (Large yellow croaker),54.51290495097416
Cyprinodon variegatus (Sheepshead minnow),53.42033721689917
Fundulus heteroclitus (Mummichog),53.11063716944793
Tetraodon nigroviridis (Tetraodon),53.01078486897852
Panthera tigris altaica (Tiger),51.16992376271076
Takifugu rubripes (Fugu),50.20815072664783
Ochotona princeps (Pika),50.19185409418018
Callorhinchus milii (Elephant shark),49.72797627117112
Taeniopygia guttata (Zebra finch),49.49822755433596
Oryzias sinensis (Chinese medaka),49.20167398950737
Pundamilia nyererei (Makobe Island cichlid),49.14953573522437
Sphenodon punctatus (Tuatara),46.57556659104562
Eptatretus burgeri (Hagfish),46.473044016808835
Nothobranchius furzeri (Turquoise killifish),46.067407698874405
Sorex araneus (Shrew),42.79294665157026
Tupaia belangeri (Tree Shrew),40.73721004618823
Meleagris gallopavo (Turkey),40.6948671482593
Gasterosteus aculeatus (Stickleback),35.211264083913385
Echinops telfairi (Lesser hedgehog tenrec),34.518014262479944
Erinaceus europaeus (Hedgehog),33.5461670556459
Ursus maritimus (Polar bear),30.554564112927206
Choloepus hoffmanni (Sloth),29.868494707209724
Geospiza fortis (Medium ground-finch),24.496511084164982
Ficedula albicollis (Collared flycatcher),23.674702464804454
Vicugna pacos (Alpaca),19.890821825806345
Serinus canaria (Common canary),15.315678391473572
Ciona savignyi,9.411204481792717
Petromyzon marinus (Lamprey),9.297304767254214
Ciona intestinalis,8.759930201588832
FBpp0088333,4.031502767134952
