Species,Similarity
Canis lupus familiaris (Dog - Boxer),182.2141560798548
Pongo abelii (Sumatran orangutan),98.91107078039929
Pan troglodytes (Chimpanzee),98.6690865093769
Pan paniscus (Bonobo),98.60859044162127
Gorilla gorilla gorilla (Gorilla),97.52863170584688
Macaca mulatta (Macaque),97.51966122202056
Macaca fascicularis (Crab-eating macaque),97.45916515426497
Macaca nemestrina (Pig-tailed macaque),97.3986690865094
Papio anubis (Olive baboon),97.3986690865094
Mandrillus leucophaeus (Drill),97.27767695099818
Cercocebus atys (Sooty mangabey),97.0961887477314
Chlorocebus sabaeus (Vervet-AGM),97.0961887477314
Rhinopithecus roxellana (Golden snub-nosed monkey),96.854204476709
Rhinopithecus bieti (Black snub-nosed monkey),96.55172413793105
Nomascus leucogenys (Gibbon),96.45006016847172
Aotus nancymaae (Ma's night monkey),95.94676346037508
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),95.6442831215971
Cebus imitator (Panamanian white-faced capuchin),95.16031457955232
Propithecus coquereli (Coquerel's sifaka),92.86146400483968
Microcebus murinus (Mouse Lemur),92.74047186932847
Felis catus (Cat),91.71203871748337
Delphinapterus leucas (Beluga whale),91.71203871748337
Ursus americanus (American black bear),91.71203871748337
Ursus maritimus (Polar bear),91.71203871748337
Panthera pardus (Leopard),91.65154264972776
Physeter catodon (Sperm whale),91.59104658197217
Panthera leo (Lion),91.59104658197217
Balaenoptera musculus (Blue whale),91.59104658197217
Panthera tigris altaica (Tiger),91.59104658197217
Prolemur simus (Greater bamboo lemur),91.25979505726342
Carlito syrichta (Tarsier),91.25979505726342
Neovison vison (American mink),91.1070780399274
Otolemur garnettii (Bushbaby),90.80459770114942
Monodon monoceros (Narwhal),90.80459770114942
Phocoena sinus (Vaquita),90.80459770114942
Equus asinus (Donkey),90.80459770114942
Dasypus novemcinctus (Armadillo),90.80459770114942
Ailuropoda melanoleuca (Giant panda),90.50211736237144
Sus scrofa (Pig - Hampshire),90.44162129461584
Vulpes vulpes (Red fox),90.2777777777778
Camelus dromedarius (Arabian camel),90.07864488808228
Oryctolagus cuniculus (Rabbit),90.03623188405797
Catagonus wagneri (Chacoan peccary),89.89715668481549
Rhinolophus ferrumequinum (Greater horseshoe bat),89.83666061705989
Urocitellus parryii (Arctic ground squirrel),89.7761645493043
Moschus moschiferus (Siberian musk deer),89.7156684815487
Bos taurus (Cow),89.65517241379311
Bison bison bison (American bison),89.5946763460375
Sciurus vulgaris (Eurasian red squirrel),89.5946763460375
Ovis aries (Sheep),89.53418027828192
Bos mutus (Wild yak),89.41318814277072
Cervus hanglu yarkandensis (Yarkand deer),89.41318814277072
Capra hircus (Goat (black bengal)),88.32425892316999
Heterocephalus glaber (Naked mole-rat),86.6908650937689
Myotis lucifugus (Microbat),86.6908650937689
Nannospalax galili (Upper Galilee mountains blind mole rat),85.90441621294616
Bos grunniens (Domestic yak),84.27102238354507
Mesocricetus auratus (Golden Hamster),82.63762855414399
Procavia capensis (Hyrax),82.45614035087719
Rattus norvegicus (Rat),81.66969147005445
Microtus ochrogaster (Prairie vole),81.0042347247429
Mus spicilegus (Steppe mouse),80.61594202898551
Peromyscus maniculatus bairdii (Northern American deer mouse),80.15728977616455
Monodelphis domestica (Opossum),80.09679370840895
Phascolarctos cinereus (Koala),80.03629764065336
