Variant Name,Species,Similarity,Score,Start,End
PAX2,Myotis lucifugus (Microbat),86.76236044657098,1088.0,0,1351
PAX2,Poecilia formosa (Amazon molly),80.18018018018019,979.0,0,1427
PAX2,Loxodonta africana (Elephant),86.13138686131386,1062.0,0,1356
PAX2,Poecilia formosa (Amazon molly),81.35021097046413,964.0,0,1397
PAX2,Dasypus novemcinctus (Armadillo),91.94577352472089,1153.0,0,1286
PAX2,Pteropus vampyrus (Megabat),80.59071729957806,955.0,0,1292
PAX2,Otolemur garnettii (Bushbaby),81.88405797101449,1130.0,0,1435
PAX2,Tursiops truncatus (Dolphin),86.42857142857143,1089.0,0,1356
PAX2,Mustela putorius furo (Ferret),84.84848484848484,1120.0,0,1385
PAX2,Ochotona princeps (Pika),85.65400843881856,1015.0,0,1331
PAX2,Procavia capensis (Hyrax),88.10126582278481,1044.0,0,1311
PAX2,Cavia porcellus (Guinea Pig),87.76371308016878,1040.0,0,1324
PAX2,Microtus ochrogaster (Prairie vole),89.71291866028707,1125.0,0,1314
PAX2,Ictidomys tridecemlineatus (Squirrel),92.18500797448166,1156.0,0,1283
PAX2,Cricetulus griseus (Chinese hamster CriGri),89.84812150279777,1124.0,0,1312
PAX2,Macaca nemestrina (Pig-tailed macaque),94.01913875598086,1179.0,0,1260
PAX2,Nomascus leucogenys (Gibbon),89.70464135021096,1063.0,0,1280
PAX2,Cercocebus atys (Sooty mangabey),93.85964912280701,1177.0,0,1262
PAX2,Mus pahari (Shrew mouse),89.90384615384616,1122.0,0,1311
PAX2,Mus spretus (Algerian mouse),89.82371794871796,1121.0,0,1312
PAX2,Capra hircus (Goat (black bengal)),80.27065527065527,1127.0,0,1462
PAX2,Mus caroli (Ryukyu mouse),90.22435897435898,1126.0,0,1307
PAX2,Danio rerio (Zebrafish),81.0126582278481,960.0,0,1401
PAX2,Panthera tigris altaica (Tiger),86.55394524959742,1075.0,0,1352
PAX2,Amphiprion ocellaris (Clown anemonefish),83.71308016877637,992.0,0,1357
PAX2,Cyprinodon variegatus (Sheepshead minnow),81.0970464135021,961.0,0,1400
PAX2,Amphilophus citrinellus (Midas cichlid),81.26582278481013,963.0,0,1398
PAX2,Amphilophus citrinellus (Midas cichlid),82.02531645569621,972.0,0,1377
PAX2,Amphiprion ocellaris (Clown anemonefish),81.43459915611815,965.0,0,1396
PAX2,Maylandia zebra (Zebra mbuna),82.1097046413502,973.0,0,1376
PAX2,Oryzias melastigma (Indian medaka),82.02531645569621,972.0,0,1389
PAX2,Maylandia zebra (Zebra mbuna),81.0970464135021,961.0,0,1400
PAX2,Oryzias latipes (Japanese medaka HdrR),81.51898734177216,966.0,0,1383
PAX2,Fundulus heteroclitus (Mummichog),81.51898734177216,966.0,0,1395
PAX2,Amphiprion percula (Orange clownfish),81.43459915611815,965.0,0,1396
PAX2,Pundamilia nyererei (Makobe Island cichlid),82.19409282700421,974.0,0,1375
PAX2,Xiphophorus maculatus (Platyfish),81.18143459915612,962.0,0,1399
PAX2,Pundamilia nyererei (Makobe Island cichlid),81.18143459915612,962.0,0,1399
PAX2,Sphenodon punctatus (Tuatara),88.18565400843882,1045.0,0,1325
PAX2,Bos mutus (Wild yak),91.54704944178629,1148.0,0,1291
PAX2,Neovison vison (American mink),91.38755980861244,1146.0,0,1293
PAX2,Chelonoidis abingdonii (Abingdon island giant tortoise),84.38511326860841,1043.0,0,1378
PAX2,Notechis scutatus (Mainland tiger snake),82.7724358974359,1033.0,0,1400
PAX2,Phascolarctos cinereus (Koala),86.44338118022328,1084.0,0,1355
PAX2,Anser brachyrhynchus (Pink-footed goose),83.21342925659472,1041.0,0,1395
PAX2,Mus spicilegus (Steppe mouse),90.08792965627498,1127.0,0,1309
PAX2,Peromyscus maniculatus bairdii (Northern American deer mouse),90.08792965627498,1127.0,0,1309
PAX2,Coturnix japonica (Japanese quail),82.60162601626017,1016.0,0,1399
PAX2,Aquila chrysaetos chrysaetos (Golden eagle),83.25320512820514,1039.0,0,1394
