Variant Name,Species,Similarity,Score,Start,End
CUX1,Tetraodon nigroviridis (Tetraodon),69.10137228862328,3122.0,0,5491
CUX1,Latimeria chalumnae (Coelacanth),76.20628596724214,3443.0,0,5509
CUX1,Myotis lucifugus (Microbat),76.73749446657813,3467.0,0,4861
CUX1,Petromyzon marinus (Lamprey),9.362549800796813,423.0,0,4518
CUX1,Lepisosteus oculatus (Spotted gar),69.89455562728642,3248.0,0,5917
CUX1,Poecilia formosa (Amazon molly),34.882691456396635,1576.0,0,4607
CUX1,Loxodonta africana (Elephant),76.2505533421868,3445.0,0,4847
CUX1,Dasypus novemcinctus (Armadillo),68.94643647631695,3115.0,0,4829
CUX1,Gasterosteus aculeatus (Stickleback),64.25409473218238,2903.0,0,5401
CUX1,Tupaia belangeri (Tree Shrew),49.51305887560868,2237.0,0,5758
CUX1,Chlorocebus sabaeus (Vervet-AGM),97.17847769028872,4443.0,0,4647
CUX1,Otolemur garnettii (Bushbaby),57.52545374059318,2599.0,0,4784
CUX1,Pteropus vampyrus (Megabat),76.47189021691013,3455.0,0,5572
CUX1,Pelodiscus sinensis (Chinese softshell turtle),77.46790615316512,3500.0,0,5341
CUX1,Tursiops truncatus (Dolphin),78.64099158919876,3553.0,0,5444
CUX1,Ochotona princeps (Pika),74.7011952191235,3375.0,0,5634
CUX1,Echinops telfairi (Lesser hedgehog tenrec),66.13545816733067,2988.0,0,6039
CUX1,Sorex araneus (Shrew),50.11066843736166,2264.0,0,5833
CUX1,Vicugna pacos (Alpaca),29.349269588313415,1326.0,0,5829
CUX1,Erinaceus europaeus (Hedgehog),71.71314741035857,3240.0,0,5232
CUX1,Procavia capensis (Hyrax),77.88844621513944,3519.0,0,5427
CUX1,Choloepus hoffmanni (Sloth),57.215582115980524,2585.0,0,5278
CUX1,Notamacropus eugenii (Wallaby),75.34307215582116,3404.0,0,5614
CUX1,Cavia porcellus (Guinea Pig),84.04161133244799,3797.0,0,4987
CUX1,Chinchilla lanigera (Long-tailed chinchilla),83.99734395750332,3795.0,0,5205
CUX1,Ictidomys tridecemlineatus (Squirrel),84.59495351925631,3822.0,0,4884
CUX1,Microtus ochrogaster (Prairie vole),86.87335092348285,3951.0,0,5115
CUX1,Cricetulus griseus (Chinese hamster CriGri),87.14726631393297,3953.0,0,5101
CUX1,Macaca nemestrina (Pig-tailed macaque),97.3280770915462,4444.0,0,4640
CUX1,Cercocebus atys (Sooty mangabey),96.96373962429008,4439.0,0,4657
CUX1,Nomascus leucogenys (Gibbon),85.41389995573262,3859.0,0,4568
CUX1,Capra hircus (Goat (black bengal)),85.3253652058433,3855.0,0,5022
CUX1,Mus spretus (Algerian mouse),85.43689320388349,3960.0,0,5193
CUX1,Mus pahari (Shrew mouse),85.81329867879576,3962.0,0,5173
CUX1,Eptatretus burgeri (Hagfish),61.420982735723776,2775.0,0,5601
CUX1,Danio rerio (Zebrafish),72.70916334661355,3285.0,0,5721
CUX1,Amphiprion ocellaris (Clown anemonefish),6.175298804780876,279.0,0,4518
CUX1,YKL179C,39.37583001328021,1779.0,0,4779
CUX1,Cyprinodon variegatus (Sheepshead minnow),26.294820717131472,1188.0,0,4524
CUX1,Stegastes partitus (Bicolor damselfish),26.31695440460381,1189.0,0,4526
CUX1,Oryzias melastigma (Indian medaka),27.379371403275787,1237.0,0,4535
CUX1,Amphiprion percula (Orange clownfish),14.342629482071715,648.0,0,4518
CUX1,Oryzias latipes (Japanese medaka HdrR),56.551571491810535,2555.0,0,5155
CUX1,Maylandia zebra (Zebra mbuna),8.964143426294822,405.0,0,4518
CUX1,Amphilophus citrinellus (Midas cichlid),24.43559096945551,1104.0,0,4524
CUX1,Astatotilapia calliptera (Eastern happy),25.40947321823816,1148.0,0,4522
CUX1,Fundulus heteroclitus (Mummichog),9.03054448871182,408.0,0,4518
CUX1,Neolamprologus brichardi (Lyretail cichlid),9.628154050464808,435.0,0,4518
CUX1,Pundamilia nyererei (Makobe Island cichlid),59.8937583001328,2706.0,0,5187
CUX1,Xiphophorus maculatus (Platyfish),26.184152279769812,1183.0,0,4523
CUX1,Sphenodon punctatus (Tuatara),29.54847277556441,1335.0,0,4557
CUX1,Mus spicilegus (Steppe mouse),86.44400785854617,3960.0,0,5139
CUX1,Chelonoidis abingdonii (Abingdon island giant tortoise),30.47808764940239,1377.0,0,4566
CUX1,Bos mutus (Wild yak),81.27490039840637,3672.0,0,5349
CUX1,Notechis scutatus (Mainland tiger snake),30.411686586985393,1374.0,0,4560
CUX1,Chelonoidis abingdonii (Abingdon island giant tortoise),13.014608233731739,588.0,0,4518
CUX1,Neovison vison (American mink),81.61602818141787,3707.0,0,5353
CUX1,Anser brachyrhynchus (Pink-footed goose),77.42363877822045,3498.0,0,5349
CUX1,Phascolarctos cinereus (Koala),74.02745995423341,3882.0,0,5880
CUX1,Parus major (Great Tit),83.07086614173228,3798.0,0,5292
CUX1,Salvator merianae (Argentine black and white tegu),29.482071713147413,1332.0,0,4542
CUX1,Coturnix japonica (Japanese quail),81.92902242542999,3763.0,0,5348
CUX1,Crocodylus porosus (Australian saltwater crocodile),79.23426346528228,3663.0,0,5478
CUX1,Bos taurus (Cow),82.69658378815443,4091.0,0,5374
CUX1,Peromyscus maniculatus bairdii (Northern American deer mouse),80.78612209046992,3679.0,0,5393
CUX1,Callorhinchus milii (Elephant shark),32.005312084993356,1446.0,0,4578
CUX1,Electrophorus electricus (Electric eel),61.13324479858344,2762.0,0,5404
CUX1,Bos indicus x Bos taurus (Hybrid - Bos Taurus),82.70631067961165,4089.0,0,5373
CUX1,Aquila chrysaetos chrysaetos (Golden eagle),30.677290836653388,1386.0,0,4551
CUX1,Taeniopygia guttata (Zebra finch),82.73381294964028,3795.0,0,5310
CUX1,Strigops habroptila (Kakapo),81.26649076517151,3696.0,0,5370
CUX1,Aotus nancymaae (Ma's night monkey),88.68968570163788,4007.0,0,4732
CUX1,Nannospalax galili (Upper Galilee mountains blind mole rat),30.256750774679062,1367.0,0,4537
CUX1,Labrus bergylta (Ballan wrasse),15.205843293492697,687.0,0,4518
CUX1,Chrysemys picta bellii (Painted turtle),78.38409475465313,3706.0,0,5540
CUX1,Haplochromis burtoni (Burton's mouthbrooder),25.40947321823816,1148.0,0,4522
CUX1,Hippocampus comes (Tiger tail seahorse),25.918548030101814,1171.0,0,4523
CUX1,Poecilia latipinna (Sailfin molly),27.180168216024793,1228.0,0,4526
CUX1,Serinus canaria (Common canary),83.24479858344401,3761.0,0,5272
CUX1,Prolemur simus (Greater bamboo lemur),83.86454183266933,3789.0,0,4824
CUX1,Seriola lalandi dorsalis (Yellowtail amberjack),26.82602921646746,1212.0,0,4530
CUX1,Saimiri boliviensis boliviensis (Bolivian squirrel monkey),83.35546702080566,3766.0,0,4646
CUX1,Astyanax mexicanus (Mexican tetra),65.22797698096502,2947.0,0,5384
CUX1,Poecilia reticulata (Guppy),26.38335546702081,1192.0,0,4526
CUX1,Pygocentrus nattereri (Red-bellied piranha),23.173970783532535,1047.0,0,4518
CUX1,Propithecus coquereli (Coquerel's sifaka),91.5071507150715,4159.0,0,4904
CUX1,Paramormyrops kingsleyae (Paramormyrops kingsleyae),74.32492253209385,3358.0,0,5483
CUX1,Anas platyrhynchos (Mallard),80.79877112135176,3682.0,0,5393
CUX1,Gorilla gorilla gorilla (Gorilla),73.2182381584772,3308.0,0,4726
CUX1,Bison bison bison (American bison),80.38955289951306,3632.0,0,5305
CUX1,Seriola dumerili (Greater amberjack),26.82602921646746,1212.0,0,4530
CUX1,Ursus maritimus (Polar bear),78.61885790172643,3552.0,0,5040
CUX1,Ictalurus punctatus (Channel catfish),8.100929614873838,366.0,0,4518
CUX1,Ictalurus punctatus (Channel catfish),13.678618857901725,618.0,0,4518
CUX1,Hucho hucho (Huchen),22.576361221779546,1020.0,0,4518
CUX1,Mesocricetus auratus (Golden Hamster),87.88478452066842,3997.0,0,5069
CUX1,Pan troglodytes (Chimpanzee),98.79067722075638,4493.0,0,4573
CUX1,Ursus americanus (American black bear),84.59495351925631,3822.0,0,4947
CUX1,Rhinopithecus bieti (Black snub-nosed monkey),93.09428950863213,4206.0,0,4659
CUX1,Microcebus murinus (Mouse Lemur),92.04771371769384,4167.0,0,4878
CUX1,Geospiza fortis (Medium ground-finch),78.44178840194776,3544.0,0,5213
CUX1,Hucho hucho (Huchen),66.04692341744135,2984.0,0,5275
CUX1,Urocitellus parryii (Arctic ground squirrel),89.60264900662251,4059.0,0,4989
CUX1,Cynoglossus semilaevis (Tongue sole),27.42363877822045,1239.0,0,4536
CUX1,Rhinopithecus roxellana (Golden snub-nosed monkey),90.91682620718996,4274.0,0,4945
CUX1,Pan paniscus (Bonobo),85.30323151837096,3854.0,0,4534
CUX1,Mandrillus leucophaeus (Drill),87.02965914121292,3932.0,0,4567
CUX1,Dipodomys ordii (Kangaroo rat),82.00531208499336,3705.0,0,5043
CUX1,Kryptolebias marmoratus (Mangrove rivulus),10.225763612217795,462.0,0,4518
CUX1,Acanthochromis polyacanthus (Spiny chromis),26.272687029659142,1187.0,0,4528
CUX1,Octodon degus (Degu),29.54847277556441,1335.0,0,4539
CUX1,Sinocyclocheilus grahami (Golden-line barbel),72.33289065958388,3268.0,0,5624
CUX1,Lates calcarifer (Barramundi perch),64.05489154493138,2894.0,0,5308
CUX1,Sinocyclocheilus grahami (Golden-line barbel),72.73129703408587,3286.0,0,5654
CUX1,Canis lupus familiaris (Dog - Boxer),29.924745462594064,1352.0,0,4534
CUX1,Carlito syrichta (Tarsier),82.31518370960602,3719.0,0,4789
CUX1,Sander lucioperca (Pike-perch),62.39486498450641,2819.0,0,5326
