Species,Similarity
Canis lupus familiaris (Dog - Boxer),444.1669803303708
Ailuropoda melanoleuca (Giant panda),355.60711909010695
Pan troglodytes (Chimpanzee),295.7100344857509
Rhinopithecus roxellana (Golden snub-nosed monkey),294.03454112205753
Papio anubis (Olive baboon),292.83955082611476
Rhinopithecus bieti (Black snub-nosed monkey),292.7367059642111
Cercocebus atys (Sooty mangabey),292.73647176985736
Macaca mulatta (Macaque),292.5408486497178
Macaca fascicularis (Crab-eating macaque),290.71601053492265
Mandrillus leucophaeus (Drill),290.111562280881
Aotus nancymaae (Ma's night monkey),289.97406740973724
Cebus imitator (Panamanian white-faced capuchin),289.8367551548526
Pongo abelii (Sumatran orangutan),284.9941713188971
Chlorocebus sabaeus (Vervet-AGM),279.5465567661903
Prolemur simus (Greater bamboo lemur),278.6020459740787
Otolemur garnettii (Bushbaby),275.62468057022943
Marmota marmota marmota (Alpine marmot),273.1676364715862
Sciurus vulgaris (Eurasian red squirrel),273.1130516016995
Ictidomys tridecemlineatus (Squirrel),273.0301275272007
Dasypus novemcinctus (Armadillo),272.09362843976453
Equus caballus (Horse),270.6539896767477
Camelus dromedarius (Arabian camel),270.1788688074464
Myotis lucifugus (Microbat),269.1636589083231
Chinchilla lanigera (Long-tailed chinchilla),268.7915277724443
Balaenoptera musculus (Blue whale),268.7816896166661
Rhinolophus ferrumequinum (Greater horseshoe bat),268.74840604915534
Oryctolagus cuniculus (Rabbit),268.525708832449
Monodon monoceros (Narwhal),268.11423744475314
Phocoena sinus (Vaquita),267.7722907987488
Ursus americanus (American black bear),266.85067739347744
Sus scrofa (Pig - Hampshire),266.8230270715361
Heterocephalus glaber (Naked mole-rat),266.7113026830386
Loxodonta africana (Elephant),265.4955436628909
Octodon degus (Degu),265.3579823959431
Felis catus (Cat),265.3246520985429
Equus asinus (Donkey),265.1752200068633
Panthera pardus (Leopard),265.15855838814633
Panthera leo (Lion),264.8591568681787
Moschus moschiferus (Siberian musk deer),264.271695372742
Bos grunniens (Domestic yak),264.22229373249
Capra hircus (Goat (black bengal)),264.0685732204412
Bos indicus x Bos taurus (Hybrid - Bos Taurus),263.9953032572152
Bos taurus (Cow),263.9207423507937
Cervus hanglu yarkandensis (Yarkand deer),263.92049088590693
Ovis aries (Sheep),263.60858928279026
Dipodomys ordii (Kangaroo rat),263.27744219610054
Bos mutus (Wild yak),262.60199997864515
Mus pahari (Shrew mouse),262.34391083454744
Cricetulus griseus (Chinese hamster CriGri),262.29270077556333
Mus musculus (Mouse),262.2823875429108
Bison bison bison (American bison),262.0819485808515
Mus spretus (Algerian mouse),262.05686234697606
Mus caroli (Ryukyu mouse),262.0420547245038
Jaculus jaculus (Lesser Egyptian jerboa),261.80285717871215
Nannospalax galili (Upper Galilee mountains blind mole rat),261.6795161257152
Rattus norvegicus (Rat),259.6805199587526
Erinaceus europaeus (Hedgehog),258.4238929626781
Tursiops truncatus (Dolphin),257.9613601100848
Mesocricetus auratus (Golden Hamster),257.5444075064542
Gorilla gorilla gorilla (Gorilla),199.10606897508183
Pan paniscus (Bonobo),197.5712094743662
Macaca nemestrina (Pig-tailed macaque),193.83870941285502
Saimiri boliviensis boliviensis (Bolivian squirrel monkey),191.85012991695572
Callithrix jacchus (White-tufted-ear marmoset),191.2533336630929
Urocitellus parryii (Arctic ground squirrel),183.20484893119624
Ursus maritimus (Polar bear),182.91280856849255
Panthera tigris altaica (Tiger),181.7516857906283
Cavia porcellus (Guinea Pig),176.87079834639707
Mustela putorius furo (Ferret),175.86293566350025
Neovison vison (American mink),175.1991451176338
Physeter catodon (Sperm whale),174.99710433005407
Delphinapterus leucas (Beluga whale),174.88771235431875
Catagonus wagneri (Chacoan peccary),174.27526496492013
Peromyscus maniculatus bairdii (Northern American deer mouse),174.08082138145508
Ochotona princeps (Pika),173.69162751223627
Microtus ochrogaster (Prairie vole),172.85091685319972
Mus spicilegus (Steppe mouse),172.6329628271855
Choloepus hoffmanni (Sloth),171.82389666410813
Sorex araneus (Shrew),170.84821082206275
Sarcophilus harrisii (Tasmanian devil),160.92934563601506
Nomascus leucogenys (Gibbon),95.14963880288958
Propithecus coquereli (Coquerel's sifaka),92.96412399860677
Carlito syrichta (Tarsier),91.94444444444444
Microcebus murinus (Mouse Lemur),91.7798676419366
Procavia capensis (Hyrax),89.23135464231355
Tupaia belangeri (Tree Shrew),89.20671243325705
Phascolarctos cinereus (Koala),84.8987108655617
Vombatus ursinus (Common wombat),84.83166851646318
Monodelphis domestica (Opossum),83.75136314067612
Vulpes vulpes (Red fox),83.35064035998614
Pteropus vampyrus (Megabat),83.33333333333334
Terrapene carolina triunguis (Three-toed box turtle),82.57055682684972
Chrysemys picta bellii (Painted turtle),82.45614035087719
Crocodylus porosus (Australian saltwater crocodile),82.37986270022884
Gopherus evgoodei (Goodes thornscrub tortoise),82.34172387490464
Chelonoidis abingdonii (Abingdon island giant tortoise),82.2654462242563
Notamacropus eugenii (Wallaby),81.46879756468797
Aquila chrysaetos chrysaetos (Golden eagle),81.25714285714287
Struthio camelus australis (African ostrich),81.23569794050344
Ficedula albicollis (Collared flycatcher),81.18095238095238
Gallus gallus (Chicken),81.08314263920671
Meleagris gallopavo (Turkey),81.00686498855835
Taeniopygia guttata (Zebra finch),80.95238095238095
Parus major (Great Tit),80.91428571428571
Geospiza fortis (Medium ground-finch),80.80000000000001
Coturnix japonica (Japanese quail),80.80000000000001
Serinus canaria (Common canary),80.57142857142857
Strigops habroptila (Kakapo),80.53333333333333
