Variant Name,Species,Similarity,Score,Start,End
CRX,Myotis lucifugus (Microbat),91.0,819.0,0,981
CRX,Loxodonta africana (Elephant),89.88888888888889,809.0,0,988
CRX,Echinops telfairi (Lesser hedgehog tenrec),88.33333333333333,795.0,0,1005
CRX,Tupaia belangeri (Tree Shrew),92.22222222222223,830.0,0,970
CRX,Dasypus novemcinctus (Armadillo),83.17948717948718,811.0,0,1064
CRX,Mustela putorius furo (Ferret),89.44444444444444,805.0,0,995
CRX,Procavia capensis (Hyrax),88.88888888888889,800.0,0,997
CRX,Chlorocebus sabaeus (Vervet-AGM),97.22222222222221,875.0,0,925
CRX,Otolemur garnettii (Bushbaby),92.44444444444444,832.0,0,968
CRX,Chinchilla lanigera (Long-tailed chinchilla),90.64906490649065,824.0,0,985
CRX,Cavia porcellus (Guinea Pig),90.06622516556291,816.0,0,990
CRX,Microtus ochrogaster (Prairie vole),88.33333333333333,795.0,0,1005
CRX,Ictidomys tridecemlineatus (Squirrel),90.11111111111111,811.0,0,989
CRX,Cercocebus atys (Sooty mangabey),97.66666666666667,879.0,0,921
CRX,Macaca nemestrina (Pig-tailed macaque),97.77777777777777,880.0,0,920
CRX,Mus spretus (Algerian mouse),88.1111111111111,793.0,0,1004
CRX,Mus pahari (Shrew mouse),85.69892473118279,797.0,0,1033
CRX,Mus caroli (Ryukyu mouse),82.24974200206398,797.0,0,1072
CRX,Capra hircus (Goat (black bengal)),91.55555555555556,824.0,0,976
CRX,Vulpes vulpes (Red fox),89.33333333333333,804.0,0,996
CRX,Peromyscus maniculatus bairdii (Northern American deer mouse),86.21794871794873,807.0,0,1029
CRX,Neovison vison (American mink),89.55555555555556,806.0,0,994
CRX,Mus spicilegus (Steppe mouse),82.09876543209876,798.0,0,1074
CRX,Bos mutus (Wild yak),90.22222222222223,812.0,0,988
CRX,Bos taurus (Cow),90.44444444444444,814.0,0,986
CRX,Bos indicus x Bos taurus (Hybrid - Bos Taurus),90.55555555555556,815.0,0,985
CRX,Jaculus jaculus (Lesser Egyptian jerboa),88.22222222222223,794.0,0,997
CRX,Prolemur simus (Greater bamboo lemur),93.22222222222221,839.0,0,961
CRX,Pan troglodytes (Chimpanzee),99.11111111111111,892.0,0,908
CRX,Propithecus coquereli (Coquerel's sifaka),92.33333333333333,831.0,0,969
CRX,Saimiri boliviensis boliviensis (Bolivian squirrel monkey),96.0,864.0,0,936
CRX,Ursus maritimus (Polar bear),90.44444444444444,814.0,0,986
CRX,Gorilla gorilla gorilla (Gorilla),99.44444444444444,895.0,0,905
CRX,Bison bison bison (American bison),90.33333333333333,813.0,0,987
CRX,Aotus nancymaae (Ma's night monkey),88.68501529051987,870.0,0,1011
CRX,Marmota marmota marmota (Alpine marmot),89.88888888888889,809.0,0,991
CRX,Ursus americanus (American black bear),90.22222222222223,812.0,0,988
CRX,Microcebus murinus (Mouse Lemur),92.66666666666666,834.0,0,966
CRX,Rhinopithecus roxellana (Golden snub-nosed monkey),98.0,882.0,0,918
CRX,Mandrillus leucophaeus (Drill),97.55555555555556,878.0,0,922
CRX,Panthera pardus (Leopard),89.66666666666666,807.0,0,993
CRX,Urocitellus parryii (Arctic ground squirrel),90.22222222222223,812.0,0,988
CRX,Octodon degus (Degu),90.58693244739756,818.0,0,985
CRX,Canis lupus familiaris (Dog - Boxer),89.33333333333333,804.0,0,996
CRX,Carlito syrichta (Tarsier),93.0,837.0,0,963
CRX,Cervus hanglu yarkandensis (Yarkand deer),91.33333333333333,822.0,0,978
CRX,Monodon monoceros (Narwhal),91.11111111111111,820.0,0,980
CRX,Balaenoptera musculus (Blue whale),91.22222222222223,821.0,0,979
CRX,Ovis aries (Sheep),91.11111111111111,820.0,0,977
CRX,Phocoena sinus (Vaquita),91.33333333333333,822.0,0,978
CRX,Sciurus vulgaris (Eurasian red squirrel),90.88888888888889,818.0,0,982
CRX,Moschus moschiferus (Siberian musk deer),91.33333333333333,822.0,0,978
CRX,Rhinolophus ferrumequinum (Greater horseshoe bat),88.77777777777777,799.0,0,980
CRX,Bos grunniens (Domestic yak),90.22222222222223,812.0,0,988
CRX,Camelus dromedarius (Arabian camel),90.66666666666666,816.0,0,984
CRX,Panthera leo (Lion),88.0,792.0,0,993
CRX,Macaca mulatta (Macaque),97.88888888888889,881.0,0,919
CRX,Catagonus wagneri (Chacoan peccary),90.33333333333333,813.0,0,987
CRX,Physeter catodon (Sperm whale),91.0,819.0,0,981
CRX,Delphinapterus leucas (Beluga whale),91.0,819.0,0,981
CRX,Ailuropoda melanoleuca (Giant panda),90.22222222222223,812.0,0,988
CRX,Felis catus (Cat),89.29359823399558,809.0,0,997
CRX,Felis catus (Cat),90.11111111111111,811.0,0,989
CRX,Canis lupus familiaris (Dog - Boxer),89.33333333333333,804.0,0,996
CRX,Papio anubis (Olive baboon),97.88888888888889,881.0,0,919
CRX,Callithrix jacchus (White-tufted-ear marmoset),95.77777777777777,862.0,0,938
CRX,Equus caballus (Horse),91.88888888888889,827.0,0,973
CRX,Equus asinus (Donkey),92.22222222222223,830.0,0,970
CRX,Rattus norvegicus (Rat),88.55555555555556,797.0,0,1003
CRX,Cebus imitator (Panamanian white-faced capuchin),96.44444444444444,868.0,0,932
CRX,Heterocephalus glaber (Naked mole-rat),87.09677419354838,810.0,0,1020
CRX,Mus musculus (Mouse),82.09876543209876,798.0,0,1074
