Variant Name,Species,Similarity,Score,Start,End
RNA5S10,Chlorocebus sabaeus (Vervet-AGM),86.5546218487395,103.0,0,134
RNA5S10,Cavia porcellus (Guinea Pig),100.0,119.0,0,119
RNA5S10,Bos taurus (Cow),100.0,119.0,0,119
RNA5S10,Microcebus murinus (Mouse Lemur),76.47058823529412,91.0,0,130
RNA5S10,Microcebus murinus (Mouse Lemur),76.86567164179104,103.0,0,150
RNA5S10,Pan troglodytes (Chimpanzee),88.23529411764706,105.0,0,132
RNA5S10,Panthera pardus (Leopard),88.42975206611571,107.0,0,133
RNA5S10,Balaenoptera musculus (Blue whale),98.31932773109243,117.0,0,121
RNA5S10,Sciurus vulgaris (Eurasian red squirrel),100.0,119.0,0,119
RNA5S10,Bos grunniens (Domestic yak),100.0,119.0,0,119
RNA5S10,Camelus dromedarius (Arabian camel),99.15966386554622,118.0,0,120
RNA5S10,Camelus dromedarius (Arabian camel),98.31932773109243,117.0,0,119
RNA5S10,Camelus dromedarius (Arabian camel),93.38842975206612,113.0,0,127
RNA5S10,Monodelphis domestica (Opossum),97.47899159663865,116.0,0,122
RNA5S10,Sus scrofa (Pig - Hampshire),100.0,119.0,0,119
RNA5S10,Cebus imitator (Panamanian white-faced capuchin),98.31932773109243,117.0,0,121
RNA5S10,Rattus norvegicus (Rat),100.0,119.0,0,119
RNA5S10,Mus musculus (Mouse),98.31932773109243,117.0,0,121
RNA5S11,Canis lupus familiaris (Dog - Boxer),100.0,119.0,0,119
RNA5S11,Mus musculus (Mouse),100.0,119.0,0,119
RNA5S11,Mus musculus (Mouse),100.0,119.0,0,119
RNA5S12,Loxodonta africana (Elephant),95.7983193277311,114.0,0,124
RNA5S12,Cavia porcellus (Guinea Pig),100.0,119.0,0,119
RNA5S12,Mus caroli (Ryukyu mouse),93.27731092436974,111.0,0,126
RNA5S12,Mus spretus (Algerian mouse),94.16666666666667,113.0,0,126
RNA5S12,Capra hircus (Goat (black bengal)),93.27731092436974,111.0,0,127
RNA5S12,Mus caroli (Ryukyu mouse),95.7983193277311,114.0,0,124
RNA5S12,Peromyscus maniculatus bairdii (Northern American deer mouse),97.47899159663865,116.0,0,122
RNA5S12,Peromyscus maniculatus bairdii (Northern American deer mouse),98.31932773109243,117.0,0,121
RNA5S12,Bos taurus (Cow),100.0,119.0,0,119
RNA5S12,Bos indicus x Bos taurus (Hybrid - Bos Taurus),98.31932773109243,117.0,0,121
RNA5S12,Bos indicus x Bos taurus (Hybrid - Bos Taurus),100.0,119.0,0,119
RNA5S12,Pan troglodytes (Chimpanzee),98.31932773109243,117.0,0,121
RNA5S12,Monodon monoceros (Narwhal),98.33333333333333,118.0,0,121
RNA5S12,Ovis aries (Sheep),94.11764705882352,112.0,0,126
RNA5S12,Camelus dromedarius (Arabian camel),98.31932773109243,117.0,0,120
RNA5S12,Monodelphis domestica (Opossum),95.0,114.0,0,125
RNA5S12,Macaca mulatta (Macaque),100.0,119.0,0,119
