Variant Name,Species,Similarity,Score,Start,End
MNX1,Myotis lucifugus (Microbat),77.77777777777779,938.0,0,1330
MNX1,Chlorocebus sabaeus (Vervet-AGM),96.51741293532339,1164.0,0,1248
MNX1,Pelodiscus sinensis (Chinese softshell turtle),72.38805970149254,873.0,0,1389
MNX1,Microtus ochrogaster (Prairie vole),83.04526748971193,1009.0,0,1412
MNX1,Cricetulus griseus (Chinese hamster CriGri),87.62376237623762,1062.0,0,1356
MNX1,Macaca nemestrina (Pig-tailed macaque),92.37147595356551,1114.0,0,1244
MNX1,Cercocebus atys (Sooty mangabey),96.01990049751244,1158.0,0,1248
MNX1,Mus pahari (Shrew mouse),84.81848184818482,1028.0,0,1390
MNX1,Mus caroli (Ryukyu mouse),86.13861386138613,1044.0,0,1374
MNX1,Mus spretus (Algerian mouse),85.34979423868313,1037.0,0,1384
MNX1,Capra hircus (Goat (black bengal)),89.56310679611651,1107.0,0,1335
MNX1,Sphenodon punctatus (Tuatara),70.8955223880597,855.0,0,1350
MNX1,Mus spicilegus (Steppe mouse),85.59670781893004,1040.0,0,1381
MNX1,Crocodylus porosus (Australian saltwater crocodile),71.64179104477611,864.0,0,1503
MNX1,Notechis scutatus (Mainland tiger snake),71.64179104477611,864.0,0,1434
MNX1,Parus major (Great Tit),76.86567164179104,927.0,0,1380
MNX1,Phascolarctos cinereus (Koala),78.77280265339967,950.0,0,1423
MNX1,Coturnix japonica (Japanese quail),72.50384024577573,944.0,0,1564
MNX1,Salvator merianae (Argentine black and white tegu),78.70597870597871,961.0,0,1466
MNX1,Bos taurus (Cow),89.67479674796748,1103.0,0,1333
MNX1,Peromyscus maniculatus bairdii (Northern American deer mouse),87.4074074074074,1062.0,0,1359
MNX1,Bos indicus x Bos taurus (Hybrid - Bos Taurus),90.92409240924091,1102.0,0,1316
MNX1,Aquila chrysaetos chrysaetos (Golden eagle),75.3731343283582,909.0,0,1362
MNX1,Taeniopygia guttata (Zebra finch),77.28026533996683,932.0,0,1381
MNX1,Strigops habroptila (Kakapo),75.62189054726367,912.0,0,1398
MNX1,Jaculus jaculus (Lesser Egyptian jerboa),70.56384742951907,851.0,0,1279
